host.1,host.2,ancestry,ancestry.tree.count,both.exist,fraction,any.relationship.tree.count
13,28,complex,20,100,20/100,63
13,28,none,43,100,43/100,63
13,4,complex,99,100,99/100,99
13,89,complex,38,100,38/100,56
13,89,none,18,100,18/100,56
13,90,complex,61,100,61/100,80
13,90,none,19,100,19/100,80
13,92,complex,55,100,55/100,89
13,92,none,34,100,34/100,89
16,25,complex,27,100,27/100,71
16,25,none,39,100,39/100,71
16,25,trans,5,100,5/100,71
16,4,complex,91,100,91/100,96
16,4,none,5,100,5/100,96
25,4,complex,33,100,33/100,82
25,4,none,15,100,15/100,82
28,4,complex,96,100,96/100,99
28,4,none,3,100,3/100,99
28,90,complex,47,100,47/100,77
28,90,none,30,100,30/100,77
28,92,complex,27,100,27/100,73
28,92,none,46,100,46/100,73
4,25,trans,34,100,34/100,82
4,6,complex,65,100,65/100,97
4,6,none,6,100,6/100,97
4,6,trans,26,100,26/100,97
4,89,complex,100,100,100/100,100
4,90,complex,100,100,100/100,100
4,92,complex,100,100,100/100,100
89,90,complex,45,100,45/100,85
89,90,none,40,100,40/100,85
89,92,complex,39,100,39/100,55
89,92,none,16,100,16/100,55
90,92,complex,64,100,64/100,88
90,92,none,24,100,24/100,88
