host.1,host.2,ancestry,ancestry.tree.count,both.exist,fraction,any.relationship.tree.count
1,10,complex,62,100,62/100,77
1,10,none,15,100,15/100,77
1,16,complex,38,100,38/100,61
1,16,none,23,100,23/100,61
1,20,complex,73,100,73/100,93
1,20,none,20,100,20/100,93
1,28,complex,97,100,97/100,99
1,28,none,2,100,2/100,99
1,35,complex,79,100,79/100,89
1,35,none,10,100,10/100,89
1,7,complex,82,100,82/100,93
1,7,none,11,100,11/100,93
10,16,complex,59,100,59/100,83
10,16,none,24,100,24/100,83
10,20,complex,60,100,60/100,81
10,20,none,21,100,21/100,81
10,21,complex,61,100,61/100,79
10,21,none,18,100,18/100,79
10,22,complex,45,100,45/100,52
10,22,none,7,100,7/100,52
10,28,complex,99,100,99/100,99
10,34,complex,43,100,43/100,70
10,34,none,27,100,27/100,70
10,35,complex,75,100,75/100,85
10,35,none,10,100,10/100,85
10,7,complex,74,100,74/100,85
10,7,none,11,100,11/100,85
10,9,complex,60,100,60/100,69
10,9,none,7,100,7/100,69
10,9,trans,2,100,2/100,69
12,18,complex,19,100,19/100,51
12,18,none,19,100,19/100,51
12,18,trans,12,100,12/100,51
12,28,complex,52,100,52/100,64
12,28,none,6,100,6/100,64
12,4,complex,63,100,63/100,77
12,4,none,14,100,14/100,77
13,21,complex,60,100,60/100,74
13,21,none,14,100,14/100,74
13,28,complex,46,100,46/100,52
13,28,none,6,100,6/100,52
13,34,complex,54,100,54/100,70
13,34,none,16,100,16/100,70
13,9,complex,64,100,64/100,76
13,9,none,10,100,10/100,76
15,28,complex,71,100,71/100,85
15,28,none,13,100,13/100,85
16,20,complex,60,100,60/100,81
16,20,none,21,100,21/100,81
16,21,complex,34,100,34/100,64
16,21,none,30,100,30/100,64
16,28,complex,95,100,95/100,97
16,28,none,2,100,2/100,97
16,35,complex,61,100,61/100,81
16,35,none,20,100,20/100,81
16,7,complex,67,100,67/100,91
16,7,none,24,100,24/100,91
18,12,trans,1,100,1/100,51
2,21,complex,83,100,83/100,92
2,21,none,9,100,9/100,92
2,22,complex,83,100,83/100,90
2,22,none,6,100,6/100,90
2,22,trans,1,100,1/100,90
2,28,complex,64,100,64/100,71
2,28,none,7,100,7/100,71
2,34,complex,46,100,46/100,56
2,34,none,10,100,10/100,56
2,4,complex,91,100,91/100,94
2,4,none,3,100,3/100,94
2,8,complex,97,100,97/100,98
2,8,none,1,100,1/100,98
20,21,complex,28,100,28/100,51
20,21,none,23,100,23/100,51
20,28,complex,99,100,99/100,100
20,28,none,1,100,1/100,100
20,34,complex,34,100,34/100,58
20,34,none,24,100,24/100,58
20,35,complex,70,100,70/100,81
20,35,none,11,100,11/100,81
20,7,complex,62,100,62/100,76
20,7,none,14,100,14/100,76
21,22,complex,99,100,99/100,100
21,22,none,1,100,1/100,100
21,27,complex,25,100,25/100,53
21,27,none,23,100,23/100,53
21,27,trans,5,100,5/100,53
21,28,complex,66,100,66/100,66
21,34,complex,88,100,88/100,94
21,34,none,6,100,6/100,94
21,7,complex,37,100,37/100,51
21,7,none,14,100,14/100,51
21,9,complex,39,100,39/100,56
21,9,none,17,100,17/100,56
27,34,complex,33,100,33/100,51
27,34,none,7,100,7/100,51
27,9,complex,34,100,34/100,54
27,9,none,16,100,16/100,54
28,12,trans,6,100,6/100,64
28,15,trans,1,100,1/100,85
28,34,complex,69,100,69/100,73
28,34,none,4,100,4/100,73
28,35,complex,99,100,99/100,99
28,7,complex,99,100,99/100,99
28,9,complex,56,100,56/100,67
28,9,none,7,100,7/100,67
28,9,trans,4,100,4/100,67
34,27,trans,11,100,11/100,51
34,7,complex,48,100,48/100,62
34,7,none,14,100,14/100,62
34,9,complex,30,100,30/100,54
34,9,none,23,100,23/100,54
35,7,complex,81,100,81/100,90
35,7,none,9,100,9/100,90
35,9,complex,49,100,49/100,68
35,9,none,19,100,19/100,68
4,8,complex,62,100,62/100,70
4,8,none,6,100,6/100,70
4,8,trans,2,100,2/100,70
4,9,complex,47,100,47/100,74
4,9,none,27,100,27/100,74
9,13,trans,2,100,2/100,76
9,27,trans,4,100,4/100,54
9,34,trans,1,100,1/100,54
