host.1,host.2,ancestry,ancestry.tree.count,both.exist,fraction,any.relationship.tree.count
1,3,complex,51,100,51/100,100
1,3,none,3,100,3/100,100
16,3,complex,84,100,84/100,100
16,3,none,5,100,5/100,100
16,8,complex,39,100,39/100,84
16,8,none,9,100,9/100,84
16,8,trans,11,100,11/100,84
2,3,complex,58,100,58/100,100
2,3,none,2,100,2/100,100
2,4,complex,4,100,4/100,58
2,4,none,2,100,2/100,58
2,4,trans,1,100,1/100,58
3,1,trans,46,100,46/100,100
3,16,trans,11,100,11/100,100
3,2,trans,40,100,40/100,100
3,4,complex,88,100,88/100,97
3,4,trans,9,100,9/100,97
3,8,complex,65,100,65/100,82
3,8,none,11,100,11/100,82
3,8,trans,6,100,6/100,82
4,2,trans,51,100,51/100,58
8,16,trans,25,100,25/100,84
