edges/dates,2019.6260571066505, 2019.7138575472054, 2019.8016579877603, 2019.8894584283153, 2019.9772588688704, 2020.0650593094254, 2020.1528597499803, 2020.2406601905352
England->Scotland,100, 100, 0, 400, 2500, 6375, 4500, 900
USA->Canada,100, 100, 800, 800, 1600, 3800, 2600, 1200
China->Singapore,0, 200, 1100, 4212, 2800, 400, 600, 0
China->Japan,400, 400, 1600, 2900, 3100, 900, 0, 0
China->Scotland,100, 300, 800, 3888, 2500, 1000, 100, 300
England->Netherlands,0, 200, 0, 200, 1954, 3069, 3400, 100
England->Iceland,0, 100, 0, 200, 2300, 2529, 3514, 247
China->SouthKorea,300, 600, 1600, 2700, 2758, 629, 100, 0
England->Belgium,0, 0, 0, 0, 2611, 3990, 1868, 200
USA->Australia,100, 200, 200, 200, 2400, 3300, 2000, 0
England->Portugal,0, 0, 200, 100, 1772, 4300, 1300, 300
Netherlands->England,0, 0, 0, 200, 1900, 2700, 1900, 500
France->Belgium,0, 300, 0, 100, 2057, 1600, 2300, 700
France->USA,0, 100, 0, 100, 1800, 2800, 2100, 100
Canada->USA,100, 0, 200, 600, 1248, 3300, 1000, 100
England->Australia,0, 0, 0, 200, 700, 1448, 2500, 1500
Australia->Canada,0, 400, 0, 200, 1700, 900, 2400, 552
France->Luxembourg,0, 100, 0, 300, 2000, 1800, 1800, 0
Spain->England,0, 0, 0, 200, 900, 2700, 2100, 100
England->USA,0, 100, 0, 300, 1100, 2021, 1947, 500
Scotland->England,100, 0, 0, 300, 1788, 1324, 1800, 600
England->Germany,0, 0, 0, 200, 521, 2859, 1500, 700
France->Australia,100, 0, 0, 0, 1200, 2300, 2068, 0
Luxembourg->France,0, 300, 100, 100, 1000, 1600, 2000, 400
China->HongKong,0, 0, 500, 1600, 2800, 600, 0, 0
Iceland->England,0, 141, 0, 200, 1800, 1429, 1316, 553
Australia->USA,0, 200, 0, 300, 500, 1500, 1699, 1200
Belgium->England,0, 94, 0, 0, 1495, 2086, 1575, 100
England->Spain,0, 0, 0, 200, 1500, 2221, 1200, 100
Spain->Portugal,0, 100, 0, 200, 800, 1000, 2200, 800
Australia->England,0, 100, 0, 300, 900, 1573, 1252, 900
Spain->Scotland,100, 0, 0, 100, 400, 2000, 1900, 500
Germany->England,0, 100, 100, 100, 479, 2041, 1871, 300
England->Italy,0, 0, 0, 200, 800, 2769, 900, 300
Netherlands->Scotland,0, 0, 0, 0, 1229, 2200, 1529, 0
China->USA,300, 100, 400, 1400, 1429, 900, 400, 0
China->Taiwan,200, 400, 700, 1600, 1600, 200, 100, 0
Netherlands->Portugal,0, 0, 0, 0, 1100, 1800, 1100, 600
France->Iceland,0, 100, 0, 0, 700, 1897, 1200, 400
Japan->China,0, 0, 300, 1029, 1800, 1100, 0, 0
Scotland->Netherlands,0, 0, 0, 300, 1659, 800, 1371, 0
USA->France,0, 0, 0, 0, 1200, 2200, 600, 100
Germany->France,0, 0, 0, 100, 800, 1832, 1332, 0
Belgium->Iceland,0, 0, 0, 200, 1000, 1700, 975, 100
Portugal->England,0, 0, 0, 0, 300, 2100, 1200, 300
Iceland->Belgium,0, 0, 1, 0, 893, 1139, 1529, 300
Canada->Australia,100, 100, 0, 500, 900, 900, 1000, 300
France->Canada,0, 0, 0, 100, 1668, 1000, 700, 300
England->Finland,0, 0, 100, 200, 600, 1200, 1564, 100
Belgium->Netherlands,0, 0, 0, 0, 889, 1000, 900, 900
France->Germany,0, 100, 0, 100, 800, 1536, 1000, 100
Portugal->Netherlands,100, 0, 0, 0, 300, 1700, 1100, 300
China->Australia,0, 200, 200, 453, 1600, 400, 599, 0
England->Ireland,0, 0, 0, 100, 700, 1500, 1100, 0
France->Senegal,0, 0, 0, 0, 200, 800, 1900, 500
Belgium->Scotland,0, 0, 0, 100, 300, 1692, 1100, 200
Switzerland->England,0, 0, 0, 14, 1111, 1176, 400, 600
China->Germany,200, 100, 400, 500, 1400, 300, 0, 400
France->Taiwan,0, 0, 0, 200, 800, 1200, 900, 200
Belgium->Portugal,0, 100, 0, 200, 389, 1700, 400, 500
Iceland->Scotland,0, 0, 0, 0, 1400, 300, 1100, 400
Australia->Taiwan,0, 200, 0, 100, 300, 600, 700, 1200
France->Finland,0, 0, 0, 300, 300, 900, 1600, 0
Spain->Netherlands,0, 0, 0, 100, 200, 1100, 1200, 500
Australia->Scotland,0, 0, 0, 0, 200, 800, 1600, 500
France->Scotland,0, 0, 0, 0, 600, 1000, 1100, 400
USA->Luxembourg,0, 100, 0, 0, 1000, 1200, 600, 100
France->Netherlands,0, 100, 0, 0, 400, 1300, 800, 400
Iceland->Netherlands,0, 0, 0, 0, 957, 300, 1500, 200
Germany->USA,0, 0, 0, 100, 100, 1511, 1100, 100
Luxembourg->Italy,0, 200, 0, 300, 610, 700, 1000, 100
Japan->Singapore,100, 0, 100, 300, 1800, 500, 100, 0
England->Brazil,0, 200, 100, 0, 500, 1400, 700, 0
Germany->Scotland,0, 0, 0, 0, 200, 1179, 771, 700
France->DemocraticRepublicoftheCongo,0, 100, 0, 0, 543, 1000, 900, 300
Spain->Austria,0, 0, 0, 100, 600, 1200, 700, 200
Australia->France,0, 100, 0, 0, 400, 1200, 1000, 0
Scotland->Belgium,0, 0, 0, 0, 1100, 408, 1071, 100
England->Japan,0, 0, 0, 0, 622, 1400, 500, 100
France->England,0, 0, 0, 100, 300, 903, 1100, 200
China->Canada,100, 100, 200, 1100, 600, 300, 100, 100
Portugal->Spain,0, 100, 0, 0, 500, 900, 1100, 0
Luxembourg->Belgium,0, 100, 0, 200, 400, 300, 500, 1100
France->Portugal,0, 100, 0, 0, 200, 900, 1100, 300
Scotland->Spain,0, 0, 100, 200, 988, 400, 900, 0
Australia->Iceland,0, 0, 99, 0, 200, 853, 1153, 252
Japan->HongKong,0, 100, 100, 200, 1300, 800, 0, 0
Canada->Iceland,0, 0, 0, 0, 100, 400, 1648, 300
China->Spain,100, 0, 0, 1200, 729, 400, 0, 0
Netherlands->Belgium,0, 100, 0, 0, 400, 800, 729, 400
Taiwan->Canada,100, 0, 0, 200, 1000, 400, 700, 0
Canada->Taiwan,100, 100, 0, 100, 900, 400, 800, 0
Spain->Mexico,0, 0, 0, 100, 200, 900, 700, 500
USA->Iceland,0, 0, 0, 200, 600, 700, 200, 700
England->Wales,0, 0, 0, 100, 400, 567, 1221, 100
Belgium->France,0, 0, 0, 100, 368, 1200, 600, 100
Luxembourg->Taiwan,16, 0, 0, 100, 805, 1000, 400, 0
England->Switzerland,0, 200, 0, 0, 700, 1300, 100, 0
England->France,0, 0, 0, 100, 700, 1200, 300, 0
England->Luxembourg,0, 0, 0, 200, 1200, 600, 200, 100
England->Taiwan,0, 0, 0, 0, 900, 500, 600, 300
Scotland->China,0, 0, 400, 500, 900, 400, 71, 0
Australia->India,100, 0, 200, 200, 762, 900, 100, 0
Italy->India,300, 100, 0, 0, 433, 500, 200, 700
Spain->Luxembourg,0, 0, 0, 100, 400, 900, 700, 100
Canada->France,0, 0, 0, 0, 500, 1000, 700, 0
England->DemocraticRepublicoftheCongo,0, 6, 0, 100, 205, 1214, 664, 0
Switzerland->USA,0, 0, 0, 100, 842, 600, 300, 300
Canada->England,100, 0, 0, 0, 400, 400, 900, 300
China->England,0, 100, 0, 700, 1000, 200, 100, 0
USA->Germany,0, 0, 0, 0, 800, 1000, 300, 0
