edges/dates,2019.6084970185395, 2019.6787373709835, 2019.7489777234275, 2019.8192180758715, 2019.8894584283153, 2019.9596987807593, 2020.0299391332032, 2020.1001794856472, 2020.1704198380912, 2020.2406601905352
England->Scotland,100, 109, 0, 11, 414, 1551, 5496, 2921, 3191, 447
USA->Canada,84, 14, 0, 874, 447, 1226, 2825, 2303, 1209, 1102
England->Netherlands,78, 119, 0, 0, 306, 869, 3358, 2139, 2035, 36
England->Iceland,0, 34, 94, 23, 175, 1619, 2242, 1651, 2676, 14
China->Singapore,58, 0, 246, 1321, 2721, 2232, 331, 834, 28, 0
England->Belgium,0, 26, 2, 43, 44, 959, 4259, 1240, 1015, 100
China->Japan,434, 4, 612, 1333, 2000, 2166, 1015, 0, 0, 0
China->Scotland,100, 0, 228, 1215, 2992, 1558, 1048, 263, 43, 39
USA->Australia,69, 106, 48, 292, 280, 1376, 2609, 1432, 1233, 4
Canada->USA,100, 0, 0, 512, 289, 1029, 2231, 2075, 987, 136
China->SouthKorea,261, 0, 1022, 946, 2144, 1876, 763, 40, 0, 0
England->Portugal,0, 48, 0, 200, 31, 530, 4098, 1475, 593, 22
Australia->USA,10, 11, 132, 229, 359, 704, 1321, 1715, 2044, 415
Scotland->England,33, 102, 0, 12, 354, 1061, 2052, 1412, 1655, 255
Australia->Canada,63, 264, 200, 121, 230, 1014, 1458, 789, 2211, 124
Netherlands->England,0, 49, 0, 0, 151, 867, 2767, 1065, 1110, 432
England->USA,0, 100, 10, 8, 293, 989, 1806, 830, 1874, 251
Spain->England,33, 31, 0, 0, 227, 515, 2152, 1299, 1824, 0
England->Australia,0, 2, 0, 14, 106, 443, 1698, 765, 2192, 842
Luxembourg->France,0, 145, 69, 100, 230, 749, 1956, 620, 1835, 208
England->Germany,0, 10, 0, 59, 148, 342, 3446, 478, 912, 517
France->Belgium,0, 59, 200, 0, 171, 1034, 1007, 1094, 1704, 250
Iceland->England,0, 82, 104, 19, 198, 1080, 1450, 982, 1286, 211
France->USA,0, 60, 6, 0, 74, 572, 2647, 962, 882, 56
China->HongKong,0, 0, 0, 657, 1546, 2035, 949, 0, 0, 0
England->Spain,35, 8, 0, 0, 190, 823, 2432, 717, 967, 6
Australia->England,0, 3, 49, 63, 189, 285, 1803, 504, 1496, 748
Spain->Scotland,100, 0, 0, 1, 181, 292, 1314, 1137, 1903, 35
Netherlands->Portugal,0, 0, 0, 0, 49, 418, 2314, 819, 623, 620
Netherlands->Scotland,0, 2, 0, 26, 270, 815, 1571, 1313, 820, 8
France->Luxembourg,0, 13, 100, 0, 288, 1067, 1316, 650, 1342, 0
Belgium->England,0, 7, 6, 32, 0, 727, 2165, 941, 838, 9
USA->France,0, 5, 20, 0, 130, 831, 2622, 426, 668, 9
Germany->England,0, 0, 45, 86, 153, 260, 2215, 384, 1403, 102
Spain->Portugal,0, 0, 100, 14, 145, 771, 707, 840, 1952, 31
Belgium->Iceland,2, 0, 15, 33, 154, 679, 2019, 638, 995, 4
Scotland->Netherlands,0, 1, 0, 48, 402, 1205, 1351, 962, 492, 5
Canada->Australia,190, 130, 0, 411, 128, 714, 1091, 1061, 647, 55
Japan->China,0, 5, 72, 663, 868, 1697, 1017, 33, 0, 0
China->Taiwan,230, 0, 345, 651, 1459, 1355, 100, 137, 31, 0
Portugal->Netherlands,100, 0, 0, 0, 38, 330, 1741, 916, 663, 350
England->Italy,0, 27, 0, 0, 234, 342, 2241, 406, 489, 135
England->Finland,0, 0, 0, 106, 215, 461, 1782, 548, 754, 8
France->Australia,100, 46, 0, 0, 30, 396, 1672, 708, 875, 3
Portugal->England,0, 17, 0, 0, 0, 388, 1909, 542, 910, 51
Australia->Taiwan,12, 44, 200, 0, 171, 441, 816, 105, 855, 1007
Germany->France,0, 43, 4, 0, 65, 320, 2349, 251, 595, 0
Iceland->Belgium,0, 46, 34, 14, 15, 567, 926, 685, 1208, 38
England->Ireland,0, 0, 0, 0, 110, 351, 1642, 417, 876, 32
China->USA,372, 7, 104, 411, 769, 1083, 519, 108, 53, 0
Australia->Scotland,0, 8, 3, 49, 57, 182, 799, 565, 1435, 222
Germany->Scotland,0, 0, 0, 67, 30, 206, 1162, 301, 738, 667
France->Germany,0, 140, 0, 0, 40, 67, 1963, 430, 452, 60
Australia->France,0, 0, 100, 0, 26, 439, 1374, 638, 516, 0
France->Senegal,0, 0, 0, 0, 26, 110, 507, 1057, 826, 536
France->Iceland,0, 8, 0, 0, 13, 515, 1127, 653, 663, 56
Belgium->Netherlands,0, 2, 0, 0, 41, 451, 764, 142, 1274, 341
France->Canada,31, 11, 0, 0, 100, 425, 1240, 536, 597, 73
Scotland->Belgium,0, 0, 0, 0, 68, 401, 1069, 557, 902, 0
Japan->Singapore,100, 0, 22, 220, 370, 1485, 618, 135, 23, 0
England->France,0, 10, 0, 0, 130, 386, 1860, 101, 426, 31
Belgium->France,0, 41, 0, 0, 66, 334, 931, 976, 521, 32
Germany->USA,0, 0, 0, 0, 67, 109, 1631, 172, 886, 4
Luxembourg->Belgium,0, 7, 0, 0, 264, 319, 567, 43, 880, 755
England->Wales,0, 0, 0, 18, 145, 246, 715, 461, 1191, 0
Singapore->China,17, 0, 54, 680, 661, 990, 180, 140, 40, 0
Scotland->Spain,0, 0, 0, 41, 188, 401, 1016, 485, 625, 0
England->Brazil,0, 127, 113, 30, 92, 340, 1030, 688, 332, 0
Belgium->Portugal,0, 15, 0, 200, 50, 291, 978, 456, 233, 525
Belgium->Scotland,0, 30, 0, 2, 12, 320, 1134, 518, 729, 1
Netherlands->Germany,0, 16, 0, 0, 80, 69, 522, 877, 1146, 22
USA->Luxembourg,51, 58, 0, 0, 0, 675, 1268, 314, 249, 40
Luxembourg->Italy,76, 54, 124, 0, 219, 318, 942, 202, 691, 28
Scotland->China,0, 0, 0, 496, 634, 824, 474, 220, 0, 0
China->Germany,200, 10, 119, 265, 464, 1030, 457, 0, 34, 41
Spain->Netherlands,0, 0, 0, 0, 100, 196, 738, 350, 1100, 110
France->Scotland,0, 0, 3, 0, 13, 347, 621, 856, 694, 53
Netherlands->Belgium,0, 100, 0, 0, 0, 564, 761, 355, 597, 207
Portugal->Spain,0, 100, 0, 23, 55, 232, 1020, 598, 550, 0
France->Taiwan,0, 0, 16, 0, 121, 474, 827, 741, 398, 1
France->Netherlands,0, 0, 100, 0, 103, 233, 419, 777, 586, 344
Iceland->Scotland,0, 13, 0, 0, 16, 831, 209, 489, 960, 43
England->Luxembourg,0, 53, 0, 0, 139, 1061, 757, 188, 211, 100
Canada->France,30, 0, 0, 0, 0, 365, 1190, 299, 561, 0
Taiwan->Canada,76, 0, 0, 0, 200, 558, 884, 4, 715, 0
USA->Iceland,0, 14, 26, 0, 105, 224, 805, 157, 317, 763
France->Portugal,0, 0, 100, 0, 3, 221, 425, 928, 651, 79
England->DemocraticRepublicoftheCongo,9, 16, 0, 0, 100, 46, 1425, 474, 312, 0
Scotland->Luxembourg,0, 107, 0, 0, 168, 150, 119, 5, 654, 1157
Japan->HongKong,0, 100, 0, 122, 200, 1161, 571, 200, 0, 0
Iceland->Netherlands,0, 9, 0, 0, 2, 776, 544, 292, 628, 94
SouthKorea->China,22, 100, 160, 307, 785, 603, 260, 100, 0, 0
France->England,0, 0, 0, 0, 133, 116, 721, 334, 978, 21
Italy->India,197, 43, 0, 0, 8, 320, 900, 0, 330, 479
Spain->Luxembourg,0, 13, 0, 0, 134, 395, 679, 416, 624, 0
England->Switzerland,34, 187, 0, 27, 0, 451, 1249, 237, 74, 0
Germany->Canada,0, 0, 0, 30, 16, 117, 1390, 159, 468, 64
England->Taiwan,0, 9, 0, 0, 25, 509, 562, 413, 674, 42
Canada->Germany,0, 0, 0, 113, 0, 58, 608, 150, 827, 478
Australia->Iceland,1, 0, 24, 34, 0, 86, 806, 260, 879, 143
Scotland->Germany,0, 0, 0, 177, 0, 494, 867, 206, 328, 147
France->DemocraticRepublicoftheCongo,0, 8, 23, 0, 72, 239, 328, 731, 747, 49
Germany->Netherlands,0, 0, 0, 0, 2, 218, 896, 291, 678, 100
Spain->Austria,0, 7, 0, 8, 30, 494, 653, 183, 798, 0
Luxembourg->Taiwan,29, 0, 0, 0, 115, 520, 1219, 199, 76, 5
England->Japan,0, 0, 0, 0, 0, 288, 1434, 228, 177, 30
USA->Germany,0, 0, 0, 0, 33, 158, 1448, 124, 389, 0
Belgium->Luxembourg,0, 6, 0, 100, 109, 401, 424, 173, 186, 750
China->Canada,100, 0, 100, 401, 877, 403, 223, 0, 9, 0
China->Australia,124, 0, 317, 75, 266, 594, 623, 19, 90, 0
Taiwan->Australia,21, 300, 0, 0, 92, 231, 1014, 142, 289, 18
Switzerland->England,35, 0, 0, 0, 82, 504, 1113, 111, 181, 70
Australia->India,87, 0, 0, 200, 119, 485, 1172, 10, 1, 0
Canada->Taiwan,122, 91, 0, 3, 51, 580, 503, 166, 549, 0
Netherlands->USA,0, 54, 0, 0, 14, 278, 785, 222, 697, 13
Luxembourg->Iceland,29, 29, 34, 0, 21, 573, 598, 132, 579, 32
France->Finland,0, 0, 0, 0, 50, 202, 341, 787, 646, 0
China->Spain,100, 0, 0, 148, 827, 642, 269, 29, 0, 0
Germany->Belgium,0, 0, 4, 92, 132, 56, 486, 151, 1070, 9
Netherlands->France,0, 100, 0, 0, 94, 322, 681, 300, 441, 61
Iceland->Luxembourg,71, 43, 0, 0, 134, 559, 931, 30, 175, 38
Canada->Japan,0, 0, 0, 15, 0, 26, 1473, 467, 0, 0
Spain->Mexico,0, 58, 0, 0, 106, 244, 521, 471, 551, 23
Australia->Norway,1, 84, 0, 0, 170, 379, 891, 112, 310, 22
Japan->Portugal,0, 0, 0, 143, 78, 408, 1130, 65, 143, 0
Spain->Georgia,0, 60, 0, 37, 179, 297, 400, 300, 675, 13
USA->England,0, 4, 30, 6, 44, 161, 606, 199, 501, 401
England->Canada,13, 100, 0, 1, 65, 75, 578, 50, 996, 68
Portugal->Belgium,0, 0, 0, 0, 8, 131, 850, 430, 436, 82
Luxembourg->USA,24, 58, 69, 0, 0, 311, 880, 71, 208, 301
