name,date,location,area
EPI_ISL_402125,2019-12-31,China,
EPI_ISL_420036,2020-03-21,Australia,Victoria
EPI_ISL_422666,2020-03-16,Netherlands,
EPI_ISL_425770,2020-03-13,Scotland,
EPI_ISL_425817,2020-03-13,Scotland,
EPI_ISL_426297,2020-03-16,USA,New York
EPI_ISL_423259,2020-03-24,United Kingdom,England
EPI_ISL_421721,2020-03-17,USA,New York
EPI_ISL_417947,2020-03-19,Democratic Republic of the Congo,Kinshasa
EPI_ISL_420114,2020-03-09,Spain,Comunitat Valenciana
EPI_ISL_419669,2020-03-16,Austria,
EPI_ISL_423803,2020-03-24,United Kingdom,England
EPI_ISL_421755,2020-03-17,Luxembourg,
EPI_ISL_418548,2020-03-06,Ireland,Dublin
EPI_ISL_420030,2020-03-21,Democratic Republic of the Congo,Kinshasa
EPI_ISL_425722,2020-03-18,Scotland,
EPI_ISL_414457,2020-03-06,Netherlands,Noord Brabant
EPI_ISL_423481,2020-03-31,United Kingdom,England
EPI_ISL_416376,2020-02-05,China,Shanghai
EPI_ISL_418516,2020-03-06,Ireland,Tipperary
EPI_ISL_422522,2020-03-22,USA,New York
EPI_ISL_425863,2020-03-19,Scotland,
EPI_ISL_420106,2020-03-06,Singapore,
EPI_ISL_425293,2020-03-19,England,
EPI_ISL_419863,2020-03-18,Australia,Victoria
EPI_ISL_420386,2020-03-23,Belgium,Watermaal-Bosvoorde
EPI_ISL_425778,2020-03-13,Scotland,
EPI_ISL_425969,2020-03-28,Scotland,
EPI_ISL_423094,2020-03-24,United Kingdom,England
EPI_ISL_420555,2020-03-03,India,
EPI_ISL_422949,2020-03-27,Netherlands,Zuid Holland
EPI_ISL_421297,2020-03-22,USA,Wisconsin
EPI_ISL_418429,2020-03-18,France,ARA
EPI_ISL_403929,2019-12-30,China,Hubei
EPI_ISL_420745,2020-03-28,United Kingdom,England
EPI_ISL_426314,2020-03-25,USA,New York
EPI_ISL_419960,2020-03-22,Australia,Victoria
EPI_ISL_416569,2020-02-15,Japan,unknown
EPI_ISL_425562,2020-03-25,England,
EPI_ISL_426514,2020-03-11,USA,Arizona
EPI_ISL_421227,2020-01-21,China,Hangzhou
EPI_ISL_422586,2020-03-30,Netherlands,
EPI_ISL_423497,2020-03-31,United Kingdom,England
EPI_ISL_421748,2020-03-17,Luxembourg,
