edges/dates,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06
China->Singapore,800, 300, 0, 0, 0, 0, 0
China->USA,500, 500, 0, 100, 0, 0, 0
China->Taiwan,600, 200, 0, 0, 0, 0, 0
Sweden->UnitedArabEmirates,0, 500, 300, 0, 0, 0, 0
Luxembourg->France,0, 0, 799, 0, 0, 0, 0
China->UnitedArabEmirates,400, 300, 0, 0, 0, 0, 0
China->Australia,100, 600, 0, 0, 0, 0, 0
Sweden->Russia,0, 200, 300, 200, 0, 0, 0
Luxembourg->Germany,0, 0, 698, 0, 0, 0, 0
China->Thailand,500, 100, 0, 0, 0, 0, 0
Luxembourg->Italy,0, 75, 375, 100, 0, 0, 0
China->HongKong,200, 300, 0, 0, 0, 0, 0
China->Malaysia,200, 300, 0, 0, 0, 0, 0
China->Japan,300, 200, 0, 0, 0, 0, 0
Sweden->USA,0, 400, 0, 100, 0, 0, 0
Japan->Australia,0, 300, 200, 0, 0, 0, 0
China->SouthKorea,200, 200, 0, 0, 0, 0, 0
Sweden->Latvia,0, 100, 200, 100, 0, 0, 0
Sweden->Oman,0, 100, 200, 100, 0, 0, 0
Sweden->Poland,0, 200, 200, 0, 0, 0, 0
Sweden->Romania,0, 200, 100, 100, 0, 0, 0
France->Canada,0, 200, 100, 100, 0, 0, 0
France->Israel,0, 200, 100, 100, 0, 0, 0
UnitedKingdom->Chile,0, 100, 200, 100, 0, 0, 0
UnitedKingdom->Greece,0, 100, 300, 0, 0, 0, 0
Japan->Jordan,0, 100, 200, 100, 0, 0, 0
UnitedKingdom->Brazil,0, 0, 400, 0, 0, 0, 0
Russia->SouthAfrica,0, 0, 300, 100, 0, 0, 0
Switzerland->Belgium,0, 0, 400, 0, 0, 0, 0
Spain->Portugal,0, 0, 400, 0, 0, 0, 0
Luxembourg->Finland,0, 100, 200, 99, 0, 0, 0
Spain->UnitedKingdom,0, 0, 399, 0, 0, 0, 0
Spain->Switzerland,0, 0, 399, 0, 0, 0, 0
Luxembourg->Canada,0, 0, 398, 0, 0, 0, 0
Luxembourg->UnitedKingdom,0, 0, 99, 298, 0, 0, 0
Luxembourg->Poland,100, 0, 100, 175, 0, 0, 0
Italy->Netherlands,0, 0, 325, 0, 0, 0, 0
UnitedKingdom->USA,0, 100, 101, 100, 0, 0, 0
UnitedKingdom->Singapore,0, 100, 101, 100, 0, 0, 0
UnitedKingdom->Switzerland,0, 0, 301, 0, 0, 0, 0
Taiwan->USA,100, 100, 100, 0, 0, 0, 0
Thailand->Australia,100, 200, 0, 0, 0, 0, 0
China->Oman,200, 100, 0, 0, 0, 0, 0
Singapore->Malaysia,100, 0, 0, 200, 0, 0, 0
China->UnitedKingdom,0, 300, 0, 0, 0, 0, 0
China->Mexico,0, 200, 0, 100, 0, 0, 0
Turkey->India,0, 200, 100, 0, 0, 0, 0
Turkey->Australia,0, 300, 0, 0, 0, 0, 0
Australia->China,0, 300, 0, 0, 0, 0, 0
Poland->Japan,0, 100, 200, 0, 0, 0, 0
Poland->Argentina,0, 100, 200, 0, 0, 0, 0
Italy->Taiwan,0, 200, 100, 0, 0, 0, 0
Sweden->France,0, 100, 100, 100, 0, 0, 0
France->Brazil,0, 200, 0, 100, 0, 0, 0
France->CzechRepublic,0, 100, 200, 0, 0, 0, 0
France->Australia,0, 100, 100, 100, 0, 0, 0
Israel->USA,0, 100, 200, 0, 0, 0, 0
France->Luxembourg,0, 100, 200, 0, 0, 0, 0
France->Germany,0, 200, 100, 0, 0, 0, 0
France->Morocco,0, 100, 100, 100, 0, 0, 0
USA->Vietnam,0, 200, 100, 0, 0, 0, 0
UnitedArabEmirates->Turkey,0, 200, 100, 0, 0, 0, 0
Japan->USA,0, 100, 200, 0, 0, 0, 0
USA->Australia,0, 100, 100, 100, 0, 0, 0
SaudiArabia->Bangladesh,0, 200, 100, 0, 0, 0, 0
UnitedKingdom->Belgium,0, 100, 0, 200, 0, 0, 0
India->Malaysia,0, 0, 300, 0, 0, 0, 0
Luxembourg->Norway,0, 0, 300, 0, 0, 0, 0
NewZealand->UnitedKingdom,0, 0, 200, 100, 0, 0, 0
Netherlands->Denmark,0, 0, 200, 100, 0, 0, 0
Netherlands->Belgium,0, 0, 100, 200, 0, 0, 0
Vietnam->Russia,0, 0, 300, 0, 0, 0, 0
Vietnam->Italy,0, 0, 300, 0, 0, 0, 0
Sweden->Germany,0, 0, 200, 100, 0, 0, 0
UnitedKingdom->Italy,0, 0, 200, 100, 0, 0, 0
Switzerland->France,0, 0, 300, 0, 0, 0, 0
Switzerland->Israel,0, 0, 300, 0, 0, 0, 0
France->USA,0, 0, 200, 100, 0, 0, 0
Switzerland->UnitedKingdom,0, 0, 100, 200, 0, 0, 0
Luxembourg->DemocraticRepublicoftheCongo,0, 0, 200, 100, 0, 0, 0
Luxembourg->Latvia,0, 0, 300, 0, 0, 0, 0
Brazil->Netherlands,0, 0, 300, 0, 0, 0, 0
Luxembourg->Senegal,0, 0, 300, 0, 0, 0, 0
Poland->Belgium,0, 0, 100, 200, 0, 0, 0
Germany->USA,0, 0, 300, 0, 0, 0, 0
Austria->Netherlands,0, 0, 200, 100, 0, 0, 0
Russia->Austria,0, 0, 300, 0, 0, 0, 0
Austria->Switzerland,0, 0, 200, 100, 0, 0, 0
Sweden->Switzerland,0, 0, 100, 200, 0, 0, 0
Belgium->DemocraticRepublicoftheCongo,0, 0, 200, 100, 0, 0, 0
Spain->Hungary,0, 0, 300, 0, 0, 0, 0
Spain->Argentina,0, 0, 300, 0, 0, 0, 0
Brazil->Chile,0, 0, 100, 200, 0, 0, 0
Japan->Hungary,0, 0, 0, 300, 0, 0, 0
Luxembourg->India,0, 0, 199, 99, 0, 0, 0
Luxembourg->Russia,0, 0, 275, 0, 0, 0, 0
Luxembourg->Singapore,100, 0, 99, 75, 0, 0, 0
Italy->Poland,0, 100, 0, 125, 0, 0, 0
UnitedKingdom->Mexico,0, 100, 100, 1, 0, 0, 0
UnitedKingdom->Jordan,0, 100, 100, 1, 0, 0, 0
UnitedKingdom->Oman,0, 0, 201, 0, 0, 0, 0
UnitedKingdom->Canada,0, 0, 101, 100, 0, 0, 0
Luxembourg->Brazil,100, 100, 0, 0, 0, 0, 0
Luxembourg->Australia,100, 0, 100, 0, 0, 0, 0
Luxembourg->China,100, 0, 100, 0, 0, 0, 0
Taiwan->Singapore,200, 0, 0, 0, 0, 0, 0
Taiwan->HongKong,200, 0, 0, 0, 0, 0, 0
Taiwan->Thailand,200, 0, 0, 0, 0, 0, 0
Taiwan->China,100, 100, 0, 0, 0, 0, 0
China->Latvia,100, 100, 0, 0, 0, 0, 0
China->Iceland,100, 0, 0, 100, 0, 0, 0
China->India,100, 100, 0, 0, 0, 0, 0
China->Colombia,100, 100, 0, 0, 0, 0, 0
Turkey->France,100, 0, 0, 100, 0, 0, 0
Sweden->China,0, 100, 0, 100, 0, 0, 0
China->Uruguay,0, 200, 0, 0, 0, 0, 0
China->SaudiArabia,0, 200, 0, 0, 0, 0, 0
HongKong->Singapore,0, 200, 0, 0, 0, 0, 0
Japan->Israel,0, 100, 0, 100, 0, 0, 0
France->Italy,0, 200, 0, 0, 0, 0, 0
France->Denmark,0, 100, 0, 100, 0, 0, 0
France->NewZealand,0, 200, 0, 0, 0, 0, 0
France->Senegal,0, 100, 0, 100, 0, 0, 0
France->Netherlands,0, 100, 0, 100, 0, 0, 0
Poland->Colombia,0, 100, 100, 0, 0, 0, 0
Poland->Australia,0, 100, 100, 0, 0, 0, 0
Italy->USA,0, 100, 100, 0, 0, 0, 0
Italy->India,0, 100, 100, 0, 0, 0, 0
France->Greece,0, 100, 100, 0, 0, 0, 0
France->BosniaandHerzegovina,0, 100, 100, 0, 0, 0, 0
Israel->Portugal,0, 100, 100, 0, 0, 0, 0
Israel->Colombia,0, 100, 100, 0, 0, 0, 0
HongKong->Australia,0, 200, 0, 0, 0, 0, 0
UnitedKingdom->Colombia,0, 100, 0, 100, 0, 0, 0
UnitedArabEmirates->Taiwan,0, 100, 100, 0, 0, 0, 0
Japan->SouthKorea,0, 100, 100, 0, 0, 0, 0
Japan->Italy,0, 100, 100, 0, 0, 0, 0
SouthKorea->China,0, 200, 0, 0, 0, 0, 0
USA->Uganda,0, 100, 100, 0, 0, 0, 0
USA->SaudiArabia,0, 100, 100, 0, 0, 0, 0
India->Taiwan,0, 200, 0, 0, 0, 0, 0
India->Australia,0, 100, 100, 0, 0, 0, 0
India->Thailand,0, 100, 100, 0, 0, 0, 0
India->Singapore,0, 100, 100, 0, 0, 0, 0
Luxembourg->Iceland,0, 100, 0, 100, 0, 0, 0
UnitedArabEmirates->Oman,0, 100, 100, 0, 0, 0, 0
Japan->NewZealand,0, 100, 100, 0, 0, 0, 0
Japan->Oman,0, 100, 100, 0, 0, 0, 0
Japan->Austria,0, 100, 100, 0, 0, 0, 0
Singapore->India,0, 0, 200, 0, 0, 0, 0
Luxembourg->Switzerland,0, 0, 100, 100, 0, 0, 0
Luxembourg->Austria,0, 0, 200, 0, 0, 0, 0
Luxembourg->Belgium,0, 0, 200, 0, 0, 0, 0
SaudiArabia->India,0, 0, 200, 0, 0, 0, 0
SaudiArabia->Nigeria,0, 0, 200, 0, 0, 0, 0
Norway->Taiwan,0, 0, 100, 100, 0, 0, 0
Norway->Germany,0, 0, 100, 100, 0, 0, 0
Norway->Netherlands,0, 0, 200, 0, 0, 0, 0
Netherlands->Colombia,0, 0, 100, 100, 0, 0, 0
Netherlands->Germany,0, 0, 200, 0, 0, 0, 0
Germany->Belgium,0, 0, 200, 0, 0, 0, 0
Germany->Netherlands,0, 0, 200, 0, 0, 0, 0
Netherlands->Spain,0, 0, 200, 0, 0, 0, 0
Vietnam->UnitedKingdom,0, 0, 200, 0, 0, 0, 0
Vietnam->Brazil,0, 0, 200, 0, 0, 0, 0
Vietnam->CzechRepublic,0, 0, 200, 0, 0, 0, 0
Vietnam->Bangladesh,0, 0, 100, 100, 0, 0, 0
Vietnam->Sweden,0, 0, 200, 0, 0, 0, 0
Vietnam->Poland,0, 0, 200, 0, 0, 0, 0
Russia->Australia,0, 0, 200, 0, 0, 0, 0
Switzerland->Turkey,0, 0, 200, 0, 0, 0, 0
Sweden->SaudiArabia,0, 0, 100, 100, 0, 0, 0
Sweden->Kazakhstan,0, 0, 100, 100, 0, 0, 0
Latvia->Bangladesh,0, 0, 200, 0, 0, 0, 0
Latvia->UnitedKingdom,0, 0, 100, 100, 0, 0, 0
Russia->CzechRepublic,0, 0, 200, 0, 0, 0, 0
Russia->UnitedKingdom,0, 0, 200, 0, 0, 0, 0
UnitedKingdom->Portugal,0, 0, 100, 100, 0, 0, 0
Switzerland->Canada,0, 0, 200, 0, 0, 0, 0
Switzerland->Denmark,0, 0, 200, 0, 0, 0, 0
Switzerland->CzechRepublic,0, 0, 100, 100, 0, 0, 0
Switzerland->Italy,0, 0, 200, 0, 0, 0, 0
Spain->Australia,0, 0, 200, 0, 0, 0, 0
Spain->Georgia,0, 0, 200, 0, 0, 0, 0
USA->Austria,0, 0, 200, 0, 0, 0, 0
USA->Colombia,0, 0, 200, 0, 0, 0, 0
Norway->Italy,0, 0, 200, 0, 0, 0, 0
USA->India,0, 0, 200, 0, 0, 0, 0
Italy->France,0, 0, 200, 0, 0, 0, 0
Italy->Germany,0, 0, 200, 0, 0, 0, 0
Italy->Hungary,0, 0, 200, 0, 0, 0, 0
Italy->Israel,0, 0, 200, 0, 0, 0, 0
Germany->Canada,0, 0, 200, 0, 0, 0, 0
Germany->NewZealand,0, 0, 200, 0, 0, 0, 0
Vietnam->Japan,0, 0, 200, 0, 0, 0, 0
Vietnam->Switzerland,0, 0, 200, 0, 0, 0, 0
Poland->Morocco,0, 0, 200, 0, 0, 0, 0
Poland->Vietnam,0, 0, 200, 0, 0, 0, 0
Germany->Luxembourg,0, 0, 200, 0, 0, 0, 0
Germany->Italy,0, 0, 200, 0, 0, 0, 0
Israel->France,0, 0, 100, 100, 0, 0, 0
Portugal->Colombia,0, 0, 200, 0, 0, 0, 0
France->DemocraticRepublicoftheCongo,0, 0, 100, 100, 0, 0, 0
France->India,0, 0, 100, 100, 0, 0, 0
Switzerland->Morocco,0, 0, 200, 0, 0, 0, 0
Italy->Colombia,0, 0, 200, 0, 0, 0, 0
USA->Finland,0, 0, 200, 0, 0, 0, 0
UnitedKingdom->Nigeria,0, 0, 200, 0, 0, 0, 0
UnitedKingdom->NewZealand,0, 0, 100, 100, 0, 0, 0
NewZealand->Jordan,0, 0, 100, 100, 0, 0, 0
USA->Canada,0, 0, 100, 100, 0, 0, 0
Russia->Italy,0, 0, 200, 0, 0, 0, 0
Austria->CzechRepublic,0, 0, 100, 100, 0, 0, 0
Hungary->Belgium,0, 0, 200, 0, 0, 0, 0
Turkey->Switzerland,0, 0, 200, 0, 0, 0, 0
Turkey->Belgium,0, 0, 100, 100, 0, 0, 0
Finland->Australia,0, 0, 100, 100, 0, 0, 0
DemocraticRepublicoftheCongo->France,0, 0, 100, 100, 0, 0, 0
DemocraticRepublicoftheCongo->Belgium,0, 0, 100, 100, 0, 0, 0
Belgium->Hungary,0, 0, 100, 100, 0, 0, 0
UnitedKingdom->Poland,0, 0, 100, 100, 0, 0, 0
UnitedKingdom->Australia,0, 0, 100, 100, 0, 0, 0
Germany->Colombia,0, 0, 200, 0, 0, 0, 0
Germany->Japan,0, 0, 200, 0, 0, 0, 0
Spain->Mexico,0, 0, 200, 0, 0, 0, 0
Spain->Finland,0, 0, 200, 0, 0, 0, 0
Spain->Iceland,0, 0, 100, 100, 0, 0, 0
Luxembourg->Sweden,0, 0, 200, 0, 0, 0, 0
Japan->Netherlands,0, 0, 100, 100, 0, 0, 0
Japan->Vietnam,0, 0, 200, 0, 0, 0, 0
Spain->Italy,0, 0, 200, 0, 0, 0, 0
Spain->Colombia,0, 0, 200, 0, 0, 0, 0
Spain->Chile,0, 0, 200, 0, 0, 0, 0
Austria->Iceland,0, 0, 200, 0, 0, 0, 0
Austria->Georgia,0, 0, 100, 100, 0, 0, 0
Switzerland->Germany,0, 0, 200, 0, 0, 0, 0
Switzerland->India,0, 0, 200, 0, 0, 0, 0
USA->Taiwan,0, 0, 100, 100, 0, 0, 0
France->Chile,0, 0, 0, 200, 0, 0, 0
Sweden->Denmark,0, 0, 0, 200, 0, 0, 0
Australia->Belgium,0, 0, 0, 200, 0, 0, 0
France->Argentina,0, 0, 0, 200, 0, 0, 0
SouthAfrica->USA,0, 0, 0, 200, 0, 0, 0
Luxembourg->Turkey,100, 0, 0, 99, 0, 0, 0
Luxembourg->SaudiArabia,100, 0, 0, 99, 0, 0, 0
Spain->China,0, 100, 99, 0, 0, 0, 0
Luxembourg->Mexico,0, 100, 0, 99, 0, 0, 0
Luxembourg->USA,0, 0, 199, 0, 0, 0, 0
Spain->Russia,0, 0, 99, 100, 0, 0, 0
Luxembourg->Georgia,0, 100, 75, 0, 0, 0, 0
Luxembourg->Netherlands,0, 0, 75, 100, 0, 0, 0
Italy->Russia,0, 0, 25, 100, 0, 0, 0
UnitedKingdom->Spain,0, 100, 2, 0, 0, 0, 0
UnitedKingdom->India,0, 0, 101, 1, 0, 0, 0
Italy->Canada,0, 0, 101, 0, 0, 0, 0
Italy->Uganda,0, 0, 100, 1, 0, 0, 0
UnitedKingdom->Romania,0, 0, 101, 0, 0, 0, 0
Luxembourg->HongKong,100, 0, 0, 0, 0, 0, 0
China->Netherlands,100, 0, 0, 0, 0, 0, 0
Taiwan->Japan,100, 0, 0, 0, 0, 0, 0
Taiwan->France,100, 0, 0, 0, 0, 0, 0
Taiwan->Norway,100, 0, 0, 0, 0, 0, 0
Thailand->Austria,100, 0, 0, 0, 0, 0, 0
Thailand->NewZealand,100, 0, 0, 0, 0, 0, 0
Thailand->UnitedKingdom,100, 0, 0, 0, 0, 0, 0
Thailand->Denmark,100, 0, 0, 0, 0, 0, 0
Thailand->France,100, 0, 0, 0, 0, 0, 0
Thailand->SouthKorea,100, 0, 0, 0, 0, 0, 0
Thailand->HongKong,100, 0, 0, 0, 0, 0, 0
HongKong->Vietnam,100, 0, 0, 0, 0, 0, 0
China->Vietnam,100, 0, 0, 0, 0, 0, 0
China->SouthAfrica,100, 0, 0, 0, 0, 0, 0
China->Greece,100, 0, 0, 0, 0, 0, 0
China->Finland,100, 0, 0, 0, 0, 0, 0
China->Sweden,100, 0, 0, 0, 0, 0, 0
Malaysia->Singapore,100, 0, 0, 0, 0, 0, 0
Sweden->Colombia,0, 100, 0, 0, 0, 0, 0
Singapore->Spain,0, 100, 0, 0, 0, 0, 0
Spain->Thailand,0, 100, 0, 0, 0, 0, 0
China->Spain,0, 100, 0, 0, 0, 0, 0
Australia->Japan,0, 100, 0, 0, 0, 0, 0
Australia->UnitedKingdom,0, 100, 0, 0, 0, 0, 0
Australia->HongKong,0, 100, 0, 0, 0, 0, 0
Australia->France,0, 100, 0, 0, 0, 0, 0
HongKong->Japan,0, 100, 0, 0, 0, 0, 0
Japan->HongKong,0, 100, 0, 0, 0, 0, 0
Japan->Singapore,0, 100, 0, 0, 0, 0, 0
Japan->UnitedArabEmirates,0, 100, 0, 0, 0, 0, 0
USA->Singapore,0, 100, 0, 0, 0, 0, 0
USA->France,0, 100, 0, 0, 0, 0, 0
Senegal->Austria,0, 100, 0, 0, 0, 0, 0
Senegal->Russia,0, 100, 0, 0, 0, 0, 0
Senegal->Uganda,0, 100, 0, 0, 0, 0, 0
Senegal->Switzerland,0, 100, 0, 0, 0, 0, 0
Senegal->NewZealand,0, 100, 0, 0, 0, 0, 0
Senegal->Poland,0, 100, 0, 0, 0, 0, 0
Senegal->Chile,0, 100, 0, 0, 0, 0, 0
USA->Malaysia,0, 100, 0, 0, 0, 0, 0
Poland->Denmark,0, 100, 0, 0, 0, 0, 0
China->Senegal,0, 100, 0, 0, 0, 0, 0
USA->Chile,0, 100, 0, 0, 0, 0, 0
Poland->Turkey,0, 100, 0, 0, 0, 0, 0
Turkey->Italy,0, 100, 0, 0, 0, 0, 0
Italy->Romania,0, 100, 0, 0, 0, 0, 0
Italy->Sweden,0, 100, 0, 0, 0, 0, 0
Sweden->SouthAfrica,0, 100, 0, 0, 0, 0, 0
BosniaandHerzegovina->Belgium,0, 100, 0, 0, 0, 0, 0
BosniaandHerzegovina->CzechRepublic,0, 100, 0, 0, 0, 0, 0
BosniaandHerzegovina->France,0, 100, 0, 0, 0, 0, 0
France->Austria,0, 100, 0, 0, 0, 0, 0
Israel->Italy,0, 100, 0, 0, 0, 0, 0
Israel->Taiwan,0, 100, 0, 0, 0, 0, 0
Israel->Greece,0, 100, 0, 0, 0, 0, 0
Israel->Norway,0, 100, 0, 0, 0, 0, 0
Israel->SouthAfrica,0, 100, 0, 0, 0, 0, 0
SouthAfrica->Brazil,0, 100, 0, 0, 0, 0, 0
SouthAfrica->France,0, 100, 0, 0, 0, 0, 0
France->Taiwan,0, 100, 0, 0, 0, 0, 0
France->SaudiArabia,0, 100, 0, 0, 0, 0, 0
HongKong->China,0, 100, 0, 0, 0, 0, 0
Singapore->Thailand,0, 100, 0, 0, 0, 0, 0
Singapore->SouthKorea,0, 100, 0, 0, 0, 0, 0
