edges/dates,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06
Bangladesh->Sweden,0, 696, 0, 0, 0, 0, 0
China->Singapore,3, 629, 0, 0, 0, 0, 0
Singapore->India,0, 436, 0, 100, 0, 0, 0
China->SouthKorea,106, 422, 0, 0, 0, 0, 0
China->Australia,9, 468, 10, 0, 0, 0, 0
France->USA,0, 0, 377, 75, 0, 0, 0
Italy->Russia,100, 153, 80, 100, 0, 0, 0
USA->Taiwan,14, 17, 352, 21, 0, 0, 0
Switzerland->India,0, 121, 232, 44, 0, 0, 0
Singapore->Malaysia,51, 321, 0, 17, 0, 0, 0
China->Taiwan,178, 206, 4, 0, 0, 0, 0
India->Singapore,0, 384, 0, 0, 0, 0, 0
USA->Canada,0, 6, 147, 221, 0, 0, 0
China->HongKong,262, 110, 0, 0, 0, 0, 0
Bangladesh->Russia,0, 332, 33, 0, 0, 0, 0
SaudiArabia->Turkey,0, 5, 93, 252, 0, 0, 0
DemocraticRepublicoftheCongo->Luxembourg,0, 0, 150, 200, 0, 0, 0
Italy->Switzerland,23, 59, 258, 3, 0, 0, 0
Sweden->Russia,3, 100, 113, 14, 100, 0, 0
Sweden->Latvia,97, 120, 0, 100, 0, 0, 0
China->Thailand,203, 112, 0, 0, 0, 0, 0
Belgium->Hungary,32, 0, 241, 37, 0, 0, 0
China->Malaysia,203, 100, 0, 0, 0, 0, 0
China->Oman,200, 100, 0, 0, 0, 0, 0
France->BosniaandHerzegovina,0, 0, 300, 0, 0, 0, 0
SaudiArabia->Nigeria,0, 0, 200, 100, 0, 0, 0
Brazil->Argentina,0, 0, 100, 200, 0, 0, 0
Bangladesh->Latvia,0, 241, 58, 0, 0, 0, 0
China->USA,49, 235, 9, 0, 0, 0, 0
Switzerland->Italy,14, 36, 241, 0, 0, 0, 0
SouthKorea->China,9, 277, 0, 0, 0, 0, 0
Bangladesh->UnitedKingdom,0, 184, 77, 21, 0, 0, 0
France->Morocco,25, 0, 251, 0, 0, 0, 0
Poland->Switzerland,43, 0, 0, 229, 0, 0, 0
Sweden->Taiwan,62, 0, 196, 14, 0, 0, 0
Italy->Netherlands,6, 148, 60, 57, 0, 0, 0
France->Australia,55, 44, 69, 100, 0, 0, 0
SaudiArabia->USA,1, 1, 166, 100, 0, 0, 0
Greece->UnitedKingdom,0, 181, 67, 15, 0, 0, 0
Colombia->India,0, 6, 0, 248, 0, 0, 0
UnitedArabEmirates->Turkey,15, 214, 23, 0, 0, 0, 0
Italy->Iceland,0, 74, 176, 2, 0, 0, 0
Canada->USA,0, 97, 47, 105, 0, 0, 0
SouthKorea->USA,5, 243, 0, 0, 0, 0, 0
Germany->Italy,45, 0, 115, 88, 0, 0, 0
Switzerland->Taiwan,1, 147, 100, 0, 0, 0, 0
France->Netherlands,0, 0, 210, 37, 0, 0, 0
France->Luxembourg,0, 0, 151, 95, 0, 0, 0
Austria->Denmark,0, 29, 211, 0, 0, 0, 0
France->DemocraticRepublicoftheCongo,0, 0, 239, 0, 0, 0, 0
USA->Australia,0, 0, 186, 52, 0, 0, 0
BosniaandHerzegovina->Norway,237, 0, 0, 0, 0, 0, 0
Italy->Norway,0, 237, 0, 0, 0, 0, 0
France->Senegal,0, 0, 136, 100, 0, 0, 0
UnitedKingdom->Singapore,0, 35, 100, 100, 0, 0, 0
France->Norway,0, 0, 232, 0, 0, 0, 0
France->Germany,0, 80, 127, 24, 0, 0, 0
Italy->India,0, 1, 230, 0, 0, 0, 0
Australia->Japan,100, 36, 92, 0, 0, 0, 0
Italy->Germany,80, 0, 115, 32, 0, 0, 0
Germany->NewZealand,0, 0, 200, 27, 0, 0, 0
SaudiArabia->Brazil,0, 10, 15, 200, 0, 0, 0
