Spreaders,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06
China,43.49,31.65,5.02,3.04,0.00,0.00,0.00
France,2.80,8.24,31.27,12.69,0.00,0.00,0.00
Italy,7.58,8.46,27.61,7.87,0.00,0.00,0.00
Belgium,1.68,2.34,8.10,5.55,0.00,0.00,0.00
Switzerland,5.62,6.22,27.26,7.57,0.00,0.00,0.00
Spain,7.50,4.00,20.30,5.80,0.00,0.00,0.00
USA,5.93,13.29,21.72,13.27,0.00,0.00,0.00
UnitedKingdom,4.71,9.66,21.32,9.99,0.00,0.00,0.00


Receivers,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06
Australia,6.50,14.77,14.99,6.39,0.20,0.00,0.00
USA,6.80,11.52,14.80,7.05,0.10,0.00,0.00
UnitedKingdom,3.52,5.44,14.86,10.62,0.10,0.00,0.00
Switzerland,3.40,5.00,17.11,7.11,0.10,0.00,0.00
Taiwan,8.10,8.60,8.20,3.40,0.00,0.00,0.00
India,3.10,6.60,14.14,5.00,0.00,0.00,0.00
Germany,5.78,6.00,15.40,5.20,0.00,0.00,0.00
Belgium,2.70,3.90,14.20,11.00,0.00,0.00,0.00
