Spreaders,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06
China,43486, 31706, 5011, 3035, 0, 0, 0
USA,5896, 13237, 21710, 13244, 0, 0, 0
France,2800, 8239, 31299, 12706, 0, 0, 0
Italy,7576, 8525, 27616, 7950, 0, 0, 0
Spain,7500, 4000, 20279, 5800, 0, 0, 0
Germany,8710, 6000, 24800, 6300, 0, 0, 0
UnitedKingdom,4748, 9586, 21339, 9955, 0, 0, 0
Switzerland,5648, 6196, 27194, 7572, 0, 0, 0


Receivers,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06
China,8027, 8549, 2089, 600, 0, 0, 0
USA,6800, 11553, 14795, 7054, 100, 0, 0
France,4923, 4921, 15931, 4216, 0, 0, 0
Italy,4800, 7040, 16627, 2382, 0, 0, 0
Spain,2500, 4200, 8806, 1500, 0, 0, 0
Germany,5790, 6000, 15400, 5200, 0, 0, 0
UnitedKingdom,3511, 5422, 14849, 10632, 100, 0, 0
Switzerland,3400, 5000, 17103, 7098, 100, 0, 0
