Spreaders,Name,Count
2019-12,China,20.00
,Singapore,3.00
,HongKong,1.00
,Germany,1.00
,Taiwan,1.00
2020-01,China,16.00
,USA,6.00
,UnitedArabEmirates,6.00
,Australia,6.00
,India,5.00
2020-02,Switzerland,18.00
,France,17.00
,Germany,15.00
,Italy,14.00
,Spain,11.00
2020-03,USA,9.00
,France,8.00
,Sweden,6.00
,DemocraticRepublicoftheCongo,5.00
,Poland,3.00
2020-042020-052020-06

Receivers,Name,Count
2019-12,China,3.00
,Australia,2.00
,Thailand,2.00
,SouthKorea,2.00
,USA,1.00
2020-01,Australia,6.00
,Malaysia,4.00
,China,4.00
,Thailand,4.00
,HongKong,4.00
2020-02,Belgium,11.00
,Switzerland,11.00
,Italy,10.00
,France,9.00
,India,8.00
2020-03,Belgium,8.00
,UnitedKingdom,6.00
,Canada,4.00
,Austria,4.00
,Australia,3.00
2020-042020-052020-06
