Spreaders,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06
China,34935, 21624, 1519, 787, 0, 0, 0
USA,6532, 13420, 21025, 8516, 45, 0, 0
France,3204, 9066, 24449, 6682, 0, 0, 0
Italy,6445, 8513, 21515, 3884, 0, 0, 0
Spain,4910, 5312, 15646, 4371, 0, 0, 0
Germany,8547, 7018, 22370, 3527, 0, 0, 0
UnitedKingdom,4430, 6967, 20148, 7371, 36, 0, 0
Switzerland,6242, 5708, 26851, 5247, 29, 0, 0


Receivers,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06
China,9607, 9284, 1966, 584, 0, 0, 0
USA,6857, 11821, 15490, 6042, 55, 0, 0
France,4964, 5312, 17015, 3931, 0, 0, 0
Italy,4882, 7245, 17453, 2376, 0, 0, 0
Spain,3284, 4113, 9540, 1430, 0, 0, 0
Germany,6198, 5876, 15346, 4655, 0, 0, 0
UnitedKingdom,3712, 5915, 15359, 9677, 64, 0, 0
Switzerland,3658, 5398, 16893, 6423, 71, 0, 0
