Spreaders,Name,Count,Name,Count,Name,Count,Name,Count,Name,Count
2019-12,China,34935,Germany,8547,USA,6532,Italy,6445,Singapore,6395
2020-01,China,21624,USA,13420,Australia,10728,Sweden,9149,France,9066
2020-02,Switzerland,26851,France,24449,Germany,22370,Italy,21515,USA,21025
2020-03,USA,8516,UnitedKingdom,7371,Poland,7237,Sweden,7233,France,6682
2020-04,Sweden,226,Bangladesh,100,Chile,100,Oman,100,Russia,70
2020-05
2020-06



Receivers,Name,Count,Name,Count,Name,Count,Name,Count,Name,Count
2019-12,China,9607,Taiwan,8014,USA,6857,Australia,6730,Singapore,6671
2020-01,Australia,14985,USA,11821,China,9284,Singapore,9072,Taiwan,8459
2020-02,Italy,17453,France,17015,Switzerland,16893,USA,15490,UnitedKingdom,15359
2020-03,Belgium,9804,UnitedKingdom,9677,Switzerland,6423,Canada,6238,USA,6042
2020-04,Russia,165,Australia,151,Sweden,115,Oman,100,Chile,100
2020-05
2020-06
