Spreaders,Name,Count
2019-12,China,11.00
,France,6.00
,Austria,2.00
,SaudiArabia,2.00
,Thailand,1.00
2020-01,China,22.00
,Belgium,21.00
,UnitedArabEmirates,8.00
,Australia,7.00
,Oman,6.00
2020-02,France,30.00
,Italy,25.00
,Spain,19.00
,UnitedKingdom,19.00
,USA,14.00
2020-03,France,18.00
,Netherlands,18.00
,Belgium,18.00
,USA,17.00
,Switzerland,17.00
2020-04,India,1.00
,Luxembourg,1.00
2020-052020-06

Receivers,Name,Count
2019-12,USA,2.00
,UnitedArabEmirates,2.00
,China,2.00
,Thailand,1.00
,HongKong,1.00
2020-01,Australia,6.00
,Taiwan,5.00
,China,5.00
,HongKong,4.00
,Singapore,4.00
2020-02,UnitedKingdom,12.00
,Switzerland,10.00
,Germany,9.00
,Italy,9.00
,Australia,9.00
2020-03,Australia,15.00
,Switzerland,12.00
,UnitedKingdom,12.00
,Austria,11.00
,Germany,11.00
2020-04,Luxembourg,1.00
,China,1.00
2020-052020-06
