edges/dates,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06
China->USA,4100, 3853, 211, 500, 0, 0, 0
China->Singapore,3600, 3151, 0, 0, 0, 0, 0
China->Taiwan,4100, 1500, 100, 351, 0, 0, 0
China->Australia,1800, 3500, 300, 0, 0, 0, 0
China->Thailand,3700, 1200, 0, 0, 0, 0, 0
China->HongKong,3004, 1400, 0, 0, 0, 0, 0
China->UnitedArabEmirates,1900, 1800, 200, 251, 0, 0, 0
China->SouthKorea,1800, 2251, 0, 0, 0, 0, 0
USA->Taiwan,500, 600, 2100, 749, 0, 0, 0
USA->Canada,300, 600, 1600, 1400, 0, 0, 0
Sweden->Russia,400, 800, 1601, 800, 200, 0, 0
USA->Australia,428, 600, 1700, 900, 0, 0, 0
Singapore->India,0, 800, 1400, 1400, 0, 0, 0
Sweden->UnitedArabEmirates,500, 1300, 1715, 0, 0, 0, 0
France->USA,0, 100, 2984, 400, 0, 0, 0
China->Malaysia,1800, 1100, 300, 100, 0, 0, 0
SaudiArabia->Turkey,0, 300, 900, 2100, 0, 0, 0
Singapore->Malaysia,400, 770, 900, 1000, 0, 0, 0
Italy->Switzerland,400, 500, 1866, 300, 0, 0, 0
China->Japan,1511, 1400, 100, 0, 0, 0, 0
India->Singapore,200, 800, 1600, 400, 0, 0, 0
Poland->Belgium,100, 0, 1000, 1800, 0, 0, 0
France->Luxembourg,0, 392, 1609, 892, 0, 0, 0
Spain->Argentina,500, 200, 1500, 500, 0, 0, 0
China->Oman,1600, 900, 200, 0, 0, 0, 0
Germany->Netherlands,700, 300, 1400, 300, 0, 0, 0
France->Israel,0, 400, 1900, 400, 0, 0, 0
USA->France,323, 300, 1505, 500, 0, 0, 0
France->Senegal,0, 100, 1200, 1300, 0, 0, 0
Germany->Belgium,600, 100, 1500, 300, 0, 0, 0
Sweden->Latvia,500, 400, 893, 700, 0, 0, 0
Russia->Italy,0, 718, 1292, 400, 0, 0, 0
Italy->Netherlands,300, 318, 1532, 254, 0, 0, 0
UnitedKingdom->Singapore,0, 400, 1303, 700, 0, 0, 0
Italy->Germany,400, 300, 1500, 200, 0, 0, 0
Spain->Chile,500, 200, 1500, 200, 0, 0, 0
Sweden->USA,200, 1000, 900, 200, 100, 0, 0
India->Malaysia,100, 800, 600, 900, 0, 0, 0
France->Germany,0, 892, 1292, 200, 0, 0, 0
France->Australia,198, 400, 1094, 684, 0, 0, 0
Sweden->Denmark,200, 100, 300, 1700, 0, 0, 0
India->Australia,100, 900, 900, 400, 0, 0, 0
UnitedKingdom->NewZealand,200, 300, 1500, 289, 0, 0, 0
Switzerland->UnitedKingdom,200, 100, 1162, 796, 0, 0, 0
UnitedKingdom->Switzerland,200, 400, 1203, 424, 0, 0, 0
Sweden->Poland,800, 300, 808, 300, 0, 0, 0
Spain->Hungary,300, 200, 1500, 200, 0, 0, 0
Netherlands->Belgium,200, 100, 800, 1100, 0, 0, 0
Germany->Canada,100, 0, 1700, 400, 0, 0, 0
SouthKorea->China,0, 2200, 0, 0, 0, 0, 0
Brazil->Chile,0, 300, 1000, 900, 0, 0, 0
Singapore->China,1770, 400, 0, 0, 0, 0, 0
Switzerland->Italy,500, 200, 1326, 100, 0, 0, 0
DemocraticRepublicoftheCongo->Luxembourg,100, 400, 900, 715, 0, 0, 0
Belgium->Hungary,0, 0, 1100, 1003, 0, 0, 0
Switzerland->Vietnam,100, 300, 1700, 0, 0, 0, 0
Brazil->Argentina,0, 200, 1500, 400, 0, 0, 0
France->Canada,0, 500, 1292, 292, 0, 0, 0
Italy->Poland,400, 618, 518, 532, 0, 0, 0
Luxembourg->France,100, 0, 1657, 300, 0, 0, 0
Italy->India,500, 100, 1438, 0, 0, 0, 0
Sweden->Switzerland,300, 0, 602, 1000, 100, 0, 0
Spain->Italy,700, 100, 1200, 0, 0, 0, 0
Sweden->France,300, 700, 800, 200, 0, 0, 0
UnitedKingdom->Italy,398, 628, 547, 400, 0, 0, 0
Denmark->NewZealand,0, 154, 900, 900, 0, 0, 0
UnitedKingdom->Brazil,200, 249, 1400, 100, 0, 0, 0
UnitedKingdom->USA,300, 300, 339, 1000, 0, 0, 0
Sweden->Germany,525, 300, 700, 400, 0, 0, 0
DemocraticRepublicoftheCongo->France,0, 0, 687, 1230, 0, 0, 0
UnitedArabEmirates->Taiwan,300, 600, 800, 211, 0, 0, 0
Bangladesh->Sweden,500, 800, 500, 100, 0, 0, 0
Sweden->Bangladesh,500, 400, 900, 100, 0, 0, 0
Germany->Italy,300, 400, 1100, 100, 0, 0, 0
DemocraticRepublicoftheCongo->Belgium,100, 300, 700, 800, 0, 0, 0
Switzerland->Turkey,200, 200, 1500, 0, 0, 0, 0
USA->Mexico,100, 500, 1200, 100, 0, 0, 0
Germany->UnitedKingdom,100, 300, 900, 600, 0, 0, 0
USA->Norway,300, 100, 900, 600, 0, 0, 0
Spain->Portugal,0, 300, 1100, 500, 0, 0, 0
USA->NewZealand,0, 146, 700, 1046, 0, 0, 0
Switzerland->India,200, 213, 1262, 200, 0, 0, 0
Luxembourg->Italy,200, 168, 1388, 100, 0, 0, 0
Italy->Australia,500, 200, 938, 218, 0, 0, 0
Italy->Luxembourg,400, 132, 1218, 103, 0, 0, 0
Italy->UnitedKingdom,200, 300, 738, 600, 0, 0, 0
Russia->Argentina,100, 100, 567, 1067, 0, 0, 0
Luxembourg->DemocraticRepublicoftheCongo,200, 100, 900, 606, 0, 0, 0
Italy->Belgium,100, 0, 885, 818, 0, 0, 0
Germany->NewZealand,300, 100, 1100, 300, 0, 0, 0
UnitedArabEmirates->Australia,0, 1600, 200, 0, 0, 0, 0
Denmark->Germany,0, 300, 800, 700, 0, 0, 0
USA->China,449, 1049, 200, 100, 0, 0, 0
Spain->Switzerland,600, 100, 997, 100, 0, 0, 0
UnitedKingdom->Greece,100, 300, 1300, 96, 0, 0, 0
UnitedKingdom->Chile,100, 300, 1145, 247, 0, 0, 0
France->Finland,0, 200, 1292, 292, 0, 0, 0
Russia->Sweden,200, 400, 799, 370, 0, 0, 0
Russia->SouthAfrica,0, 400, 567, 800, 0, 0, 0
Switzerland->Russia,100, 600, 864, 200, 0, 0, 0
Singapore->Thailand,470, 770, 100, 400, 0, 0, 0
USA->Singapore,170, 749, 300, 500, 0, 0, 0
USA->Colombia,200, 5, 1005, 500, 0, 0, 0
Russia->Austria,0, 400, 1307, 0, 0, 0, 0
UnitedKingdom->Jordan,0, 600, 900, 203, 0, 0, 0
Italy->Spain,100, 500, 1000, 100, 0, 0, 0
China->Germany,1400, 200, 100, 0, 0, 0, 0
Germany->Austria,500, 200, 900, 100, 0, 0, 0
Sweden->Oman,100, 100, 500, 1000, 0, 0, 0
Germany->Switzerland,200, 100, 1100, 300, 0, 0, 0
Switzerland->Belgium,100, 300, 1100, 200, 0, 0, 0
UnitedArabEmirates->Turkey,0, 800, 700, 200, 0, 0, 0
UnitedArabEmirates->Sweden,0, 900, 700, 100, 0, 0, 0
Luxembourg->Belgium,0, 300, 700, 700, 0, 0, 0
France->DemocraticRepublicoftheCongo,0, 400, 1000, 292, 0, 0, 0
Switzerland->France,200, 6, 1477, 0, 0, 0, 0
France->Switzerland,0, 192, 1192, 292, 0, 0, 0
France->Morocco,100, 271, 1200, 100, 0, 0, 0
SaudiArabia->India,0, 200, 1000, 401, 0, 0, 0
Australia->Japan,700, 800, 100, 0, 0, 0, 0
Poland->UnitedKingdom,200, 0, 600, 800, 0, 0, 0
China->Mexico,400, 300, 500, 400, 0, 0, 0
China->Spain,300, 900, 400, 0, 0, 0, 0
USA->Denmark,100, 100, 1000, 400, 0, 0, 0
Spain->Colombia,0, 300, 800, 500, 0, 0, 0
SaudiArabia->USA,0, 400, 1000, 200, 0, 0, 0
Russia->Switzerland,0, 800, 700, 100, 0, 0, 0
Vietnam->Italy,0, 100, 1300, 200, 0, 0, 0
USA->Vietnam,49, 949, 200, 400, 0, 0, 0
Spain->UnitedKingdom,400, 0, 1097, 100, 0, 0, 0
HongKong->China,689, 900, 0, 0, 0, 0, 0
DemocraticRepublicoftheCongo->Switzerland,100, 100, 387, 1000, 0, 0, 0
Russia->UnitedKingdom,0, 300, 1000, 285, 0, 0, 0
Japan->Hungary,0, 0, 826, 752, 0, 0, 0
Russia->CzechRepublic,0, 400, 1067, 100, 0, 0, 0
Italy->Russia,100, 500, 760, 200, 0, 0, 0
Japan->Israel,0, 800, 500, 226, 0, 0, 0
Switzerland->Netherlands,200, 413, 800, 106, 0, 0, 0
Switzerland->Argentina,0, 200, 1002, 306, 0, 0, 0
Switzerland->Germany,400, 2, 1002, 100, 0, 0, 0
Spain->Georgia,100, 0, 1300, 100, 0, 0, 0
India->Thailand,100, 700, 600, 100, 0, 0, 0
Spain->Australia,100, 200, 800, 400, 0, 0, 0
UnitedKingdom->Poland,0, 200, 700, 600, 0, 0, 0
UnitedKingdom->Nigeria,0, 300, 1200, 0, 0, 0, 0
SaudiArabia->Bangladesh,0, 200, 800, 500, 0, 0, 0
Russia->Vietnam,0, 200, 1300, 0, 0, 0, 0
Luxembourg->Finland,100, 100, 1100, 197, 0, 0, 0
France->Portugal,0, 0, 471, 955, 0, 0, 0
China->UnitedKingdom,309, 800, 100, 211, 0, 0, 0
Switzerland->Morocco,0, 113, 1020, 283, 0, 0, 0
HongKong->Australia,302, 1000, 100, 0, 0, 0, 0
Japan->Australia,300, 600, 300, 200, 0, 0, 0
Spain->Austria,400, 100, 300, 600, 0, 0, 0
Japan->Italy,300, 700, 300, 100, 0, 0, 0
China->France,1200, 200, 0, 0, 0, 0, 0
China->Netherlands,1300, 0, 100, 0, 0, 0, 0
Germany->France,300, 200, 700, 200, 0, 0, 0
Germany->Vietnam,400, 400, 500, 100, 0, 0, 0
India->Taiwan,200, 800, 200, 200, 0, 0, 0
Australia->Georgia,100, 1000, 300, 0, 0, 0, 0
Israel->Denmark,0, 400, 800, 200, 0, 0, 0
Denmark->France,0, 300, 900, 200, 0, 0, 0
Israel->France,0, 300, 1000, 100, 0, 0, 0
USA->Austria,0, 0, 500, 900, 0, 0, 0
Japan->Jordan,0, 100, 798, 500, 0, 0, 0
France->Taiwan,100, 300, 692, 300, 0, 0, 0
Australia->China,428, 900, 0, 0, 0, 0, 0
Switzerland->Japan,0, 300, 928, 100, 0, 0, 0
France->Denmark,0, 125, 984, 200, 0, 0, 0
Spain->Mexico,300, 100, 600, 300, 0, 0, 0
China->Canada,400, 800, 100, 0, 0, 0, 0
China->SaudiArabia,400, 800, 0, 100, 0, 0, 0
Germany->Poland,100, 0, 1000, 200, 0, 0, 0
Netherlands->Germany,200, 0, 1100, 0, 0, 0, 0
Germany->Luxembourg,100, 100, 900, 200, 0, 0, 0
Germany->Australia,300, 300, 500, 200, 0, 0, 0
Poland->Japan,100, 200, 800, 200, 0, 0, 0
SaudiArabia->Nigeria,0, 100, 1000, 200, 0, 0, 0
Luxembourg->Germany,0, 106, 1094, 100, 0, 0, 0
Netherlands->Austria,0, 100, 1000, 200, 0, 0, 0
Israel->Canada,0, 0, 400, 900, 0, 0, 0
UnitedKingdom->Australia,198, 189, 500, 400, 0, 0, 0
France->Austria,0, 100, 892, 292, 0, 0, 0
Netherlands->UnitedKingdom,200, 0, 975, 100, 0, 0, 0
France->Colombia,0, 175, 892, 200, 0, 0, 0
Denmark->Colombia,0, 220, 700, 325, 0, 0, 0
Italy->Taiwan,138, 800, 300, 0, 0, 0, 0
Denmark->Israel,0, 125, 700, 400, 0, 0, 0
India->SaudiArabia,0, 522, 500, 200, 0, 0, 0
Luxembourg->Switzerland,0, 206, 510, 506, 0, 0, 0
Italy->Iceland,0, 200, 918, 100, 0, 0, 0
China->Iceland,500, 100, 100, 511, 0, 0, 0
China->NewZealand,500, 400, 100, 211, 0, 0, 0
USA->Sweden,200, 205, 600, 200, 0, 0, 0
Thailand->Australia,402, 802, 0, 0, 0, 0, 0
Vietnam->Portugal,0, 0, 1002, 200, 0, 0, 0
Austria->Germany,200, 400, 600, 0, 0, 0, 0
Austria->Switzerland,100, 0, 700, 400, 0, 0, 0
Japan->Singapore,700, 400, 100, 0, 0, 0, 0
Japan->China,900, 300, 0, 0, 0, 0, 0
DemocraticRepublicoftheCongo->Germany,200, 500, 200, 300, 0, 0, 0
Sweden->Taiwan,300, 200, 500, 200, 0, 0, 0
Germany->Latvia,400, 200, 400, 200, 0, 0, 0
Netherlands->Portugal,100, 0, 1100, 0, 0, 0, 0
