edges,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06
USA->Canada,0.30,0.60,1.60,1.40,0.00,0.00,0.00
Singapore->India,0.00,0.80,1.40,1.40,0.00,0.00,0.00
Germany->Netherlands,0.70,0.30,1.40,0.30,0.00,0.00,0.00
China->USA,4.10,3.83,0.22,0.50,0.00,0.00,0.00
USA->France,0.32,0.30,1.51,0.50,0.00,0.00,0.00
Belgium->Hungary,0.00,0.00,1.10,1.00,0.00,0.00,0.00
Singapore->Malaysia,0.40,0.77,0.90,1.00,0.00,0.00,0.00
USA->Australia,0.43,0.60,1.70,0.90,0.00,0.00,0.00
Poland->UnitedKingdom,0.20,0.00,0.60,0.80,0.00,0.00,0.00
Bangladesh->Sweden,0.50,0.80,0.50,0.10,0.00,0.00,0.00
China->Singapore,3.60,3.14,0.00,0.00,0.00,0.00,0.00
Italy->Spain,0.10,0.50,1.00,0.10,0.00,0.00,0.00
DemocraticRepublicoftheCongo->Germany,0.20,0.50,0.20,0.30,0.00,0.00,0.00
Spain->DemocraticRepublicoftheCongo,0.10,0.10,0.10,0.20,0.00,0.00,0.00
Sweden->Denmark,0.20,0.10,0.30,1.70,0.00,0.00,0.00
Germany->France,0.30,0.20,0.70,0.20,0.00,0.00,0.00
Spain->Italy,0.70,0.10,1.20,0.00,0.00,0.00,0.00
Spain->Chile,0.50,0.20,1.50,0.20,0.00,0.00,0.00
Bangladesh->Latvia,0.40,0.20,0.20,0.10,0.00,0.00,0.00
Bangladesh->Russia,0.30,0.20,0.50,0.00,0.00,0.00,0.00
China->Taiwan,4.10,1.50,0.10,0.34,0.00,0.00,0.00
Switzerland->UnitedKingdom,0.20,0.10,1.16,0.80,0.00,0.00,0.00
China->Australia,1.80,3.50,0.30,0.00,0.00,0.00,0.00
China->UnitedArabEmirates,1.90,1.80,0.20,0.24,0.00,0.00,0.00
Germany->Vietnam,0.40,0.40,0.50,0.10,0.00,0.00,0.00
India->Malaysia,0.10,0.80,0.60,0.90,0.00,0.00,0.00
Greece->UnitedKingdom,0.00,0.60,0.50,0.00,0.00,0.00,0.00
USA->NewZealand,0.00,0.15,0.70,1.05,0.00,0.00,0.00
USA->Colombia,0.20,0.01,1.01,0.50,0.00,0.00,0.00
Israel->Canada,0.00,0.00,0.40,0.90,0.00,0.00,0.00
Israel->Argentina,0.00,0.00,0.00,0.40,0.00,0.00,0.00
DemocraticRepublicoftheCongo->Luxembourg,0.10,0.40,0.90,0.71,0.00,0.00,0.00
Singapore->China,1.77,0.40,0.00,0.00,0.00,0.00,0.00
USA->Singapore,0.17,0.76,0.30,0.50,0.00,0.00,0.00
Germany->Belgium,0.60,0.10,1.50,0.30,0.00,0.00,0.00
Germany->NewZealand,0.30,0.10,1.10,0.30,0.00,0.00,0.00
Switzerland->Spain,0.20,0.10,0.30,0.00,0.00,0.00,0.00
Switzerland->Italy,0.50,0.20,1.32,0.10,0.00,0.00,0.00
Spain->France,0.20,0.20,0.30,0.00,0.00,0.00,0.00
Belgium->UnitedKingdom,0.30,0.00,0.30,0.40,0.00,0.00,0.00
Italy->Switzerland,0.40,0.50,1.88,0.30,0.00,0.00,0.00
Italy->Poland,0.40,0.61,0.51,0.53,0.00,0.00,0.00
Germany->Argentina,0.20,0.20,0.50,0.20,0.00,0.00,0.00
Belgium->Spain,0.10,0.00,0.30,0.20,0.00,0.00,0.00
Belgium->Netherlands,0.10,0.20,0.30,0.38,0.00,0.00,0.00
Sweden->Poland,0.80,0.30,0.79,0.30,0.00,0.00,0.00
Sweden->Russia,0.40,0.80,1.58,0.80,0.20,0.00,0.00
Sweden->Bangladesh,0.50,0.40,0.90,0.10,0.00,0.00,0.00
Sweden->Latvia,0.50,0.40,0.89,0.70,0.00,0.00,0.00
Bangladesh->Netherlands,0.10,0.00,0.10,0.30,0.00,0.00,0.00
Poland->Switzerland,0.20,0.20,0.20,0.40,0.00,0.00,0.00
Switzerland->Turkey,0.20,0.20,1.50,0.00,0.00,0.00,0.00
Switzerland->Romania,0.10,0.10,0.62,0.30,0.00,0.00,0.00
HongKong->China,0.69,0.90,0.00,0.00,0.00,0.00,0.00
Germany->Austria,0.50,0.20,0.90,0.10,0.00,0.00,0.00
China->Mexico,0.40,0.30,0.50,0.40,0.00,0.00,0.00
USA->Turkey,0.00,0.20,0.30,0.10,0.00,0.00,0.00
SaudiArabia->Turkey,0.00,0.30,0.90,2.10,0.00,0.00,0.00
SaudiArabia->Oman,0.00,0.40,0.20,0.10,0.00,0.00,0.00
India->Australia,0.10,0.90,0.90,0.40,0.00,0.00,0.00
Morocco->Italy,0.10,0.20,0.20,0.10,0.00,0.00,0.00
USA->Norway,0.30,0.10,0.90,0.60,0.00,0.00,0.00
USA->Morocco,0.10,0.20,0.40,0.00,0.00,0.00,0.00
Sweden->Israel,0.00,0.30,0.00,0.20,0.00,0.00,0.00
Sweden->France,0.30,0.70,0.80,0.20,0.00,0.00,0.00
Israel->Colombia,0.00,0.40,0.30,0.00,0.00,0.00,0.00
Israel->Australia,0.00,0.30,0.50,0.00,0.00,0.00,0.00
Israel->Denmark,0.00,0.40,0.80,0.20,0.00,0.00,0.00
Russia->Austria,0.00,0.40,1.31,0.00,0.00,0.00,0.00
Poland->Greece,0.00,0.00,0.70,0.00,0.00,0.00,0.00
Poland->Portugal,0.00,0.10,0.50,0.20,0.00,0.00,0.00
Poland->Australia,0.00,0.10,0.40,0.20,0.00,0.00,0.00
Greece->Portugal,0.00,0.10,0.70,0.00,0.00,0.00,0.00
Netherlands->Brazil,0.10,0.10,0.90,0.00,0.00,0.00,0.00
USA->Taiwan,0.50,0.60,2.10,0.76,0.00,0.00,0.00
Poland->Belgium,0.10,0.00,1.00,1.80,0.00,0.00,0.00
Italy->Latvia,0.20,0.00,0.30,0.00,0.00,0.00,0.00
Italy->BosniaandHerzegovina,0.50,0.00,0.70,0.00,0.00,0.00,0.00
Italy->Japan,0.00,0.01,0.59,0.40,0.00,0.00,0.00
Morocco->Chile,0.00,0.00,0.20,0.10,0.00,0.00,0.00
France->USA,0.00,0.10,2.98,0.40,0.00,0.00,0.00
USA->Luxembourg,0.18,0.11,0.40,0.30,0.00,0.00,0.00
USA->Senegal,0.10,0.10,0.30,0.00,0.00,0.00,0.00
Bangladesh->CzechRepublic,0.30,0.00,0.30,0.10,0.00,0.00,0.00
Portugal->Switzerland,0.00,0.10,0.40,0.10,0.00,0.00,0.00
Brazil->Chile,0.00,0.30,1.00,0.90,0.00,0.00,0.00
DemocraticRepublicoftheCongo->Belgium,0.10,0.30,0.70,0.80,0.00,0.00,0.00
DemocraticRepublicoftheCongo->India,0.10,0.20,0.60,0.00,0.00,0.00,0.00
DemocraticRepublicoftheCongo->Switzerland,0.10,0.10,0.38,1.00,0.00,0.00,0.00
Singapore->Thailand,0.47,0.77,0.10,0.40,0.00,0.00,0.00
Australia->SaudiArabia,0.00,0.43,0.00,0.00,0.00,0.00,0.00
Spain->Switzerland,0.60,0.10,1.00,0.10,0.00,0.00,0.00
Spain->Sweden,0.10,0.00,0.30,0.30,0.00,0.00,0.00
Spain->India,0.00,0.10,0.20,0.20,0.00,0.00,0.00
Luxembourg->Switzerland,0.00,0.21,0.51,0.51,0.00,0.00,0.00
Luxembourg->France,0.10,0.00,1.66,0.30,0.00,0.00,0.00
Switzerland->Poland,0.20,0.00,0.21,0.50,0.00,0.00,0.00
Switzerland->Senegal,0.20,0.00,0.00,0.00,0.00,0.00,0.00
Poland->Luxembourg,0.30,0.10,0.40,0.00,0.00,0.00,0.00
Poland->SouthAfrica,0.20,0.10,0.00,0.20,0.00,0.00,0.00
Poland->India,0.20,0.00,0.20,0.00,0.00,0.00,0.00
Russia->Oman,0.10,0.10,0.10,0.20,0.00,0.00,0.00
Russia->Sweden,0.20,0.40,0.82,0.38,0.00,0.00,0.00
Sweden->Italy,0.30,0.10,0.42,0.00,0.00,0.00,0.00
Sweden->SouthAfrica,0.40,0.20,0.00,0.20,0.00,0.00,0.00
Sweden->BosniaandHerzegovina,0.10,0.00,0.10,0.90,0.00,0.00,0.00
Sweden->Germany,0.52,0.30,0.70,0.40,0.00,0.00,0.00
BosniaandHerzegovina->Germany,0.40,0.10,0.00,0.00,0.00,0.00,0.00
BosniaandHerzegovina->Switzerland,0.20,0.00,0.40,0.30,0.00,0.00,0.00
Switzerland->Germany,0.40,0.00,1.01,0.10,0.00,0.00,0.00
Spain->Oman,0.30,0.00,0.40,0.10,0.00,0.00,0.00
Spain->Austria,0.40,0.10,0.30,0.60,0.00,0.00,0.00
Norway->Germany,0.20,0.00,0.20,0.40,0.00,0.00,0.00
Norway->Russia,0.20,0.00,0.00,0.00,0.00,0.00,0.00
Belgium->Israel,0.10,0.00,0.20,0.10,0.00,0.00,0.00
Belgium->India,0.10,0.10,0.10,0.10,0.00,0.00,0.00
Belgium->Italy,0.10,0.30,0.50,0.00,0.00,0.00,0.00
Belgium->Finland,0.10,0.00,0.10,0.10,0.00,0.00,0.00
Italy->Luxembourg,0.40,0.12,1.23,0.10,0.00,0.00,0.00
Germany->Spain,0.10,0.10,0.40,0.00,0.00,0.00,0.00
Germany->Senegal,0.20,0.20,0.50,0.00,0.00,0.00,0.00
Argentina->India,0.20,0.00,0.00,0.00,0.00,0.00,0.00
Belgium->Germany,0.20,0.40,0.20,0.10,0.00,0.00,0.00
Poland->France,0.10,0.00,0.20,0.10,0.00,0.00,0.00
UnitedKingdom->Russia,0.20,0.00,0.44,0.00,0.00,0.00,0.00
UnitedKingdom->Australia,0.20,0.18,0.50,0.40,0.00,0.00,0.00
UnitedKingdom->Bangladesh,0.10,0.00,0.40,0.00,0.00,0.00,0.00
Bangladesh->UnitedArabEmirates,0.30,0.10,0.00,0.00,0.00,0.00,0.00
Bangladesh->Germany,0.20,0.20,0.10,0.10,0.00,0.00,0.00
Bangladesh->Poland,0.20,0.10,0.40,0.00,0.00,0.00,0.00
Sweden->SaudiArabia,0.30,0.20,0.40,0.10,0.00,0.00,0.00
Sweden->Oman,0.10,0.10,0.50,1.00,0.00,0.00,0.00
Bangladesh->UnitedKingdom,0.10,0.10,0.30,0.10,0.00,0.00,0.00
Bangladesh->Turkey,0.10,0.20,0.00,0.20,0.00,0.00,0.00
Vietnam->Argentina,0.10,0.00,0.10,0.00,0.00,0.00,0.00
Russia->Japan,0.10,0.20,0.38,0.00,0.00,0.00,0.00
Switzerland->Vietnam,0.10,0.30,1.70,0.00,0.00,0.00,0.00
Switzerland->Iceland,0.20,0.12,0.30,0.20,0.00,0.00,0.00
China->Spain,0.30,0.90,0.40,0.00,0.00,0.00,0.00
China->Chile,0.20,0.50,0.20,0.00,0.00,0.00,0.00
China->Vietnam,0.84,0.24,0.00,0.00,0.00,0.00,0.00
USA->Spain,0.30,0.20,0.30,0.00,0.00,0.00,0.00
HongKong->Australia,0.30,1.00,0.10,0.00,0.00,0.00,0.00
Germany->HongKong,0.30,0.20,0.00,0.00,0.00,0.00,0.00
Germany->Denmark,0.30,0.10,0.30,0.10,0.00,0.00,0.00
Singapore->UnitedKingdom,0.20,0.40,0.20,0.00,0.00,0.00,0.00
UnitedKingdom->Switzerland,0.20,0.40,1.20,0.44,0.00,0.00,0.00
UnitedKingdom->Greece,0.10,0.30,1.30,0.11,0.00,0.00,0.00
Singapore->Spain,0.20,0.60,0.30,0.00,0.00,0.00,0.00
China->India,0.40,0.80,0.00,0.00,0.00,0.00,0.00
China->SouthKorea,1.80,2.24,0.00,0.00,0.00,0.00,0.00
USA->DemocraticRepublicoftheCongo,0.00,0.20,0.10,0.00,0.00,0.00,0.00
Turkey->Taiwan,0.00,0.10,0.20,0.00,0.00,0.00,0.00
Turkey->Canada,0.00,0.20,0.30,0.00,0.00,0.00,0.00
Turkey->UnitedArabEmirates,0.00,0.20,0.00,0.00,0.00,0.00,0.00
UnitedArabEmirates->Australia,0.00,1.60,0.20,0.00,0.00,0.00,0.00
Malaysia->Japan,0.00,0.40,0.00,0.00,0.00,0.00,0.00
SaudiArabia->China,0.00,0.20,0.10,0.00,0.00,0.00,0.00
USA->Brazil,0.00,0.20,0.30,0.10,0.00,0.00,0.00
Japan->Israel,0.00,0.80,0.50,0.23,0.00,0.00,0.00
SaudiArabia->Jordan,0.00,0.30,0.30,0.00,0.00,0.00,0.00
SaudiArabia->India,0.00,0.20,1.00,0.40,0.00,0.00,0.00
India->SaudiArabia,0.00,0.53,0.50,0.20,0.00,0.00,0.00
Spain->Hungary,0.30,0.20,1.50,0.20,0.00,0.00,0.00
Spain->Colombia,0.00,0.30,0.80,0.50,0.00,0.00,0.00
DemocraticRepublicoftheCongo->Georgia,0.00,0.20,0.30,0.00,0.00,0.00,0.00
DemocraticRepublicoftheCongo->Italy,0.10,0.30,0.30,0.00,0.00,0.00,0.00
Turkey->Oman,0.00,0.10,0.20,0.00,0.00,0.00,0.00
SouthKorea->China,0.00,2.20,0.00,0.00,0.00,0.00,0.00
India->Taiwan,0.20,0.80,0.20,0.20,0.00,0.00,0.00
UnitedKingdom->Jordan,0.00,0.60,0.90,0.20,0.00,0.00,0.00
UnitedKingdom->Nigeria,0.00,0.30,1.20,0.00,0.00,0.00,0.00
Greece->Brazil,0.00,0.20,0.20,0.00,0.00,0.00,0.00
