edges/dates,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06
China->USA,2912, 2510, 143, 144, 0, 0, 0
China->Singapore,3021, 2309, 0, 0, 0, 0, 0
China->Taiwan,3166, 1180, 132, 36, 0, 0, 0
USA->Canada,107, 839, 1688, 1643, 0, 0, 0
China->Australia,1460, 2548, 44, 0, 0, 0, 0
Singapore->India,89, 844, 1666, 1346, 0, 0, 0
China->Thailand,2815, 752, 0, 0, 0, 0, 0
China->SouthKorea,1539, 1982, 0, 0, 0, 0, 0
China->UnitedArabEmirates,1852, 1434, 50, 35, 0, 0, 0
USA->Taiwan,605, 644, 1825, 274, 0, 0, 0
USA->Australia,407, 623, 1551, 713, 0, 0, 0
China->HongKong,2427, 792, 0, 0, 0, 0, 0
Sweden->UnitedArabEmirates,138, 1141, 1860, 0, 0, 0, 0
Singapore->Malaysia,469, 655, 903, 1022, 0, 0, 0
France->USA,93, 270, 2452, 208, 0, 0, 0
Sweden->Russia,232, 633, 1125, 591, 165, 0, 0
France->Luxembourg,79, 443, 1521, 590, 0, 0, 0
SaudiArabia->Turkey,0, 309, 691, 1575, 0, 0, 0
Belgium->Hungary,66, 54, 1235, 1125, 0, 0, 0
Sweden->Latvia,561, 499, 732, 681, 0, 0, 0
China->Malaysia,1602, 761, 67, 29, 0, 0, 0
Poland->Belgium,26, 21, 890, 1511, 0, 0, 0
UnitedKingdom->Switzerland,295, 327, 1168, 603, 36, 0, 0
India->Singapore,101, 916, 1188, 216, 0, 0, 0
SouthKorea->China,199, 2184, 0, 0, 0, 0, 0
France->Senegal,29, 151, 885, 1300, 0, 0, 0
Germany->Netherlands,540, 441, 1187, 188, 0, 0, 0
India->Australia,108, 994, 941, 306, 0, 0, 0
Netherlands->Belgium,226, 266, 878, 928, 0, 0, 0
USA->France,165, 312, 1358, 399, 0, 0, 0
DemocraticRepublicoftheCongo->Luxembourg,144, 444, 747, 862, 0, 0, 0
USA->Mexico,139, 543, 1251, 239, 0, 0, 0
Canada->USA,30, 816, 504, 791, 0, 0, 0
Switzerland->UnitedKingdom,211, 40, 1210, 643, 29, 0, 0
UnitedArabEmirates->Sweden,295, 861, 953, 7, 0, 0, 0
Spain->Argentina,426, 188, 889, 531, 0, 0, 0
