edges,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06
Singapore->India,0.08,0.86,1.64,1.34,0.00,0.00,0.00
USA->Canada,0.12,0.88,1.71,1.62,0.00,0.00,0.00
Singapore->Malaysia,0.46,0.68,0.92,1.02,0.00,0.00,0.00
Germany->Netherlands,0.55,0.42,1.21,0.18,0.00,0.00,0.00
China->USA,2.92,2.46,0.15,0.17,0.00,0.00,0.00
Belgium->Hungary,0.07,0.07,1.20,1.12,0.00,0.00,0.00
China->Singapore,3.02,2.28,0.00,0.00,0.00,0.00,0.00
Bangladesh->Russia,0.30,0.34,0.51,0.00,0.00,0.00,0.00
DemocraticRepublicoftheCongo->Luxembourg,0.15,0.45,0.80,0.86,0.00,0.00,0.00
Italy->Spain,0.33,0.30,0.78,0.03,0.00,0.00,0.00
Switzerland->UnitedKingdom,0.24,0.05,1.20,0.68,0.04,0.00,0.00
Greece->UnitedKingdom,0.00,0.62,0.64,0.13,0.00,0.00,0.00
Switzerland->Italy,0.57,0.16,1.25,0.01,0.00,0.00,0.00
Bangladesh->Sweden,0.42,0.86,0.30,0.04,0.00,0.00,0.00
USA->Taiwan,0.59,0.64,1.82,0.28,0.00,0.00,0.00
Switzerland->Turkey,0.26,0.23,1.46,0.00,0.00,0.00,0.00
USA->France,0.18,0.28,1.37,0.39,0.00,0.00,0.00
USA->Australia,0.40,0.64,1.58,0.68,0.00,0.00,0.00
India->Malaysia,0.11,0.76,0.48,0.59,0.00,0.00,0.00
SaudiArabia->Oman,0.03,0.49,0.23,0.03,0.00,0.00,0.00
Sweden->Latvia,0.55,0.47,0.74,0.68,0.00,0.00,0.00
Poland->UnitedKingdom,0.16,0.02,0.47,0.78,0.00,0.00,0.00
China->Australia,1.46,2.50,0.05,0.00,0.00,0.00,0.00
China->Taiwan,3.15,1.23,0.13,0.06,0.00,0.00,0.00
Israel->Australia,0.03,0.20,0.52,0.01,0.00,0.00,0.00
Netherlands->Brazil,0.10,0.19,0.97,0.07,0.00,0.00,0.00
Bangladesh->Latvia,0.34,0.24,0.16,0.04,0.00,0.00,0.00
Germany->Belgium,0.48,0.16,1.25,0.09,0.00,0.00,0.00
HongKong->China,0.80,0.56,0.00,0.00,0.00,0.00,0.00
Sweden->Denmark,0.24,0.05,0.07,0.99,0.00,0.00,0.00
UnitedKingdom->Switzerland,0.30,0.32,1.13,0.57,0.03,0.00,0.00
Switzerland->Romania,0.09,0.03,0.64,0.26,0.00,0.00,0.00
China->SouthKorea,1.54,2.02,0.00,0.00,0.00,0.00,0.00
SaudiArabia->Turkey,0.00,0.32,0.68,1.54,0.00,0.00,0.00
Bangladesh->Netherlands,0.10,0.03,0.08,0.32,0.00,0.00,0.00
Sweden->Poland,0.57,0.17,0.82,0.08,0.00,0.00,0.00
India->Australia,0.11,1.00,0.93,0.30,0.00,0.00,0.00
Netherlands->Germany,0.25,0.08,1.04,0.00,0.00,0.00,0.00
Switzerland->Germany,0.47,0.06,0.86,0.04,0.00,0.00,0.00
