edges/dates,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06
China->USA,1,1,1,1,0,0,0
China->Thailand,1,1,0,0,0,0,0
China->HongKong,1,1,1,0,0,0,0
China->Taiwan,1,1,1,1,0,0,0
China->Singapore,1,1,1,0,0,0,0
France->USA,1,0,1,1,0,0,0
China->Australia,1,1,0,0,0,0,0
France->Switzerland,0,0,1,1,0,0,0
China->UnitedArabEmirates,1,1,1,1,0,0,0
China->SouthKorea,1,1,1,0,0,0,0
Netherlands->Austria,0,0,1,1,0,0,0
France->Luxembourg,0,0,1,1,0,0,0
China->Malaysia,1,1,0,0,0,0,0
USA->Canada,0,1,1,1,0,0,0
Belgium->Poland,0,1,0,1,0,0,0
France->Belgium,1,0,1,0,0,0,0
Singapore->Malaysia,0,1,1,1,0,0,0
SaudiArabia->India,0,0,1,1,0,0,0
Italy->Germany,0,0,1,1,0,0,0
France->Israel,0,0,1,0,0,0,0
Switzerland->UnitedKingdom,0,0,1,1,0,0,0
France->Morocco,1,0,1,0,0,0,0
China->Japan,0,1,0,0,0,0,0
Belgium->Italy,0,1,0,1,0,0,0
Spain->Chile,0,1,1,1,0,0,0
France->Norway,0,0,1,0,0,0,0
UnitedKingdom->Greece,0,0,1,1,0,0,0
Italy->Netherlands,0,0,1,0,0,0,0
Switzerland->Russia,0,0,1,0,0,0,0
France->Senegal,0,0,1,1,0,0,0
USA->Colombia,0,0,1,1,0,0,0
Brazil->Chile,0,0,1,1,0,0,0
SaudiArabia->Turkey,0,0,0,1,0,0,0
France->Poland,1,0,1,1,0,0,0
China->Spain,1,1,0,0,0,0,0
Belgium->Bangladesh,0,1,1,0,0,0,0
France->Chile,0,1,1,0,0,0,0
Spain->Colombia,0,1,1,1,0,0,0
Singapore->India,0,0,1,1,0,0,0
UnitedKingdom->Switzerland,0,0,1,1,0,0,0
Italy->Portugal,0,0,1,0,0,0,0
Russia->Italy,0,0,1,1,0,0,0
Italy->Poland,0,0,1,1,0,0,0
France->Sweden,0,0,1,1,0,0,0
Italy->Luxembourg,0,0,1,1,0,0,0
Italy->CzechRepublic,0,0,1,1,0,0,0
France->DemocraticRepublicoftheCongo,0,0,1,0,0,0,0
USA->Germany,0,0,1,1,0,0,0
USA->Denmark,0,0,1,1,0,0,0
USA->France,0,0,1,1,0,0,0
Switzerland->Turkey,0,0,1,1,0,0,0
Switzerland->Romania,0,0,1,1,0,0,0
Hungary->Spain,0,0,1,1,0,0,0
Spain->Kazakhstan,0,0,1,1,0,0,0
Netherlands->Germany,0,0,1,1,0,0,0
Colombia->Canada,0,0,0,1,0,0,0
Denmark->Colombia,0,0,0,1,0,0,0
China->Vietnam,0,1,0,0,0,0,0
Belgium->Australia,0,1,1,1,0,0,0
Belgium->Taiwan,0,1,0,1,0,0,0
Belgium->Sweden,0,1,1,1,0,0,0
Belgium->UnitedKingdom,0,1,0,1,0,0,0
Belgium->Netherlands,0,1,1,0,0,0,0
France->Turkey,0,1,1,1,0,0,0
Italy->Georgia,0,1,1,1,0,0,0
Australia->Oman,0,1,0,1,0,0,0
UnitedKingdom->Brazil,0,0,1,0,0,0,0
Italy->UnitedKingdom,0,0,1,0,0,0,0
India->Singapore,0,0,1,1,0,0,0
Italy->Switzerland,0,0,1,1,0,0,0
Russia->Vietnam,0,0,1,1,0,0,0
Italy->India,0,0,1,0,0,0,0
Spain->Australia,0,0,1,0,0,0,0
France->Singapore,0,0,1,1,0,0,0
France->Vietnam,0,0,1,1,0,0,0
France->Australia,0,0,1,1,0,0,0
France->Denmark,0,0,1,1,0,0,0
Brazil->Argentina,0,0,1,1,0,0,0
Spain->UnitedKingdom,0,0,1,1,0,0,0
Spain->Switzerland,0,0,1,1,0,0,0
Italy->Russia,0,0,1,1,0,0,0
Vietnam->Russia,0,0,1,1,0,0,0
Spain->Mexico,0,0,1,0,0,0,0
Vietnam->Australia,0,0,1,1,0,0,0
Italy->Greece,0,0,1,1,0,0,0
Switzerland->Japan,0,0,1,0,0,0,0
Netherlands->Belgium,0,0,1,1,0,0,0
Netherlands->Italy,0,0,1,1,0,0,0
Netherlands->Iceland,0,0,1,1,0,0,0
Luxembourg->DemocraticRepublicoftheCongo,0,0,1,1,0,0,0
China->Oman,0,0,1,1,0,0,0
Vietnam->UnitedKingdom,0,0,1,1,0,0,0
UnitedKingdom->Poland,0,0,1,1,0,0,0
Switzerland->Hungary,0,0,0,1,0,0,0
Hungary->Belgium,0,0,0,1,0,0,0
DemocraticRepublicoftheCongo->Luxembourg,0,0,0,1,0,0,0
Colombia->Japan,0,0,0,1,0,0,0
Italy->BosniaandHerzegovina,0,0,0,1,0,0,0
