edges/dates,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06
NewYork->NewJersey,0, 88, 329, 629, 0, 0, 39
Wisconsin->Illinois,0, 0, 23, 338, 433, 100, 0
NewYork->Connecticut,0, 22, 318, 474, 0, 0, 0
NewYork->Oregon,0, 78, 621, 113, 0, 0, 0
Louisiana->Texas,0, 1, 219, 542, 0, 0, 0
Illinois->Wisconsin,164, 0, 24, 332, 200, 0, 0
California->Utah,24, 35, 240, 347, 0, 0, 0
Oregon->Washington,0, 0, 127, 483, 0, 0, 0
NewYork->Virginia,0, 122, 288, 198, 0, 0, 0
California->NewYork,0, 23, 434, 140, 0, 0, 0
California->Wisconsin,36, 100, 156, 274, 10, 0, 0
California->Virginia,0, 0, 332, 201, 0, 0, 0
Virginia->Massachusetts,3, 0, 350, 162, 0, 0, 0
Oregon->Utah,214, 0, 289, 0, 0, 0, 0
Virginia->Maryland,0, 0, 203, 267, 0, 0, 0
Minnesota->Michigan,0, 77, 44, 340, 0, 0, 0
Virginia->NewYork,0, 0, 361, 97, 0, 0, 0
Florida->Michigan,25, 74, 101, 252, 0, 0, 0
Connecticut->Michigan,2, 0, 256, 187, 0, 0, 0
Florida->Minnesota,0, 36, 125, 279, 0, 0, 0
Pennsylvania->Florida,0, 120, 270, 42, 0, 0, 0
Pennsylvania->California,22, 207, 102, 96, 0, 0, 0
Maryland->Connecticut,0, 200, 100, 123, 0, 0, 0
Michigan->NewYork,0, 0, 358, 64, 0, 0, 0
Virginia->Florida,0, 0, 218, 202, 0, 0, 0
Maryland->Virginia,0, 0, 170, 249, 0, 0, 0
NorthCarolina->Florida,0, 0, 252, 165, 0, 0, 0
Maryland->Texas,0, 161, 203, 51, 0, 0, 0
Florida->Arizona,0, 11, 264, 139, 0, 0, 0
California->NewJersey,0, 0, 200, 205, 0, 0, 0
Florida->Pennsylvania,0, 15, 357, 26, 0, 0, 0
NewYork->Maryland,0, 0, 305, 83, 0, 0, 0
Pennsylvania->Maryland,0, 0, 346, 35, 0, 0, 0
California->Minnesota,0, 6, 95, 257, 10, 0, 0
Florida->California,14, 32, 200, 120, 1, 0, 0
Wisconsin->NewYork,0, 0, 0, 135, 161, 0, 71
Minnesota->Maryland,0, 31, 199, 136, 0, 0, 0
Illinois->Texas,100, 0, 66, 199, 0, 0, 0
Louisiana->Utah,0, 63, 100, 200, 0, 0, 0
NewYork->California,0, 45, 188, 127, 0, 0, 0
Virginia->California,35, 0, 42, 271, 0, 0, 0
Idaho->Alaska,33, 0, 200, 110, 0, 0, 0
Connecticut->Washington,0, 0, 333, 9, 0, 0, 0
Wisconsin->Minnesota,0, 29, 0, 272, 39, 0, 0
Pennsylvania->NorthCarolina,0, 0, 303, 36, 0, 0, 0
Minnesota->Wisconsin,0, 17, 0, 279, 42, 0, 0
Pennsylvania->Michigan,0, 0, 198, 133, 0, 0, 0
California->Connecticut,1, 0, 129, 200, 0, 0, 0
Virginia->Oregon,27, 62, 185, 56, 0, 0, 0
Texas->Maryland,0, 80, 207, 39, 0, 0, 0
NewYork->Minnesota,0, 0, 126, 199, 0, 0, 0
Utah->Florida,0, 85, 9, 229, 0, 0, 0
Idaho->Utah,0, 0, 200, 120, 0, 0, 0
Washington->Minnesota,0, 16, 228, 70, 0, 0, 0
Michigan->Texas,5, 25, 168, 112, 0, 0, 0
Maryland->Nebraska,0, 100, 168, 42, 0, 0, 0
Utah->Connecticut,15, 0, 286, 6, 0, 0, 0
Connecticut->NewYork,0, 60, 72, 173, 0, 0, 0
NewYork->Utah,0, 0, 204, 100, 0, 0, 0
Illinois->NewYork,0, 0, 100, 63, 139, 0, 0
Utah->Michigan,54, 0, 235, 10, 0, 0, 0
Maryland->Minnesota,0, 0, 183, 115, 0, 0, 0
California->Oregon,0, 0, 258, 39, 0, 0, 0
California->Michigan,57, 31, 36, 172, 0, 0, 0
Massachusetts->Virginia,72, 0, 169, 55, 0, 0, 0
NewYork->Wyoming,0, 0, 196, 100, 0, 0, 0
Pennsylvania->Wyoming,0, 0, 259, 37, 0, 0, 0
Illinois->Massachusetts,67, 0, 28, 0, 200, 0, 0
Oregon->NewYork,0, 0, 283, 12, 0, 0, 0
Michigan->NorthCarolina,0, 0, 272, 23, 0, 0, 0
Massachusetts->NorthCarolina,0, 0, 272, 22, 0, 0, 0
Maryland->Illinois,0, 0, 200, 94, 0, 0, 0
California->Illinois,0, 100, 132, 59, 0, 0, 0
Connecticut->Maryland,0, 0, 246, 45, 0, 0, 0
Florida->Virginia,0, 0, 154, 135, 0, 0, 0
Oregon->California,55, 0, 77, 156, 0, 0, 0
California->Arizona,11, 1, 72, 200, 0, 0, 0
Minnesota->Texas,0, 34, 29, 221, 0, 0, 0
Washington->Oregon,0, 0, 135, 146, 0, 0, 0
Massachusetts->Maryland,0, 0, 166, 114, 0, 0, 0
Washington->Illinois,0, 0, 241, 38, 0, 0, 0
Oregon->Florida,11, 0, 227, 40, 0, 0, 0
Michigan->Virginia,35, 0, 142, 100, 0, 0, 0
Washington->Virginia,0, 0, 276, 0, 0, 0, 0
Maryland->NewJersey,0, 153, 56, 63, 0, 0, 0
Utah->Texas,125, 59, 60, 27, 0, 0, 0
Utah->Massachusetts,68, 43, 10, 148, 0, 0, 0
California->Washington,0, 100, 32, 136, 0, 0, 0
Idaho->Louisiana,0, 1, 25, 241, 0, 0, 0
Maryland->Massachusetts,0, 0, 179, 86, 0, 0, 0
Illinois->Florida,0, 2, 84, 47, 130, 0, 0
California->Florida,39, 12, 6, 205, 0, 0, 0
Massachusetts->Utah,1, 57, 204, 0, 0, 0, 0
Georgia->Minnesota,0, 40, 219, 3, 0, 0, 0
SouthCarolina->Georgia,0, 0, 262, 0, 0, 0, 0
Wisconsin->NewJersey,0, 0, 1, 200, 0, 0, 61
Maryland->Michigan,0, 113, 144, 4, 0, 0, 0
Pennsylvania->NewMexico,0, 0, 222, 37, 0, 0, 0
Wisconsin->Texas,17, 0, 41, 200, 0, 0, 0
Utah->Louisiana,0, 135, 100, 21, 0, 0, 0
Michigan->Wisconsin,50, 10, 0, 193, 0, 0, 0
Florida->Maryland,0, 0, 154, 94, 0, 0, 0
Oregon->NewJersey,0, 16, 167, 59, 0, 0, 0
Oregon->Virginia,0, 0, 128, 114, 0, 0, 0
Pennsylvania->Utah,27, 0, 114, 100, 0, 0, 0
Utah->Oregon,184, 45, 0, 10, 0, 0, 0
NorthCarolina->Massachusetts,0, 0, 216, 21, 0, 0, 0
NorthCarolina->Wyoming,0, 0, 224, 13, 0, 0, 0
Michigan->Nebraska,1, 0, 97, 134, 0, 0, 0
Idaho->Washington,0, 0, 0, 232, 0, 0, 0
Michigan->California,97, 0, 94, 40, 0, 0, 0
NewYork->Pennsylvania,0, 10, 128, 93, 0, 0, 0
Oregon->Missouri,200, 30, 0, 0, 0, 0, 0
Virginia->NewJersey,0, 0, 194, 36, 0, 0, 0
Michigan->Wyoming,0, 0, 224, 5, 0, 0, 0
Utah->Idaho,0, 82, 0, 145, 0, 0, 0
Virginia->Pennsylvania,0, 0, 72, 155, 0, 0, 0
Maryland->California,0, 0, 120, 106, 0, 0, 0
California->Maryland,0, 0, 141, 84, 0, 0, 0
Washington->California,0, 0, 176, 48, 0, 0, 0
Texas->Louisiana,0, 4, 180, 39, 0, 0, 0
Ohio->Connecticut,0, 0, 38, 185, 0, 0, 0
Massachusetts->Connecticut,0, 1, 75, 143, 0, 0, 0
Utah->Wisconsin,111, 0, 93, 11, 0, 0, 0
Maryland->Florida,0, 0, 113, 101, 0, 0, 0
Massachusetts->Texas,7, 6, 132, 68, 0, 0, 0
NewYork->Washington,0, 43, 50, 120, 0, 0, 0
Florida->Georgia,0, 6, 184, 19, 0, 0, 0
Massachusetts->Wisconsin,4, 0, 0, 201, 0, 0, 0
Illinois->Arizona,0, 4, 0, 100, 100, 0, 0
NewYork->Illinois,0, 0, 121, 47, 35, 0, 0
Arizona->Louisiana,0, 2, 100, 100, 0, 0, 0
Michigan->Oregon,0, 0, 0, 202, 0, 0, 0
Utah->Arizona,54, 47, 100, 0, 0, 0, 0
Georgia->SouthCarolina,0, 0, 200, 0, 0, 0, 0
NorthCarolina->Illinois,0, 0, 200, 0, 0, 0, 0
Illinois->NewJersey,0, 0, 0, 100, 100, 0, 0
Pennsylvania->Virginia,0, 0, 122, 75, 0, 0, 0
Illinois->NewMexico,0, 0, 0, 196, 0, 0, 0
California->Massachusetts,0, 100, 63, 32, 0, 0, 0
Florida->Massachusetts,0, 0, 111, 84, 0, 0, 0
Michigan->Maryland,0, 36, 67, 91, 0, 0, 0
Minnesota->Illinois,0, 0, 112, 82, 0, 0, 0
Michigan->Connecticut,1, 0, 126, 65, 0, 0, 0
Arizona->Washington,0, 0, 192, 0, 0, 0, 0
Alaska->Massachusetts,29, 0, 161, 0, 0, 0, 0
Texas->Illinois,0, 0, 155, 33, 0, 0, 0
Michigan->Minnesota,0, 10, 100, 77, 0, 0, 0
Michigan->NewMexico,0, 0, 187, 0, 0, 0, 0
Idaho->NorthCarolina,0, 0, 0, 187, 0, 0, 0
Florida->Connecticut,0, 0, 125, 61, 0, 0, 0
Maryland->NorthCarolina,0, 0, 114, 72, 0, 0, 0
Connecticut->Ohio,0, 0, 61, 124, 0, 0, 0
Idaho->Texas,0, 1, 183, 0, 0, 0, 0
Virginia->Utah,0, 0, 127, 53, 0, 0, 0
Utah->Virginia,46, 0, 131, 0, 0, 0, 0
Wyoming->NewYork,0, 0, 173, 4, 0, 0, 0
NewYork->Arizona,0, 10, 147, 19, 0, 0, 0
Georgia->Pennsylvania,0, 0, 149, 27, 0, 0, 0
Illinois->Utah,165, 0, 10, 0, 0, 0, 0
Illinois->California,75, 1, 0, 0, 99, 0, 0
Utah->Minnesota,0, 10, 105, 60, 0, 0, 0
Georgia->Virginia,0, 0, 96, 79, 0, 0, 0
Florida->Wyoming,0, 0, 107, 67, 0, 0, 0
Washington->Michigan,0, 13, 41, 118, 0, 0, 0
Florida->Louisiana,0, 40, 0, 132, 0, 0, 0
Utah->Illinois,0, 10, 85, 77, 0, 0, 0
Wyoming->Michigan,0, 0, 161, 8, 0, 0, 0
NorthCarolina->Virginia,0, 0, 111, 57, 0, 0, 0
California->Iowa,0, 0, 0, 68, 100, 0, 0
Illinois->Missouri,148, 0, 19, 0, 0, 0, 0
Arizona->Florida,0, 9, 80, 77, 0, 0, 0
Washington->Arizona,0, 0, 66, 100, 0, 0, 0
Arizona->Pennsylvania,12, 66, 87, 0, 0, 0, 0
Michigan->Idaho,0, 0, 0, 164, 0, 0, 0
Utah->California,145, 1, 17, 0, 0, 0, 0
Michigan->Florida,11, 0, 108, 44, 0, 0, 0
Illinois->Connecticut,0, 0, 0, 63, 100, 0, 0
Missouri->Utah,62, 100, 0, 0, 0, 0, 0
Arizona->Georgia,0, 0, 53, 109, 0, 0, 0
California->Wyoming,0, 0, 93, 69, 0, 0, 0
California->Texas,2, 0, 0, 159, 0, 0, 0
Florida->Washington,0, 48, 103, 10, 0, 0, 0
Texas->Pennsylvania,0, 105, 23, 33, 0, 0, 0
Idaho->Wisconsin,0, 0, 160, 0, 0, 0, 0
NewYork->Florida,0, 0, 120, 40, 0, 0, 0
NorthCarolina->Wisconsin,0, 0, 0, 160, 0, 0, 0
Utah->Washington,0, 47, 109, 2, 0, 0, 0
California->Ohio,0, 0, 2, 156, 0, 0, 0
Wyoming->NewMexico,0, 0, 122, 35, 0, 0, 0
Arizona->Wisconsin,0, 0, 10, 144, 0, 0, 0
Florida->Wisconsin,20, 22, 12, 99, 0, 0, 0
Louisiana->Minnesota,0, 8, 78, 66, 0, 0, 0
Texas->Washington,0, 4, 147, 0, 0, 0, 0
NewJersey->Virginia,0, 0, 149, 1, 0, 0, 0
NorthCarolina->Maryland,0, 0, 87, 63, 0, 0, 0
Connecticut->Utah,4, 0, 145, 0, 0, 0, 0
Nebraska->Maryland,0, 0, 112, 35, 0, 0, 0
Texas->California,77, 13, 28, 28, 0, 0, 0
Missouri->California,91, 55, 0, 0, 0, 0, 0
Georgia->NorthCarolina,0, 0, 111, 35, 0, 0, 0
NewMexico->Connecticut,0, 0, 116, 30, 0, 0, 0
Virginia->Arizona,0, 0, 76, 69, 0, 0, 0
Utah->Wyoming,0, 0, 145, 0, 0, 0, 0
Washington->Idaho,0, 1, 0, 143, 0, 0, 0
Florida->NewYork,0, 0, 85, 59, 0, 0, 0
Wyoming->NorthCarolina,0, 0, 113, 31, 0, 0, 0
Minnesota->Arizona,0, 6, 0, 137, 0, 0, 0
Maryland->NewYork,0, 100, 40, 1, 0, 0, 0
Wisconsin->Florida,12, 0, 7, 52, 69, 0, 0
NewYork->Texas,0, 108, 22, 9, 0, 0, 0
Minnesota->Florida,0, 31, 29, 79, 0, 0, 0
Wyoming->Utah,0, 0, 139, 0, 0, 0, 0
Texas->Minnesota,0, 8, 81, 49, 0, 0, 0
Louisiana->California,0, 38, 0, 100, 0, 0, 0
NewJersey->Minnesota,0, 0, 1, 137, 0, 0, 0
Massachusetts->Illinois,17, 0, 47, 73, 0, 0, 0
Maryland->Arizona,0, 0, 16, 121, 0, 0, 0
Alaska->Illinois,76, 0, 19, 41, 0, 0, 0
SouthCarolina->Florida,0, 0, 100, 36, 0, 0, 0
SouthCarolina->Illinois,0, 36, 99, 0, 0, 0, 0
Virginia->Minnesota,0, 0, 63, 72, 0, 0, 0
Arizona->Virginia,0, 0, 103, 32, 0, 0, 0
Georgia->Illinois,0, 0, 135, 0, 0, 0, 0
NewMexico->NewYork,0, 0, 100, 35, 0, 0, 0
Virginia->Alaska,0, 0, 86, 48, 0, 0, 0
Washington->Alaska,0, 0, 41, 93, 0, 0, 0
Nebraska->Connecticut,6, 0, 118, 9, 0, 0, 0
Nebraska->Minnesota,0, 0, 114, 19, 0, 0, 0
Illinois->NorthCarolina,0, 0, 55, 78, 0, 0, 0
Virginia->Wisconsin,0, 0, 0, 133, 0, 0, 0
Connecticut->Texas,12, 69, 20, 31, 0, 0, 0
Utah->NorthCarolina,100, 0, 10, 22, 0, 0, 0
Alaska->Michigan,40, 0, 67, 24, 0, 0, 0
Washington->Florida,0, 16, 67, 48, 0, 0, 0
NorthCarolina->Michigan,0, 0, 106, 25, 0, 0, 0
Texas->Connecticut,4, 0, 57, 69, 0, 0, 0
Idaho->Massachusetts,0, 0, 100, 29, 0, 0, 0
Maryland->Ohio,0, 0, 100, 29, 0, 0, 0
Alaska->NewYork,0, 0, 28, 100, 0, 0, 0
Michigan->Missouri,86, 0, 0, 41, 0, 0, 0
Massachusetts->Missouri,27, 71, 29, 0, 0, 0, 0
Florida->Alaska,0, 1, 114, 12, 0, 0, 0
Oregon->Maryland,0, 0, 123, 4, 0, 0, 0
Florida->Ohio,0, 0, 55, 72, 0, 0, 0
Washington->Ohio,0, 0, 20, 107, 0, 0, 0
Missouri->Pennsylvania,44, 0, 80, 2, 0, 0, 0
Texas->NewMexico,0, 80, 42, 4, 0, 0, 0
NewJersey->Pennsylvania,0, 21, 81, 24, 0, 0, 0
Louisiana->Florida,0, 116, 0, 10, 0, 0, 0
Wisconsin->Massachusetts,7, 0, 0, 118, 0, 0, 0
Illinois->Minnesota,0, 2, 12, 110, 0, 0, 0
Illinois->Alaska,0, 0, 51, 73, 0, 0, 0
NewJersey->Oregon,0, 7, 97, 19, 0, 0, 0
Massachusetts->Florida,0, 0, 54, 69, 0, 0, 0
Connecticut->NewMexico,0, 0, 123, 0, 0, 0, 0
Alaska->Florida,0, 0, 121, 1, 0, 0, 0
NewYork->NorthCarolina,0, 0, 15, 107, 0, 0, 0
Wisconsin->Michigan,35, 10, 0, 76, 0, 0, 0
Virginia->Texas,0, 8, 46, 66, 0, 0, 0
Connecticut->Massachusetts,0, 0, 31, 89, 0, 0, 0
Minnesota->NewJersey,0, 0, 78, 42, 0, 0, 0
Michigan->Illinois,0, 0, 104, 16, 0, 0, 0
Maryland->Pennsylvania,0, 0, 44, 76, 0, 0, 0
Utah->Iowa,119, 0, 0, 0, 0, 0, 0
Virginia->Ohio,0, 0, 36, 83, 0, 0, 0
Illinois->Georgia,0, 0, 119, 0, 0, 0, 0
Texas->Wisconsin,82, 0, 31, 4, 0, 0, 0
Utah->Missouri,39, 78, 0, 0, 0, 0, 0
NewYork->Wisconsin,0, 0, 54, 63, 0, 0, 0
Arizona->Maryland,0, 0, 102, 14, 0, 0, 0
Michigan->NewJersey,0, 0, 116, 0, 0, 0, 0
Connecticut->Oregon,0, 0, 106, 10, 0, 0, 0
California->Pennsylvania,25, 2, 0, 88, 0, 0, 0
Pennsylvania->Arizona,32, 53, 30, 0, 0, 0, 0
Washington->Massachusetts,0, 0, 114, 1, 0, 0, 0
Minnesota->NewMexico,0, 0, 15, 100, 0, 0, 0
Minnesota->Georgia,0, 40, 56, 18, 0, 0, 0
Florida->NorthCarolina,0, 0, 21, 93, 0, 0, 0
Idaho->Oregon,0, 13, 100, 0, 0, 0, 0
