edges/dates,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06
Louisiana->Florida,0, 0, 700, 300, 0, 0, 0
NewYork->NewJersey,0, 0, 300, 600, 0, 0, 0
Wisconsin->Illinois,0, 0, 100, 200, 200, 400, 0
Florida->Pennsylvania,0, 0, 200, 700, 0, 0, 0
Louisiana->Texas,0, 0, 455, 400, 0, 0, 0
Virginia->Maryland,0, 100, 400, 300, 0, 0, 0
California->Wisconsin,100, 0, 100, 300, 200, 0, 0
Michigan->Wisconsin,0, 100, 200, 400, 0, 0, 0
Idaho->Connecticut,0, 0, 400, 300, 0, 0, 0
Oregon->Washington,0, 0, 200, 400, 100, 0, 0
NewYork->Connecticut,0, 0, 100, 600, 0, 0, 0
Michigan->Maryland,0, 0, 200, 500, 0, 0, 0
California->Utah,0, 0, 299, 400, 0, 0, 0
Massachusetts->Virginia,100, 100, 300, 100, 0, 0, 0
Michigan->Minnesota,0, 200, 200, 200, 0, 0, 0
Connecticut->Michigan,0, 300, 0, 300, 0, 0, 0
Florida->Minnesota,0, 0, 600, 0, 0, 0, 0
California->Oregon,0, 0, 499, 100, 0, 0, 0
California->Michigan,0, 0, 399, 200, 0, 0, 0
Louisiana->Idaho,100, 0, 455, 0, 0, 0, 0
Louisiana->Utah,100, 0, 410, 0, 0, 0, 0
Utah->Iowa,200, 0, 200, 100, 0, 0, 0
Michigan->NewYork,0, 400, 0, 100, 0, 0, 0
Florida->Washington,0, 0, 400, 100, 0, 0, 0
Florida->Michigan,0, 0, 200, 300, 0, 0, 0
Florida->Arizona,0, 0, 400, 100, 0, 0, 0
Florida->Massachusetts,0, 0, 300, 200, 0, 0, 0
California->Illinois,0, 0, 300, 100, 0, 100, 0
NewYork->Florida,0, 0, 200, 300, 0, 0, 0
Michigan->NewMexico,0, 0, 100, 400, 0, 0, 0
NewYork->Virginia,0, 0, 100, 400, 0, 0, 0
California->Virginia,0, 0, 299, 200, 0, 0, 0
Maryland->Minnesota,0, 0, 201, 200, 0, 0, 0
Massachusetts->Utah,200, 100, 100, 0, 0, 0, 0
Utah->Wisconsin,100, 0, 0, 300, 0, 0, 0
Texas->Maryland,100, 0, 300, 0, 0, 0, 0
Georgia->SouthCarolina,0, 200, 100, 100, 0, 0, 0
Idaho->Texas,0, 0, 200, 200, 0, 0, 0
Maryland->Texas,0, 0, 200, 200, 0, 0, 0
Idaho->Louisiana,0, 0, 200, 200, 0, 0, 0
Florida->Connecticut,0, 0, 300, 100, 0, 0, 0
Florida->California,0, 0, 200, 200, 0, 0, 0
Florida->Virginia,0, 0, 100, 300, 0, 0, 0
Illinois->Wisconsin,0, 0, 100, 200, 0, 100, 0
Florida->Maryland,0, 0, 200, 200, 0, 0, 0
Massachusetts->NorthCarolina,0, 0, 300, 100, 0, 0, 0
NewYork->California,0, 0, 0, 400, 0, 0, 0
Connecticut->Idaho,0, 0, 0, 400, 0, 0, 0
Louisiana->California,99, 0, 100, 100, 100, 0, 0
California->Minnesota,0, 0, 199, 100, 100, 0, 0
California->NewYork,0, 0, 199, 200, 0, 0, 0
Connecticut->NewYork,0, 100, 98, 200, 0, 0, 0
California->Maryland,0, 0, 99, 298, 0, 0, 0
Connecticut->Pennsylvania,0, 200, 98, 98, 0, 0, 0
Utah->Texas,100, 0, 45, 200, 0, 0, 0
Maryland->Virginia,0, 0, 101, 200, 0, 0, 0
Louisiana->Massachusetts,100, 0, 200, 0, 0, 0, 0
Utah->Florida,100, 0, 0, 200, 0, 0, 0
Utah->Oregon,100, 0, 0, 100, 100, 0, 0
Utah->California,200, 0, 100, 0, 0, 0, 0
Utah->Alaska,200, 0, 0, 100, 0, 0, 0
Utah->Massachusetts,100, 0, 100, 100, 0, 0, 0
Michigan->Illinois,100, 0, 0, 200, 0, 0, 0
Utah->Virginia,100, 0, 0, 200, 0, 0, 0
NewYork->Washington,0, 100, 100, 100, 0, 0, 0
NewYork->Minnesota,0, 100, 0, 100, 100, 0, 0
Florida->Georgia,0, 100, 100, 100, 0, 0, 0
Connecticut->NewJersey,0, 200, 0, 100, 0, 0, 0
Connecticut->Minnesota,0, 100, 0, 200, 0, 0, 0
Connecticut->Utah,0, 100, 0, 200, 0, 0, 0
Virginia->Utah,0, 0, 300, 0, 0, 0, 0
Louisiana->Minnesota,0, 0, 200, 100, 0, 0, 0
Washington->Illinois,0, 0, 200, 100, 0, 0, 0
Oregon->Virginia,0, 0, 300, 0, 0, 0, 0
Washington->Utah,0, 0, 200, 100, 0, 0, 0
California->Arizona,0, 0, 100, 200, 0, 0, 0
Washington->Virginia,0, 0, 100, 200, 0, 0, 0
Minnesota->Texas,0, 0, 200, 100, 0, 0, 0
Massachusetts->Pennsylvania,0, 0, 200, 100, 0, 0, 0
Florida->NewMexico,0, 0, 200, 100, 0, 0, 0
Florida->Wisconsin,0, 0, 100, 200, 0, 0, 0
NewYork->Massachusetts,0, 0, 100, 200, 0, 0, 0
Oregon->NewYork,0, 0, 300, 0, 0, 0, 0
NewMexico->Massachusetts,0, 0, 200, 100, 0, 0, 0
Idaho->Washington,0, 0, 100, 200, 0, 0, 0
NewYork->Arizona,0, 0, 100, 200, 0, 0, 0
NewYork->Wyoming,0, 0, 100, 200, 0, 0, 0
NewYork->Wisconsin,0, 0, 100, 200, 0, 0, 0
NewYork->Pennsylvania,0, 0, 100, 200, 0, 0, 0
Michigan->Utah,0, 0, 100, 200, 0, 0, 0
Michigan->Texas,0, 0, 100, 200, 0, 0, 0
Massachusetts->Wisconsin,0, 0, 100, 200, 0, 0, 0
Wisconsin->NewJersey,0, 0, 200, 0, 0, 0, 100
Wisconsin->NewYork,0, 0, 100, 0, 0, 100, 100
NewYork->NorthCarolina,0, 0, 100, 200, 0, 0, 0
Louisiana->Illinois,0, 0, 100, 100, 100, 0, 0
Idaho->Oregon,0, 0, 100, 200, 0, 0, 0
Florida->NorthCarolina,0, 0, 100, 200, 0, 0, 0
Massachusetts->Texas,0, 0, 100, 200, 0, 0, 0
Michigan->NorthCarolina,0, 0, 0, 300, 0, 0, 0
Michigan->Nebraska,0, 0, 0, 300, 0, 0, 0
California->NewJersey,0, 0, 0, 200, 0, 100, 0
Illinois->Massachusetts,0, 0, 0, 100, 100, 100, 0
Arizona->Florida,0, 0, 0, 300, 0, 0, 0
California->Ohio,0, 0, 199, 100, 0, 0, 0
Connecticut->Illinois,0, 100, 0, 198, 0, 0, 0
Connecticut->Oregon,0, 0, 198, 100, 0, 0, 0
Maryland->California,0, 0, 102, 101, 0, 0, 0
Pennsylvania->Maryland,0, 100, 0, 102, 0, 0, 0
Pennsylvania->Florida,0, 0, 202, 0, 0, 0, 0
Maryland->Utah,0, 0, 101, 100, 0, 0, 0
Maryland->Michigan,0, 0, 101, 100, 0, 0, 0
Louisiana->Missouri,100, 0, 100, 0, 0, 0, 0
Utah->Arizona,200, 0, 0, 0, 0, 0, 0
Utah->Illinois,200, 0, 0, 0, 0, 0, 0
Utah->Missouri,200, 0, 0, 0, 0, 0, 0
Texas->Massachusetts,100, 0, 100, 0, 0, 0, 0
Texas->California,100, 0, 100, 0, 0, 0, 0
Massachusetts->Michigan,100, 0, 100, 0, 0, 0, 0
Illinois->Utah,100, 0, 100, 0, 0, 0, 0
Missouri->SouthCarolina,100, 100, 0, 0, 0, 0, 0
Idaho->Minnesota,100, 0, 100, 0, 0, 0, 0
Missouri->Illinois,100, 0, 100, 0, 0, 0, 0
Missouri->Texas,0, 200, 0, 0, 0, 0, 0
Minnesota->Michigan,0, 100, 0, 100, 0, 0, 0
Missouri->Florida,0, 200, 0, 0, 0, 0, 0
Massachusetts->NewJersey,0, 100, 0, 100, 0, 0, 0
Missouri->Minnesota,0, 100, 100, 0, 0, 0, 0
Missouri->Georgia,0, 100, 0, 100, 0, 0, 0
Florida->SouthCarolina,0, 100, 0, 100, 0, 0, 0
Georgia->Illinois,0, 100, 100, 0, 0, 0, 0
Connecticut->Ohio,0, 100, 0, 100, 0, 0, 0
Connecticut->Wisconsin,0, 100, 0, 100, 0, 0, 0
Connecticut->NorthCarolina,0, 200, 0, 0, 0, 0, 0
Louisiana->Alaska,0, 0, 200, 0, 0, 0, 0
Washington->Arizona,0, 0, 100, 100, 0, 0, 0
Florida->Utah,0, 0, 100, 100, 0, 0, 0
Oregon->Arizona,0, 0, 200, 0, 0, 0, 0
Arizona->Washington,0, 0, 200, 0, 0, 0, 0
Arizona->Georgia,0, 0, 100, 100, 0, 0, 0
Washington->Oregon,0, 0, 100, 100, 0, 0, 0
Oregon->Florida,0, 0, 100, 100, 0, 0, 0
Georgia->Pennsylvania,0, 0, 100, 100, 0, 0, 0
Illinois->Maryland,0, 0, 100, 100, 0, 0, 0
Maryland->Nebraska,0, 0, 100, 100, 0, 0, 0
Utah->Connecticut,0, 0, 100, 100, 0, 0, 0
Illinois->NorthCarolina,0, 0, 100, 100, 0, 0, 0
Washington->California,0, 0, 200, 0, 0, 0, 0
Massachusetts->NewMexico,0, 0, 100, 100, 0, 0, 0
Massachusetts->NewYork,0, 0, 100, 100, 0, 0, 0
Massachusetts->Oregon,0, 0, 200, 0, 0, 0, 0
Oregon->Maryland,0, 0, 200, 0, 0, 0, 0
Massachusetts->Maryland,0, 0, 200, 0, 0, 0, 0
Maryland->NewJersey,0, 0, 100, 100, 0, 0, 0
NewMexico->NewYork,0, 0, 100, 100, 0, 0, 0
NewMexico->Connecticut,0, 0, 200, 0, 0, 0, 0
Florida->Alaska,0, 0, 100, 100, 0, 0, 0
Pennsylvania->Massachusetts,0, 0, 100, 100, 0, 0, 0
Washington->Wyoming,0, 0, 100, 100, 0, 0, 0
Virginia->Massachusetts,0, 0, 100, 100, 0, 0, 0
Michigan->Florida,0, 0, 100, 100, 0, 0, 0
California->Nebraska,0, 0, 200, 0, 0, 0, 0
Oregon->Pennsylvania,0, 0, 200, 0, 0, 0, 0
California->Alaska,0, 0, 100, 100, 0, 0, 0
Louisiana->Wisconsin,0, 0, 200, 0, 0, 0, 0
Connecticut->Washington,0, 0, 100, 100, 0, 0, 0
Michigan->California,0, 0, 0, 200, 0, 0, 0
Minnesota->Wyoming,0, 0, 0, 200, 0, 0, 0
NewMexico->Michigan,0, 0, 0, 200, 0, 0, 0
Pennsylvania->Michigan,0, 0, 0, 200, 0, 0, 0
Florida->NewYork,0, 0, 0, 200, 0, 0, 0
Michigan->Virginia,0, 0, 0, 200, 0, 0, 0
Maryland->Connecticut,0, 0, 0, 200, 0, 0, 0
California->NewMexico,0, 0, 0, 200, 0, 0, 0
Nebraska->Maryland,0, 0, 0, 200, 0, 0, 0
Nebraska->Illinois,0, 0, 0, 200, 0, 0, 0
Arizona->Minnesota,0, 0, 0, 200, 0, 0, 0
Arizona->NorthCarolina,0, 0, 0, 200, 0, 0, 0
Utah->Michigan,0, 0, 0, 200, 0, 0, 0
Massachusetts->Connecticut,0, 0, 0, 200, 0, 0, 0
NewYork->Michigan,0, 0, 0, 200, 0, 0, 0
NewYork->Maryland,0, 0, 0, 200, 0, 0, 0
NewYork->Ohio,0, 0, 0, 200, 0, 0, 0
Arizona->Massachusetts,0, 0, 0, 200, 0, 0, 0
Wisconsin->Florida,0, 0, 0, 100, 0, 100, 0
Arizona->Louisiana,0, 0, 0, 200, 0, 0, 0
California->Iowa,0, 0, 0, 100, 100, 0, 0
Wisconsin->Minnesota,0, 0, 0, 0, 100, 100, 0
Connecticut->Florida,0, 0, 98, 100, 0, 0, 0
Connecticut->Maryland,0, 0, 0, 198, 0, 0, 0
Connecticut->Virginia,0, 0, 0, 198, 0, 0, 0
Connecticut->Arizona,0, 0, 0, 198, 0, 0, 0
Louisiana->Virginia,0, 0, 0, 155, 0, 0, 0
Utah->Idaho,100, 0, 45, 0, 0, 0, 0
Texas->Louisiana,0, 0, 100, 45, 0, 0, 0
Pennsylvania->Connecticut,0, 0, 4, 100, 0, 0, 0
Missouri->Pennsylvania,102, 0, 0, 0, 0, 0, 0
Pennsylvania->Virginia,0, 100, 0, 2, 0, 0, 0
Pennsylvania->Arizona,0, 0, 100, 2, 0, 0, 0
Pennsylvania->NewYork,0, 0, 2, 100, 0, 0, 0
Louisiana->Maryland,1, 0, 100, 0, 0, 0, 0
