NewYork received,Name,Count
2019-12,California,0.35
,Maryland,0.10
,Arizona,0.10
,Illinois,0.09
,Missouri,0.05
2020-01,Michigan,0.50
,Maryland,0.30
,California,0.20
,Missouri,0.20
,Connecticut,0.10
2020-02,Oregon,2.98
,California,2.78
,Connecticut,2.06
,Louisiana,1.25
,Virginia,1.17
2020-03,Connecticut,2.20
,California,2.13
,Florida,1.70
,Michigan,1.40
,Oregon,1.24
2020-04,Wisconsin,0.20
,Illinois,0.20
,Louisiana,0.10
2020-05,Wisconsin,1.20
,Illinois,0.70
,Utah,0.10
2020-06,Wisconsin,0.70
,Illinois,0.30
,Utah,0.10


NewYork spreaded,Name,Count
2019-12,Oregon,0.40
,NewJersey,0.10
,California,0.10
,Florida,0.10
,Wyoming,0.10
2020-01,NewJersey,0.30
,Maryland,0.30
,Utah,0.30
,California,0.21
,Virginia,0.20
2020-02,NewJersey,3.68
,California,3.17
,Oregon,3.09
,Virginia,2.60
,Connecticut,2.23
2020-03,NewJersey,5.00
,Connecticut,4.50
,Virginia,4.26
,California,2.56
,Maryland,2.33
2020-04,California,0.20
,Texas,0.20
,Michigan,0.20
,Minnesota,0.10
,Virginia,0.05
2020-052020-06,Wisconsin,0.20
,NewJersey,0.10
