Spreaders,Name,Count
2019-12,Utah,3.65
,Massachusetts,2.41
,California,2.40
,Missouri,2.35
,Illinois,1.82
2020-01,California,4.78
,Missouri,4.22
,Utah,4.09
,Michigan,3.59
,NewYork,3.13
2020-02,NewYork,30.75
,California,25.33
,Florida,23.18
,Michigan,21.30
,Oregon,20.49
2020-03,NewYork,28.14
,California,26.52
,Maryland,25.34
,Connecticut,24.54
,Florida,23.74
2020-04,Illinois,2.98
,Wisconsin,2.48
,Oregon,2.05
,California,1.76
,Iowa,1.03
2020-05,Wisconsin,7.02
,Illinois,6.30
,Minnesota,0.78
,California,0.57
,Florida,0.27
2020-06,Wisconsin,2.53
,Illinois,2.17
,NewYork,0.35
,California,0.10
,Utah,0.06


Receivers,Name,Count
2019-12,California,2.16
,Utah,2.04
,Missouri,1.95
,Oregon,1.58
,Illinois,1.47
2020-01,Florida,3.75
,Utah,3.41
,Pennsylvania,3.32
,California,3.15
,SouthCarolina,2.58
2020-02,Virginia,22.75
,Florida,22.07
,NewYork,20.70
,Utah,19.62
,California,19.42
2020-03,Maryland,24.05
,Wisconsin,23.14
,Texas,21.42
,Virginia,20.84
,Minnesota,19.81
2020-04,Wisconsin,2.68
,Washington,1.95
,Illinois,1.51
,California,1.36
,Minnesota,0.91
2020-05,Illinois,3.71
,Minnesota,2.00
,NewYork,1.98
,Wisconsin,1.81
,Florida,1.58
2020-06,NewYork,1.05
,NewJersey,1.00
,Illinois,1.00
,Wisconsin,0.89
,Massachusetts,0.59
