Spreaders,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06
NewYork,1338, 3113, 30693, 27949, 328, 96, 346
Wisconsin,537, 1154, 8667, 14998, 2492, 6954, 2536
California,2434, 4911, 25168, 26273, 1742, 598, 100
Illinois,1773, 2896, 8343, 11634, 2961, 6275, 2205
Massachusetts,2351, 1589, 19992, 14239, 148, 64, 28
Connecticut,125, 1407, 18701, 24590, 56, 38, 0
Washington,21, 1975, 19683, 11323, 424, 0, 0
Georgia,55, 1873, 7670, 3566, 16, 0, 0


Receivers,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06
NewYork,732, 2319, 20808, 14927, 513, 1978, 1053
Wisconsin,1338, 2240, 9814, 23094, 2691, 1842, 919
California,2143, 3092, 19463, 16027, 1365, 600, 0
Illinois,1430, 2339, 16465, 16084, 1531, 3710, 993
Massachusetts,1447, 2516, 13885, 13043, 506, 1000, 600
Connecticut,401, 1378, 15027, 19136, 444, 562, 0
Washington,355, 2246, 14148, 13499, 1980, 0, 0
Georgia,204, 1406, 7311, 5337, 0, 0, 0
