Spreaders,Name,Count,Name,Count,Name,Count,Name,Count,Name,Count
2019-12,Utah,3572,California,2434,Missouri,2389,Massachusetts,2351,Illinois,1773
2020-01,California,4911,Missouri,4293,Utah,3998,Michigan,3568,NewYork,3113
2020-02,NewYork,30693,California,25168,Florida,23392,Michigan,21383,Oregon,20414
2020-03,NewYork,27949,California,26273,Maryland,25588,Connecticut,24590,Florida,23620
2020-04,Illinois,2961,Wisconsin,2492,Oregon,2066,California,1742,Iowa,1043
2020-05,Wisconsin,6954,Illinois,6275,Minnesota,789,California,598,Florida,310
2020-06,Wisconsin,2536,Illinois,2205,NewYork,346,California,100,Florida,66



Receivers,Name,Count,Name,Count,Name,Count,Name,Count,Name,Count
2019-12,California,2143,Utah,2032,Missouri,1952,Oregon,1623,Massachusetts,1447
2020-01,Florida,3721,Utah,3416,Pennsylvania,3318,California,3092,SouthCarolina,2614
2020-02,Virginia,22764,Florida,21964,NewYork,20808,Utah,19567,California,19463
2020-03,Maryland,24020,Wisconsin,23094,Texas,21295,Virginia,20883,Minnesota,19788
2020-04,Wisconsin,2691,Washington,1980,Illinois,1531,California,1365,Minnesota,935
2020-05,Illinois,3710,Minnesota,1991,NewYork,1978,Wisconsin,1842,Florida,1571
2020-06,NewYork,1053,NewJersey,1000,Illinois,993,Wisconsin,919,Massachusetts,600
