Spreaders,Name,Count
2019-12,California,6.00
,Virginia,2.00
,Utah,1.00
,Oregon,1.00
2020-01,Virginia,12.00
,California,11.00
,Louisiana,5.00
,Washington,2.00
,Illinois,1.00
2020-02,Pennsylvania,19.00
,California,18.00
,Virginia,18.00
,Michigan,13.00
,Washington,13.00
2020-03,California,23.00
,NewYork,21.00
,Florida,21.00
,Pennsylvania,20.00
,Washington,17.00
2020-04,Illinois,7.00
,Arizona,4.00
,Wisconsin,3.00
2020-05,Wisconsin,2.00
,Oregon,1.00
,NewYork,1.00
,Minnesota,1.00
2020-06,Wisconsin,3.00
,Illinois,1.00
,NewJersey,1.00


Receivers,Name,Count
2019-12,Oregon,2.00
,Virginia,2.00
,Missouri,2.00
,Utah,1.00
,Illinois,1.00
2020-01,Oregon,3.00
,Arizona,2.00
,NewYork,2.00
,Florida,2.00
,Missouri,2.00
2020-02,Florida,10.00
,Maryland,9.00
,Utah,8.00
,Minnesota,8.00
,Texas,7.00
2020-03,Wisconsin,17.00
,Illinois,16.00
,Florida,14.00
,California,14.00
,Maryland,13.00
2020-04,Illinois,2.00
,Wisconsin,2.00
,NewYork,2.00
,California,2.00
,Florida,1.00
2020-05,Illinois,1.00
,Washington,1.00
,Michigan,1.00
,Wisconsin,1.00
,Pennsylvania,1.00
2020-06,Illinois,1.00
,Florida,1.00
,NewJersey,1.00
,Minnesota,1.00
,NewYork,1.00
