Spreaders,Name,Count
2019-12,California,10.00
,Virginia,2.00
,Utah,1.00
,Oregon,1.00
2020-01,California,13.00
,Virginia,12.00
,Louisiana,8.00
,Washington,2.00
,Illinois,1.00
2020-02,Virginia,39.00
,Pennsylvania,38.00
,California,26.00
,Michigan,25.00
,Washington,24.00
2020-03,NewYork,78.00
,California,66.00
,Florida,48.00
,Pennsylvania,43.00
,Washington,41.00
2020-04,Illinois,9.00
,Wisconsin,7.00
,Arizona,4.00
2020-05,Wisconsin,2.00
,Oregon,1.00
,NewYork,1.00
,Minnesota,1.00
2020-06,Wisconsin,3.00
,Illinois,1.00
,NewJersey,1.00


Receivers,Name,Count
2019-12,Missouri,4.00
,Virginia,3.00
,Utah,2.00
,Oregon,2.00
,Illinois,1.00
2020-01,Florida,4.00
,Arizona,3.00
,Oregon,3.00
,Texas,3.00
,NewYork,2.00
2020-02,Maryland,18.00
,Florida,17.00
,Utah,15.00
,NorthCarolina,15.00
,NewYork,14.00
2020-03,Virginia,36.00
,Connecticut,34.00
,Maryland,34.00
,Arizona,33.00
,Wisconsin,33.00
2020-04,Illinois,6.00
,NewYork,3.00
,Wisconsin,2.00
,Massachusetts,2.00
,California,2.00
2020-05,Illinois,1.00
,Washington,1.00
,Michigan,1.00
,Wisconsin,1.00
,Pennsylvania,1.00
2020-06,Illinois,1.00
,Florida,1.00
,NewJersey,1.00
,Minnesota,1.00
,NewYork,1.00
