edges/dates,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06
Wisconsin->Illinois,21, 52, 1162, 3589, 1325, 3285, 905
NewYork->NewJersey,134, 222, 3258, 4608, 0, 0, 98
Illinois->Wisconsin,214, 306, 395, 3387, 603, 1042, 640
Oregon->Washington,0, 89, 1947, 2484, 1804, 0, 0
Louisiana->Texas,0, 31, 1832, 4250, 18, 0, 0
NewYork->Connecticut,2, 30, 2309, 3335, 0, 0, 0
California->Utah,247, 492, 1985, 2893, 0, 0, 0
NewYork->Virginia,88, 220, 2484, 2204, 6, 0, 0
Massachusetts->Virginia,346, 179, 2719, 1679, 0, 0, 0
Florida->Pennsylvania,100, 382, 2282, 2001, 111, 0, 0
NewYork->California,173, 349, 2802, 1468, 64, 0, 0
California->NewYork,257, 351, 2561, 1478, 23, 0, 0
California->Oregon,60, 360, 2505, 1464, 164, 0, 0
Florida->California,176, 241, 2007, 1914, 98, 0, 0
Virginia->Maryland,25, 136, 1585, 2684, 0, 0, 0
NewYork->Oregon,412, 227, 3196, 514, 0, 0, 0
Oregon->California,75, 246, 1691, 2068, 199, 0, 0
Maryland->Minnesota,0, 82, 1166, 2964, 0, 0, 0
Maryland->Texas,145, 256, 1691, 2073, 0, 0, 0
Oregon->NewYork,23, 213, 3081, 794, 0, 0, 0
Texas->Maryland,83, 124, 1127, 2760, 0, 0, 0
California->Wisconsin,235, 759, 1217, 1082, 698, 67, 0
Maryland->Virginia,42, 131, 1194, 2606, 0, 0, 0
Wisconsin->Minnesota,0, 74, 223, 1162, 759, 1539, 168
Connecticut->Michigan,8, 198, 1953, 1588, 0, 0, 0
Florida->Virginia,3, 96, 1727, 1859, 11, 0, 0
Florida->Minnesota,0, 81, 1731, 1647, 0, 177, 17
California->Michigan,187, 230, 1114, 1792, 308, 0, 0
Connecticut->NewYork,0, 103, 1543, 1970, 0, 0, 0
Louisiana->Florida,6, 180, 1984, 1445, 0, 0, 0
Michigan->Texas,3, 263, 1432, 1773, 115, 0, 0
Michigan->Maryland,4, 176, 1481, 1911, 0, 0, 0
Massachusetts->NorthCarolina,278, 77, 2033, 1140, 0, 0, 0
NewYork->Maryland,18, 300, 1643, 1475, 0, 0, 0
Wisconsin->NewYork,0, 108, 797, 436, 176, 1184, 692
Louisiana->Utah,0, 129, 1445, 1481, 326, 0, 0
Virginia->Florida,181, 156, 1145, 1875, 0, 0, 0
Michigan->California,113, 148, 1537, 1160, 351, 0, 0
Arizona->Florida,31, 216, 1498, 1464, 38, 41, 0
Connecticut->Washington,1, 27, 1474, 1711, 0, 0, 0
Idaho->Connecticut,0, 8, 1096, 2106, 0, 0, 0
Pennsylvania->Florida,0, 438, 1713, 1040, 9, 0, 0
Idaho->Washington,0, 0, 373, 2777, 0, 0, 0
Connecticut->Idaho,0, 10, 1199, 1923, 0, 0, 0
Washington->Illinois,1, 101, 1745, 1283, 0, 0, 0
California->Virginia,131, 92, 1714, 1131, 3, 0, 0
Utah->Virginia,166, 298, 1774, 777, 0, 0, 0
Florida->Arizona,0, 66, 2156, 738, 0, 27, 0
Minnesota->Wisconsin,0, 52, 452, 1849, 79, 526, 0
Michigan->Minnesota,0, 215, 1347, 1382, 0, 4, 0
Virginia->Utah,8, 250, 1713, 956, 0, 0, 0
Washington->Oregon,0, 105, 1165, 1225, 420, 0, 0
Michigan->Florida,14, 93, 1606, 1175, 8, 0, 0
California->Minnesota,15, 43, 1428, 1300, 33, 67, 0
Georgia->SouthCarolina,0, 631, 1719, 507, 0, 0, 0
Idaho->Louisiana,0, 0, 795, 2047, 0, 0, 0
Minnesota->Michigan,0, 276, 1025, 1495, 2, 0, 0
Utah->Oregon,565, 404, 1179, 584, 62, 0, 0
Maryland->Illinois,77, 107, 1519, 1087, 0, 0, 0
Michigan->Wisconsin,58, 434, 882, 1395, 0, 4, 0
Utah->Michigan,88, 177, 1684, 801, 23, 0, 0
Oregon->Utah,342, 179, 1648, 594, 0, 0, 0
Connecticut->Oregon,0, 0, 1523, 1233, 0, 0, 0
Washington->Minnesota,0, 247, 1423, 1080, 0, 0, 0
Utah->Massachusetts,159, 435, 1458, 678, 0, 0, 0
Illinois->Massachusetts,74, 249, 207, 381, 400, 921, 498
Michigan->Connecticut,3, 383, 1474, 848, 0, 0, 0
California->Illinois,236, 468, 1516, 408, 56, 11, 0
NewYork->Minnesota,0, 198, 1064, 1279, 100, 0, 0
Oregon->Arizona,100, 107, 2178, 244, 0, 0, 0
Florida->Michigan,26, 219, 1041, 1315, 25, 0, 0
California->Arizona,208, 5, 834, 1561, 0, 0, 0
Maryland->Florida,1, 247, 1422, 907, 0, 0, 0
Oregon->Virginia,46, 39, 1559, 927, 0, 0, 0
Washington->Virginia,4, 33, 2069, 450, 0, 0, 0
Connecticut->Maryland,0, 0, 1060, 1496, 0, 0, 0
Connecticut->Utah,8, 93, 1104, 1330, 0, 0, 0
Wisconsin->NewJersey,0, 0, 918, 708, 0, 300, 602
Utah->California,406, 268, 829, 991, 23, 0, 0
Utah->Florida,153, 312, 1167, 875, 0, 0, 0
Pennsylvania->Michigan,0, 97, 1126, 1260, 0, 0, 0
Maryland->Connecticut,0, 250, 757, 1461, 0, 0, 0
Florida->Massachusetts,25, 221, 1100, 1037, 82, 0, 0
Connecticut->Ohio,0, 85, 493, 1818, 56, 0, 0
Virginia->NewYork,76, 81, 1394, 879, 0, 0, 0
Washington->Arizona,1, 203, 1303, 915, 0, 0, 0
Michigan->Illinois,100, 105, 1083, 1119, 0, 0, 0
Florida->NewYork,2, 8, 745, 1640, 0, 0, 0
California->Maryland,60, 0, 724, 1609, 0, 0, 0
California->Florida,36, 18, 1057, 1236, 42, 0, 0
NewYork->Wyoming,105, 137, 1189, 957, 0, 0, 0
Michigan->Virginia,80, 13, 1182, 1111, 0, 0, 0
Massachusetts->Texas,48, 22, 928, 1371, 0, 0, 0
NewYork->Utah,0, 274, 1706, 363, 0, 0, 0
Texas->Louisiana,0, 105, 622, 1602, 0, 0, 0
Minnesota->Maryland,0, 131, 955, 1241, 0, 0, 0
Maryland->Massachusetts,132, 59, 819, 1290, 0, 0, 0
Florida->Maryland,10, 241, 613, 1434, 0, 0, 0
NewYork->Pennsylvania,0, 17, 923, 1352, 6, 0, 0
NewJersey->NewYork,72, 60, 1508, 609, 0, 0, 29
Virginia->Massachusetts,155, 14, 1083, 1020, 0, 0, 0
Massachusetts->Utah,345, 296, 1373, 251, 0, 0, 0
