edges,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06
NewYork->NewJersey,0.14,0.23,3.23,4.69,0.00,0.00,0.10
Wisconsin->Illinois,0.03,0.04,1.23,3.53,1.33,3.33,0.92
NewYork->Connecticut,0.00,0.02,2.25,3.40,0.00,0.00,0.00
NewYork->Oregon,0.42,0.25,3.21,0.51,0.00,0.00,0.00
Louisiana->Texas,0.00,0.02,1.81,4.27,0.01,0.00,0.00
Illinois->Wisconsin,0.21,0.32,0.39,3.39,0.61,1.02,0.61
California->Utah,0.23,0.48,1.98,2.90,0.00,0.00,0.00
Oregon->Washington,0.00,0.09,1.92,2.45,1.79,0.00,0.00
NewYork->Virginia,0.07,0.23,2.49,2.19,0.00,0.00,0.00
California->NewYork,0.26,0.33,2.54,1.49,0.03,0.00,0.00
California->Wisconsin,0.24,0.74,1.19,1.09,0.70,0.06,0.00
California->Virginia,0.11,0.08,1.80,1.10,0.01,0.00,0.00
Virginia->Massachusetts,0.14,0.01,1.07,1.09,0.00,0.00,0.00
Oregon->Utah,0.35,0.18,1.64,0.61,0.00,0.00,0.00
Virginia->Maryland,0.03,0.14,1.59,2.63,0.00,0.00,0.00
Minnesota->Michigan,0.00,0.26,1.03,1.50,0.01,0.00,0.00
Virginia->NewYork,0.07,0.07,1.45,0.89,0.00,0.00,0.00
Florida->Michigan,0.03,0.21,1.04,1.34,0.02,0.00,0.00
Connecticut->Michigan,0.00,0.20,1.94,1.57,0.00,0.00,0.00
Florida->Minnesota,0.00,0.09,1.68,1.66,0.00,0.15,0.01
Pennsylvania->Florida,0.00,0.43,1.76,1.04,0.01,0.00,0.00
Pennsylvania->California,0.02,0.23,0.65,0.64,0.00,0.00,0.00
Maryland->Connecticut,0.00,0.25,0.79,1.37,0.00,0.00,0.00
Michigan->NewYork,0.00,0.53,0.88,0.78,0.00,0.00,0.00
Virginia->Florida,0.19,0.14,1.14,1.89,0.00,0.00,0.00
Maryland->Virginia,0.05,0.13,1.16,2.65,0.00,0.00,0.00
NorthCarolina->Florida,0.01,0.05,0.46,0.65,0.00,0.00,0.00
Maryland->Texas,0.14,0.25,1.68,2.12,0.00,0.00,0.00
Florida->Arizona,0.00,0.06,2.08,0.77,0.00,0.03,0.00
California->NewJersey,0.02,0.00,0.89,1.07,0.02,0.01,0.00
Florida->Pennsylvania,0.10,0.36,2.28,2.02,0.11,0.00,0.00
NewYork->Maryland,0.01,0.30,1.62,1.49,0.00,0.00,0.00
Pennsylvania->Maryland,0.00,0.13,0.98,1.00,0.00,0.00,0.00
California->Minnesota,0.01,0.05,1.46,1.31,0.03,0.06,0.00
Florida->California,0.19,0.24,2.00,1.92,0.09,0.00,0.00
Wisconsin->NewYork,0.00,0.11,0.78,0.43,0.16,1.18,0.69
Minnesota->Maryland,0.00,0.13,0.96,1.21,0.00,0.00,0.00
Illinois->Texas,0.14,0.02,0.41,1.46,0.00,0.00,0.00
Louisiana->Utah,0.00,0.13,1.46,1.47,0.32,0.00,0.00
NewYork->California,0.15,0.37,2.82,1.50,0.07,0.00,0.00
Virginia->California,0.10,0.00,0.99,0.90,0.06,0.00,0.00
Idaho->Alaska,0.03,0.01,0.76,1.09,0.00,0.00,0.00
Connecticut->Washington,0.00,0.03,1.48,1.70,0.00,0.00,0.00
Wisconsin->Minnesota,0.00,0.07,0.24,1.15,0.75,1.58,0.17
Pennsylvania->NorthCarolina,0.00,0.02,0.57,0.96,0.00,0.00,0.00
Minnesota->Wisconsin,0.00,0.05,0.44,1.87,0.09,0.53,0.00
