edges/dates,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06
NewYork->NewJersey,0,0,1,1,0,0,0
Louisiana->Arizona,0,1,1,1,0,0,0
California->Utah,1,0,1,1,0,0,0
Michigan->Connecticut,0,0,1,1,0,0,0
NewYork->Connecticut,0,0,1,1,0,0,0
Virginia->Maryland,0,1,1,1,0,0,0
Washington->Oregon,0,0,1,1,0,0,0
Wisconsin->Illinois,0,0,0,1,1,1,1
Pennsylvania->NewMexico,0,0,1,1,0,0,0
Washington->Arizona,0,0,1,1,0,0,0
Michigan->NewYork,0,0,1,1,0,0,0
Pennsylvania->Maryland,0,0,1,1,0,0,0
Louisiana->Texas,0,0,1,1,0,0,0
Virginia->NewYork,0,1,1,1,0,0,0
Virginia->Massachusetts,0,0,1,1,0,0,0
California->Michigan,0,0,1,1,0,0,0
Virginia->Oregon,1,1,1,0,0,0,0
California->Illinois,1,1,1,1,0,0,0
California->Virginia,1,1,1,1,0,0,0
Virginia->Florida,0,1,1,1,0,0,0
Louisiana->Utah,0,1,1,1,0,0,0
California->Wisconsin,0,1,0,1,0,0,0
California->NewYork,0,1,1,1,0,0,0
Washington->Virginia,0,0,1,1,0,0,0
Michigan->Minnesota,0,0,1,1,0,0,0
NewYork->Florida,0,0,1,1,0,0,0
NewYork->Virginia,0,0,1,1,0,0,0
Massachusetts->Virginia,0,0,1,1,0,0,0
Florida->Arizona,0,0,0,1,0,0,0
NewYork->Maryland,0,0,0,1,0,0,0
California->Missouri,1,1,1,1,0,0,0
California->Maryland,0,0,1,1,0,0,0
Washington->Utah,0,0,1,1,0,0,0
Illinois->Minnesota,0,0,1,1,0,0,0
Oregon->Washington,0,0,1,1,0,1,0
NewYork->Michigan,0,0,1,1,0,1,0
NewYork->California,0,0,1,1,0,0,0
Pennsylvania->Michigan,0,0,1,1,0,0,0
Pennsylvania->NorthCarolina,0,0,1,1,0,0,0
Pennsylvania->Wyoming,0,0,1,1,0,0,0
Pennsylvania->Virginia,0,0,1,1,0,0,0
Illinois->Wisconsin,0,0,0,1,1,0,0
California->Oregon,1,1,1,1,0,0,0
Louisiana->Florida,0,1,0,1,0,0,0
California->Texas,0,1,1,1,0,0,0
Washington->Minnesota,0,1,1,1,0,0,0
California->Minnesota,0,0,1,1,0,0,0
Idaho->Utah,0,0,1,1,0,0,0
California->Florida,0,0,1,1,0,0,0
Pennsylvania->Florida,0,0,1,1,0,0,0
Florida->Minnesota,0,0,1,1,0,0,0
SouthCarolina->Georgia,0,0,1,1,0,0,0
Michigan->Maryland,0,0,1,1,0,0,0
Illinois->Texas,0,0,0,1,0,0,0
California->Connecticut,0,0,0,1,0,0,0
Virginia->Georgia,0,0,0,1,0,0,0
NewYork->Ohio,0,0,0,1,0,0,0
NewYork->Pennsylvania,0,0,0,1,0,0,0
