69->93,100
69->697,100
69->414,100
69->911,100
187->965,100
187->248,100
93->310,99
69->187,99
52->9,99
31->492,98
69->357,97
178->129,94
178->52,92
69->403,87
403->31,74
109->29,72
109->178,67
178->125,55
403->404,54
52->125,44
31->404,40
69->109,23
69->551,20
69->31,19
109->551,18
551->109,15
31->403,11
178->29,8
357->109,7
129->178,6
357->551,5
29->178,5
125->52,4
404->31,4
69->404,4
404->403,2
109->357,2
403->492,2
9->125,2
178->9,2
9->52,2
129->29,2
551->29,1
404->69,1
404->187,1
52->178,1
414->697,1
29->551,1
178->109,1
69->310,1
