dataset,sharp_f1,tnet_f1,tnet_min_f1,sharp_f1,tnet_f1,tnet_min_f1,
SEIR015_sl1000_mr0125_nv10,0.771,0.855,0.863,0.720285714,0.786857143,0.792714286,SEIR015
SEIR015_sl1000_mr025_nv10,0.769,0.839,0.852,,,,
SEIR015_sl1000_mr025_nv20,0.785,0.845,0.839,,,,
SEIR015_sl1000_mr025_nv5,0.671,0.761,0.766,,,,
SEIR015_sl1000_mr05_nv10,0.759,0.829,0.831,,,,
SEIR015_sl250_mr025_nv10,0.535,0.584,0.599,,,,
SEIR015_sl500_mr025_nv10,0.752,0.795,0.799,,,,
SEIR01_sl1000_mr0125_nv10,0.876,0.871,0.881,0.824,0.825857143,0.828142857,SEIR01
SEIR01_sl1000_mr025_nv10,0.85,0.864,0.86,,,,
SEIR01_sl1000_mr025_nv20,0.854,0.853,0.859,,,,
SEIR01_sl1000_mr025_nv5,0.848,0.854,0.857,,,,
SEIR01_sl1000_mr05_nv10,0.873,0.883,0.883,,,,
SEIR01_sl250_mr025_nv10,0.723,0.714,0.713,,,,
SEIR01_sl500_mr025_nv10,0.744,0.742,0.744,,,,
SIR003_sl1000_mr025_nv10,0.767,0.753,0.763,0.734285714,0.716857143,0.715428571,SIR003
SIR003_sl1000_mr05_nv10,0.76,0.742,0.745,,,,
SIR003_sl1000_mr05_nv20,0.792,0.775,0.775,,,,
SIR003_sl1000_mr05_nv5,0.747,0.719,0.7,,,,
SIR003_sl1000_mr1_nv10,0.742,0.726,0.723,,,,
SIR003_sl250_mr05_nv10,0.597,0.591,0.591,,,,
SIR003_sl500_mr05_nv10,0.735,0.712,0.711,,,,
SIR01_sl1000_mr075_nv10,0.761,0.767,0.767,0.720428571,0.71,0.716285714,SIR01
SIR01_sl1000_mr15_nv10,0.763,0.765,0.769,,,,
SIR01_sl1000_mr15_nv20,0.764,0.749,0.743,,,,
SIR01_sl1000_mr15_nv5,0.681,0.652,0.676,,,,
SIR01_sl1000_mr3_nv10,0.747,0.736,0.732,,,,
SIR01_sl250_mr15_nv10,0.597,0.583,0.596,,,,
SIR01_sl500_mr15_nv10,0.73,0.718,0.731,,,,
