dataset,sharp_prec,sharp_rec,sharp_f1,tnet_prec,tnet_rec,tnet_f1,tnet_min_prec,tnet_min_rec,tnet_min_f1
SEIR015_sl1000_mr0125_nv10,0.872,0.704,0.771,0.889,0.828,0.855,0.897,0.838,0.863
SEIR015_sl1000_mr025_nv10,0.875,0.707,0.769,0.885,0.818,0.839,0.88,0.84,0.852
SEIR015_sl1000_mr025_nv20,0.855,0.738,0.785,0.859,0.84,0.845,0.851,0.835,0.839
SEIR015_sl1000_mr025_nv5,0.844,0.566,0.671,0.866,0.697,0.761,0.86,0.708,0.766
SEIR015_sl1000_mr05_nv10,0.836,0.707,0.759,0.841,0.828,0.829,0.851,0.823,0.831
SEIR015_sl250_mr025_nv10,0.626,0.484,0.535,0.676,0.543,0.584,0.679,0.56,0.599
SEIR015_sl500_mr025_nv10,0.8,0.716,0.752,0.817,0.778,0.795,0.811,0.789,0.799
SEIR01_sl1000_mr0125_nv10,0.935,0.848,0.876,0.905,0.866,0.871,0.918,0.871,0.881
SEIR01_sl1000_mr025_nv10,0.874,0.83,0.85,0.861,0.867,0.864,0.858,0.863,0.86
SEIR01_sl1000_mr025_nv20,0.855,0.858,0.854,0.839,0.87,0.853,0.847,0.873,0.859
SEIR01_sl1000_mr025_nv5,0.901,0.807,0.848,0.878,0.834,0.854,0.881,0.836,0.857
SEIR01_sl1000_mr05_nv10,0.899,0.851,0.873,0.886,0.883,0.883,0.886,0.883,0.883
SEIR01_sl250_mr025_nv10,0.732,0.718,0.723,0.718,0.716,0.714,0.72,0.71,0.713
SEIR01_sl500_mr025_nv10,0.755,0.743,0.744,0.725,0.763,0.742,0.727,0.766,0.744
SIR003_sl1000_mr025_nv10,0.835,0.718,0.767,0.765,0.744,0.753,0.776,0.752,0.763
SIR003_sl1000_mr05_nv10,0.845,0.702,0.76,0.772,0.72,0.742,0.777,0.72,0.745
SIR003_sl1000_mr05_nv20,0.883,0.729,0.792,0.809,0.756,0.775,0.813,0.752,0.775
SIR003_sl1000_mr05_nv5,0.85,0.682,0.747,0.751,0.694,0.719,0.731,0.676,0.7
SIR003_sl1000_mr1_nv10,0.847,0.669,0.742,0.76,0.704,0.726,0.751,0.705,0.723
SIR003_sl250_mr05_nv10,0.68,0.542,0.597,0.662,0.545,0.591,0.663,0.543,0.591
SIR003_sl500_mr05_nv10,0.807,0.678,0.735,0.763,0.676,0.712,0.767,0.67,0.711
SIR01_sl1000_mr075_nv10,0.855,0.704,0.761,0.788,0.754,0.767,0.785,0.756,0.767
SIR01_sl1000_mr15_nv10,0.855,0.703,0.763,0.819,0.728,0.765,0.825,0.729,0.769
SIR01_sl1000_mr15_nv20,0.85,0.708,0.764,0.774,0.728,0.749,0.761,0.728,0.743
SIR01_sl1000_mr15_nv5,0.818,0.594,0.681,0.698,0.621,0.652,0.711,0.65,0.676
SIR01_sl1000_mr3_nv10,0.879,0.658,0.747,0.786,0.698,0.736,0.776,0.697,0.732
SIR01_sl250_mr15_nv10,0.661,0.553,0.597,0.644,0.545,0.583,0.663,0.551,0.596
SIR01_sl500_mr15_nv10,0.818,0.672,0.73,0.772,0.682,0.718,0.778,0.703,0.731
