dataset,single,10,20,30,40,50,60,70,80,90,100
AA,0.667,0.667,0.667,0.667,0.667,0.667,0.667,0.667,0.667,0.667,0.667
AC,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
AI,0.246,0.233,0.241,0.241,0.25,0.25,0.255,0.264,0.275,0.24,0.261
AJ,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
AQ,0,0,0,0,0,0,0,0,0,0,0
AW,0.075,0.065,0.068,0.069,0.077,0.078,0.078,0.087,0.087,0.087,0.087
BA,0.333,0.333,0.333,0.333,0.333,0.333,0.333,0.333,0.333,0.333,0.333
BB,0.316,0.381,0.381,0.381,0.3,0.3,0.3,0.316,0.316,0.333,0.25
BC,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
BJ,0.857,0.857,0.857,0.857,0.857,0.857,0.857,0.857,0.857,0.857,0.857
