dataset,single,10,20,30,40,50,60,70,80,90,100
AA,0.667,0.667,0.667,0.667,0.667,0.667,0.667,0.667,0.667,0.667,0.667
AC,1,1,1,1,1,1,1,1,1,1,1
AI,0.25,0.233,0.233,0.241,0.246,0.259,0.264,0.264,0.24,0.24,0.24
AJ,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
AQ,0,0,0,0,0,0,0,0,0,0,0
AW,0.075,0.066,0.066,0.075,0.075,0.075,0.077,0.077,0.087,0.087,0.087
BA,0.333,0.333,0.333,0.333,0.333,0.333,0.333,0.333,0.333,0.333,0.333
BB,0.4,0.381,0.381,0.381,0.381,0.4,0.316,0.316,0.316,0.353,0.353
BC,1,1,1,1,1,1,1,1,1,1,1
BJ,0.857,0.857,0.857,0.857,0.857,0.857,0.857,0.857,0.857,0.857,0.857
,0.5382,0.5337,0.5337,0.5354,0.5359,0.5391,0.5314,0.5314,0.53,0.5337,0.5337
