dataset,single,10,20,30,40,50,60,70,80,90,100
AA,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
AC,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
AI,0.1,0.125,0.125,0.132,0.133,0.15,0.171,0.167,0.115,0.083,0.087
AJ,0.667,0.667,0.667,0.667,0.667,0.667,0.667,0.667,0.667,0.667,0.667
AQ,0,0,0,0,0,0,0,0,0,0,0
AW,0.043,0.028,0.032,0.037,0.042,0.05,0.053,0.069,0.083,0.095,0.133
BA,0.286,0.286,0.286,0.286,0.286,0.286,0.286,0.286,0.286,0.286,0.286
BB,0.308,0.222,0.25,0.308,0.308,0.25,0.25,0.222,0.222,0.286,0.2
BC,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
BJ,0.5,0.375,0.375,0.375,0.75,0.75,0.75,0.75,0.75,0.75,0.75
