dataset,single,10,20,30,40,50,60,70,80,90,100
AA,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
AC,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
AI,0.15,0.125,0.135,0.137,0.128,0.14,0.15,0.129,0.103,0.077,0.087
AJ,0.667,0.667,0.667,0.667,0.667,0.667,0.667,0.667,0.667,0.667,0.667
AQ,0,0,0,0,0,0,0,0,0,0,0
AW,0.043,0.025,0.029,0.032,0.038,0.048,0.049,0.059,0.074,0.083,0.095
BA,0.286,0.286,0.286,0.286,0.286,0.286,0.286,0.286,0.286,0.286,0.286
BB,0.231,0.143,0.143,0.077,0.077,0.077,0.077,0.083,0.091,0.111,0.125
BC,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
BJ,0.5,0.375,0.375,0.375,0.6,0.75,0.75,0.75,0.75,0.75,0.75
