dataset,phylo_prec,phylo_rec,phylo_f1,tnet_prec,tnet_rec,tnet_f1,tnet_bias_prec,tnet_bias_rec,tnet_bias_f1
SEIR015_sl1000_mr0125_nv10_1,1,0.151,0.262,1,0.137,0.241,1,0.205,0.341
SEIR015_sl1000_mr0125_nv10_10,1,0.158,0.273,1,0.211,0.348,1,0.316,0.48
SEIR015_sl1000_mr0125_nv10_11,1,0.231,0.375,1,0.154,0.267,1,0.231,0.375
SEIR015_sl1000_mr0125_nv10_12,1,0.071,0.133,1,0.286,0.444,1,0.357,0.526
SEIR015_sl1000_mr0125_nv10_13,1,0.46,0.63,1,0.38,0.551,0.967,0.58,0.725
SEIR015_sl1000_mr0125_nv10_14,1,0.154,0.267,1,0.25,0.4,1,0.25,0.4
SEIR015_sl1000_mr0125_nv10_15,1,0.156,0.269,0.889,0.178,0.296,0.909,0.222,0.357
SEIR015_sl1000_mr0125_nv10_16,1,0.159,0.274,1,0.254,0.405,1,0.302,0.463
SEIR015_sl1000_mr0125_nv10_17,1,0.038,0.074,1,0.077,0.143,1,0.038,0.074
SEIR015_sl1000_mr0125_nv10_18,1,0.1,0.182,1,0.1,0.182,1,0.1,0.182
SEIR015_sl1000_mr0125_nv10_19,1,0.161,0.278,1,0.258,0.41,1,0.258,0.41
SEIR015_sl1000_mr0125_nv10_2,1,0.375,0.545,1,0.375,0.545,0.857,0.375,0.522
SEIR015_sl1000_mr0125_nv10_20,1,0.195,0.327,1,0.195,0.327,1,0.195,0.327
SEIR015_sl1000_mr0125_nv10_3,0,0,0,0,0,0,0,0,0
SEIR015_sl1000_mr0125_nv10_4,1,0.3,0.462,1,0.5,0.667,1,0.6,0.75
SEIR015_sl1000_mr0125_nv10_5,1,0.294,0.455,0.875,0.137,0.237,1,0.392,0.563
SEIR015_sl1000_mr0125_nv10_6,1,0.086,0.158,1,0.086,0.158,1,0.114,0.205
SEIR015_sl1000_mr0125_nv10_7,1,0.162,0.278,1,0.206,0.341,1,0.206,0.341
SEIR015_sl1000_mr0125_nv10_8,1,0.389,0.56,1,0.167,0.286,1,0.389,0.56
SEIR015_sl1000_mr0125_nv10_9,1,0.048,0.091,0,0,0,1,0.048,0.091
SEIR015_sl1000_mr025_nv10_1,1,0.2,0.333,1,0.4,0.571,1,0.4,0.571
SEIR015_sl1000_mr025_nv10_10,1,0.182,0.308,0,0,0,0.8,0.364,0.5
SEIR015_sl1000_mr025_nv10_11,1,0.304,0.466,1,0.268,0.423,1,0.304,0.466
SEIR015_sl1000_mr025_nv10_12,0,0,0,0,0,0,0,0,0
SEIR015_sl1000_mr025_nv10_13,1,0.1,0.182,1,0.1,0.182,1,0.1,0.182
SEIR015_sl1000_mr025_nv10_14,1,0.32,0.485,1,0.28,0.438,1,0.36,0.529
SEIR015_sl1000_mr025_nv10_15,1,0.155,0.269,1,0.121,0.215,0,0,0
SEIR015_sl1000_mr025_nv10_16,1,0.071,0.133,1,0.286,0.444,1,0.214,0.353
SEIR015_sl1000_mr025_nv10_17,1,0.342,0.51,1,0.289,0.449,1,0.395,0.566
SEIR015_sl1000_mr025_nv10_18,1,0.162,0.279,1,0.297,0.458,1,0.297,0.458
SEIR015_sl1000_mr025_nv10_19,1,0.053,0.1,1,0.158,0.273,1,0.158,0.273
SEIR015_sl1000_mr025_nv10_2,1,0.25,0.4,1,0.143,0.25,1,0.268,0.423
SEIR015_sl1000_mr025_nv10_20,1,0.125,0.222,1,0.125,0.222,1,0.125,0.222
SEIR015_sl1000_mr025_nv10_3,1,0.261,0.414,1,0.391,0.562,1,0.413,0.585
SEIR015_sl1000_mr025_nv10_4,1,0.318,0.483,1,0.227,0.37,0.957,0.5,0.657
SEIR015_sl1000_mr025_nv10_5,1,0.333,0.5,1,0.312,0.476,1,0.417,0.588
SEIR015_sl1000_mr025_nv10_6,1,0.261,0.414,1,0.261,0.414,1,0.348,0.516
SEIR015_sl1000_mr025_nv10_7,1,0.333,0.5,0.5,0.111,0.182,0.5,0.111,0.182
SEIR015_sl1000_mr025_nv10_8,1,0.15,0.261,1,0.4,0.571,1,0.4,0.571
SEIR015_sl1000_mr025_nv10_9,1,0.321,0.486,1,0.393,0.564,1,0.411,0.582
SEIR015_sl1000_mr025_nv20_1,1,0.267,0.421,1,0.267,0.421,1,0.267,0.421
SEIR015_sl1000_mr025_nv20_10,0,0,0,1,0.111,0.2,1,0.111,0.2
SEIR015_sl1000_mr025_nv20_11,1,0.077,0.143,1,0.231,0.375,1,0.462,0.632
SEIR015_sl1000_mr025_nv20_12,1,0.4,0.571,1,0.4,0.571,1,0.45,0.621
SEIR015_sl1000_mr025_nv20_13,0,0,0,0,0,0,0,0,0
SEIR015_sl1000_mr025_nv20_14,1,0.682,0.811,0.9,0.409,0.563,0.944,0.773,0.85
SEIR015_sl1000_mr025_nv20_15,1,0.042,0.08,1,0.125,0.222,1,0.167,0.286
SEIR015_sl1000_mr025_nv20_16,1,0.333,0.5,0.95,0.633,0.76,0.9,0.6,0.72
SEIR015_sl1000_mr025_nv20_17,1,0.161,0.277,1,0.214,0.353,1,0.214,0.353
SEIR015_sl1000_mr025_nv20_18,1,0.205,0.34,1,0.231,0.375,1,0.256,0.408
SEIR015_sl1000_mr025_nv20_19,1,0.091,0.167,1,0.182,0.308,1,0.182,0.308
SEIR015_sl1000_mr025_nv20_2,1,0.08,0.148,1,0.28,0.438,1,0.28,0.438
SEIR015_sl1000_mr025_nv20_20,1,0.158,0.273,1,0.211,0.348,1,0.211,0.348
SEIR015_sl1000_mr025_nv20_3,1,0.273,0.429,1,0.318,0.483,0,0,0
SEIR015_sl1000_mr025_nv20_4,1,0.273,0.429,1,0.273,0.429,1,0.364,0.533
SEIR015_sl1000_mr025_nv20_5,1,0.179,0.304,1,0.205,0.34,1,0.231,0.375
SEIR015_sl1000_mr025_nv20_6,1,0.132,0.233,1,0.237,0.383,0.909,0.263,0.408
SEIR015_sl1000_mr025_nv20_7,1,0.417,0.588,1,0.417,0.588,1,0.722,0.839
SEIR015_sl1000_mr025_nv20_8,1,0.194,0.325,1,0.358,0.527,1,0.388,0.559
SEIR015_sl1000_mr025_nv20_9,1,0.222,0.364,1,0.222,0.364,1,0.222,0.364
SEIR015_sl1000_mr025_nv5_1,0,0,0,0,0,0,0,0,0
SEIR015_sl1000_mr025_nv5_10,0,0,0,1,0.028,0.054,0,0,0
SEIR015_sl1000_mr025_nv5_11,1,0.213,0.351,1,0.213,0.351,1,0.234,0.379
SEIR015_sl1000_mr025_nv5_12,1,0.091,0.167,1,0.091,0.167,1,0.091,0.167
SEIR015_sl1000_mr025_nv5_13,1,0.097,0.176,1,0.097,0.176,1,0.065,0.121
SEIR015_sl1000_mr025_nv5_14,0,0,0,1,0.067,0.125,1,0.067,0.125
SEIR015_sl1000_mr025_nv5_15,1,0.031,0.06,0.75,0.046,0.087,0.8,0.062,0.114
SEIR015_sl1000_mr025_nv5_16,1,0.038,0.074,1,0.038,0.074,1,0.038,0.074
SEIR015_sl1000_mr025_nv5_17,1,0.366,0.536,1,0.146,0.255,1,0.268,0.423
SEIR015_sl1000_mr025_nv5_18,1,0.109,0.197,1,0.127,0.226,1,0.145,0.254
SEIR015_sl1000_mr025_nv5_19,0,0,0,0,0,0,0,0,0
SEIR015_sl1000_mr025_nv5_2,1,0.333,0.5,1,0.333,0.5,1,0.333,0.5
SEIR015_sl1000_mr025_nv5_20,1,0.195,0.327,1,0.171,0.292,1,0.244,0.392
SEIR015_sl1000_mr025_nv5_3,0,0,0,0,0,0,0,0,0
SEIR015_sl1000_mr025_nv5_4,1,0.12,0.214,1,0.12,0.214,1,0.24,0.387
SEIR015_sl1000_mr025_nv5_5,1,0.048,0.091,1,0.048,0.091,1,0.048,0.091
SEIR015_sl1000_mr025_nv5_6,1,0.048,0.092,1,0.065,0.121,0,0,0
SEIR015_sl1000_mr025_nv5_7,1,0.077,0.143,0,0,0,1,0.077,0.143
SEIR015_sl1000_mr025_nv5_8,1,0.043,0.083,1,0.087,0.16,1,0.13,0.231
SEIR015_sl1000_mr025_nv5_9,1,0.05,0.095,1,0.05,0.095,1,0.025,0.049
SEIR015_sl1000_mr05_nv10_1,1,0.118,0.211,1,0.294,0.455,1,0.353,0.522
SEIR015_sl1000_mr05_nv10_10,0,0,0,0,0,0,0,0,0
SEIR015_sl1000_mr05_nv10_11,0,0,0,1,0.125,0.222,1,0.125,0.222
SEIR015_sl1000_mr05_nv10_12,0,0,0,0,0,0,0,0,0
SEIR015_sl1000_mr05_nv10_13,1,0.131,0.232,1,0.197,0.329,1,0.213,0.351
SEIR015_sl1000_mr05_nv10_14,1,0.174,0.296,1,0.217,0.357,1,0.261,0.414
SEIR015_sl1000_mr05_nv10_15,0,0,0,0,0,0,0,0,0
SEIR015_sl1000_mr05_nv10_16,1,0.049,0.093,1,0.073,0.136,1,0.098,0.178
SEIR015_sl1000_mr05_nv10_17,0,0,0,1,0.043,0.083,0,0,0
SEIR015_sl1000_mr05_nv10_18,1,0.073,0.136,1,0.098,0.178,1,0.122,0.217
SEIR015_sl1000_mr05_nv10_19,1,0.062,0.118,1,0.062,0.118,1,0.094,0.171
SEIR015_sl1000_mr05_nv10_2,1,0.262,0.415,1,0.286,0.444,1,0.286,0.444
SEIR015_sl1000_mr05_nv10_20,1,0.049,0.093,1,0.049,0.093,1,0.049,0.093
SEIR015_sl1000_mr05_nv10_3,1,0.196,0.328,1,0.232,0.377,1,0.232,0.377
SEIR015_sl1000_mr05_nv10_4,1,0.25,0.4,1,0.188,0.316,1,0.281,0.439
SEIR015_sl1000_mr05_nv10_5,0,0,0,1,0.091,0.167,1,0.091,0.167
SEIR015_sl1000_mr05_nv10_6,1,0.233,0.378,1,0.2,0.333,1,0.367,0.537
SEIR015_sl1000_mr05_nv10_7,0,0,0,1,0.077,0.143,1,0.154,0.267
SEIR015_sl1000_mr05_nv10_8,1,0.167,0.286,1,0.222,0.364,1,0.333,0.5
SEIR015_sl1000_mr05_nv10_9,1,0.267,0.421,1,0.267,0.421,1,0.267,0.421
SEIR015_sl250_mr025_nv10_1,0,0,0,0,0,0,0,0,0
SEIR015_sl250_mr025_nv10_10,0,0,0,0,0,0,0,0,0
SEIR015_sl250_mr025_nv10_11,1,0.029,0.057,0,0,0,0,0,0
SEIR015_sl250_mr025_nv10_12,0,0,0,1,0.07,0.13,0,0,0
SEIR015_sl250_mr025_nv10_13,0,0,0,0,0,0,0,0,0
SEIR015_sl250_mr025_nv10_14,0,0,0,0,0,0,0,0,0
SEIR015_sl250_mr025_nv10_15,0,0,0,0,0,0,0,0,0
SEIR015_sl250_mr025_nv10_16,0,0,0,0,0,0,0,0,0
SEIR015_sl250_mr025_nv10_17,0,0,0,0,0,0,0,0,0
SEIR015_sl250_mr025_nv10_18,0,0,0,0,0,0,0,0,0
SEIR015_sl250_mr025_nv10_19,0,0,0,1,0.027,0.053,1,0.027,0.053
