dataset,phylo_prec,phylo_rec,phylo_f1,tnet_prec,tnet_rec,tnet_f1,tnet_bias_prec,tnet_bias_rec,tnet_bias_f1
SEIR015_sl1000_mr0125_nv10_1,1,0.89,0.942,0.942,0.671,0.784,0.973,0.986,0.98
SEIR015_sl1000_mr0125_nv10_10,1,0.526,0.69,0.867,0.684,0.765,1,0.789,0.882
SEIR015_sl1000_mr0125_nv10_11,1,0.538,0.7,1,0.692,0.818,0.9,0.692,0.783
SEIR015_sl1000_mr0125_nv10_12,1,0.643,0.783,0.818,0.643,0.72,0.833,0.714,0.769
SEIR015_sl1000_mr0125_nv10_13,0.936,0.88,0.907,0.952,0.8,0.87,0.94,0.94,0.94
SEIR015_sl1000_mr0125_nv10_14,1,0.673,0.805,0.913,0.808,0.857,0.92,0.885,0.902
SEIR015_sl1000_mr0125_nv10_15,0.964,0.6,0.74,0.893,0.556,0.685,0.932,0.911,0.921
SEIR015_sl1000_mr0125_nv10_16,0.882,0.476,0.619,0.821,0.73,0.773,0.891,0.778,0.831
SEIR015_sl1000_mr0125_nv10_17,1,0.423,0.595,0.909,0.769,0.833,0.885,0.885,0.885
SEIR015_sl1000_mr0125_nv10_18,1,0.5,0.667,0.875,0.7,0.778,0.889,0.8,0.842
SEIR015_sl1000_mr0125_nv10_19,1,0.548,0.708,0.9,0.581,0.706,0.905,0.613,0.731
SEIR015_sl1000_mr0125_nv10_2,0.917,0.688,0.786,0.909,0.625,0.741,0.938,0.938,0.938
SEIR015_sl1000_mr0125_nv10_20,0.958,0.561,0.708,0.889,0.78,0.831,0.875,0.854,0.864
SEIR015_sl1000_mr0125_nv10_3,1,0.667,0.8,0.8,0.889,0.842,0.889,0.889,0.889
SEIR015_sl1000_mr0125_nv10_4,1,0.8,0.889,0.8,0.8,0.8,0.8,0.8,0.8
SEIR015_sl1000_mr0125_nv10_5,0.957,0.882,0.918,0.85,0.333,0.479,0.939,0.902,0.92
SEIR015_sl1000_mr0125_nv10_6,1,0.543,0.704,0.909,0.571,0.702,0.882,0.857,0.87
SEIR015_sl1000_mr0125_nv10_7,0.98,0.706,0.821,0.98,0.721,0.831,0.983,0.868,0.922
