dataset,sharp_prec,sharp_rec,sharp_f1,tnet_prec,tnet_rec,tnet_f1
SEIR015_sl1000_mr0125_nv10_1,0.885,0.74,0.806,0.897,0.712,0.794
SEIR015_sl1000_mr0125_nv10_10,0.867,0.684,0.765,0.867,0.684,0.765
SEIR015_sl1000_mr0125_nv10_11,0.818,0.692,0.75,0.818,0.692,0.75
SEIR015_sl1000_mr0125_nv10_12,0.833,0.714,0.769,0.833,0.714,0.769
SEIR015_sl1000_mr0125_nv10_13,0.976,0.8,0.879,0.976,0.8,0.879
SEIR015_sl1000_mr0125_nv10_14,0.83,0.846,0.838,0.83,0.846,0.838
SEIR015_sl1000_mr0125_nv10_15,0.889,0.533,0.667,0.893,0.556,0.685
SEIR015_sl1000_mr0125_nv10_16,0.704,0.794,0.746,0.699,0.81,0.75
SEIR015_sl1000_mr0125_nv10_17,0.704,0.731,0.717,0.704,0.731,0.717
SEIR015_sl1000_mr0125_nv10_18,0.667,0.8,0.727,0.636,0.7,0.667
SEIR015_sl1000_mr0125_nv10_19,0.8,0.516,0.627,0.762,0.516,0.615
SEIR015_sl1000_mr0125_nv10_2,0.909,0.625,0.741,0.909,0.625,0.741
SEIR015_sl1000_mr0125_nv10_20,0.921,0.854,0.886,0.923,0.878,0.9
SEIR015_sl1000_mr0125_nv10_3,0.778,0.778,0.778,0.7,0.778,0.737
SEIR015_sl1000_mr0125_nv10_4,0.8,0.8,0.8,0.8,0.8,0.8
SEIR015_sl1000_mr0125_nv10_5,0.72,0.353,0.474,0.773,0.333,0.466
SEIR015_sl1000_mr0125_nv10_6,0.815,0.629,0.71,0.808,0.6,0.689
SEIR015_sl1000_mr0125_nv10_7,0.833,0.735,0.781,0.82,0.735,0.775
SEIR015_sl1000_mr0125_nv10_8,0.75,0.667,0.706,0.706,0.667,0.686
SEIR015_sl1000_mr0125_nv10_9,0.5,0.429,0.462,0.467,0.333,0.389
SEIR015_sl1000_mr025_nv10_1,0.818,0.9,0.857,0.8,0.8,0.8
SEIR015_sl1000_mr025_nv10_10,0.8,0.364,0.5,0.8,0.364,0.5
SEIR015_sl1000_mr025_nv10_11,0.878,0.768,0.819,0.857,0.75,0.8
SEIR015_sl1000_mr025_nv10_12,0.9,0.9,0.9,0.9,0.9,0.9
SEIR015_sl1000_mr025_nv10_13,0.286,0.4,0.333,0.308,0.4,0.348
SEIR015_sl1000_mr025_nv10_14,0.731,0.76,0.745,0.731,0.76,0.745
SEIR015_sl1000_mr025_nv10_15,0.574,0.466,0.514,0.565,0.448,0.5
SEIR015_sl1000_mr025_nv10_16,0.733,0.786,0.759,0.786,0.786,0.786
SEIR015_sl1000_mr025_nv10_17,0.812,0.684,0.743,0.812,0.684,0.743
SEIR015_sl1000_mr025_nv10_18,0.722,0.703,0.712,0.743,0.703,0.722
SEIR015_sl1000_mr025_nv10_19,0.882,0.789,0.833,0.882,0.789,0.833
SEIR015_sl1000_mr025_nv10_2,0.857,0.643,0.735,0.854,0.625,0.722
SEIR015_sl1000_mr025_nv10_20,0.714,0.625,0.667,0.625,0.625,0.625
SEIR015_sl1000_mr025_nv10_3,0.872,0.891,0.882,0.894,0.913,0.903
SEIR015_sl1000_mr025_nv10_4,0.897,0.795,0.843,0.895,0.773,0.829
SEIR015_sl1000_mr025_nv10_5,0.867,0.812,0.839,0.844,0.792,0.817
SEIR015_sl1000_mr025_nv10_6,0.923,0.783,0.847,0.947,0.783,0.857
SEIR015_sl1000_mr025_nv10_7,0.889,0.889,0.889,0.889,0.889,0.889
SEIR015_sl1000_mr025_nv10_8,0.941,0.8,0.865,0.941,0.8,0.865
SEIR015_sl1000_mr025_nv10_9,0.925,0.875,0.899,0.942,0.875,0.907
SEIR015_sl1000_mr025_nv20_1,0.562,0.6,0.581,0.588,0.667,0.625
SEIR015_sl1000_mr025_nv20_10,0.583,0.778,0.667,0.583,0.778,0.667
SEIR015_sl1000_mr025_nv20_11,0.833,0.769,0.8,0.833,0.769,0.8
