dataset,sharp_prec,sharp_rec,sharp_f1,tnet_prec,tnet_rec,tnet_f1
SEIR015_sl1000_mr0125_nv10_1,0.737,0.767,0.752,0.897,0.712,0.794
SEIR015_sl1000_mr0125_nv10_10,0.75,0.789,0.769,0.867,0.684,0.765
SEIR015_sl1000_mr0125_nv10_11,0.692,0.692,0.692,0.818,0.692,0.75
SEIR015_sl1000_mr0125_nv10_12,0.786,0.786,0.786,0.833,0.714,0.769
SEIR015_sl1000_mr0125_nv10_13,0.86,0.86,0.86,0.976,0.8,0.879
SEIR015_sl1000_mr0125_nv10_14,0.782,0.827,0.804,0.83,0.846,0.838
SEIR015_sl1000_mr0125_nv10_15,0.667,0.667,0.667,0.893,0.556,0.685
SEIR015_sl1000_mr0125_nv10_16,0.694,0.794,0.741,0.699,0.81,0.75
SEIR015_sl1000_mr0125_nv10_17,0.625,0.769,0.69,0.704,0.731,0.717
SEIR015_sl1000_mr0125_nv10_18,0.7,0.7,0.7,0.636,0.7,0.667
SEIR015_sl1000_mr0125_nv10_19,0.581,0.581,0.581,0.762,0.516,0.615
SEIR015_sl1000_mr0125_nv10_2,0.75,0.75,0.75,0.909,0.625,0.741
SEIR015_sl1000_mr0125_nv10_20,0.837,0.878,0.857,0.923,0.878,0.9
SEIR015_sl1000_mr0125_nv10_3,0.636,0.778,0.7,0.7,0.778,0.737
SEIR015_sl1000_mr0125_nv10_4,0.8,0.8,0.8,0.8,0.8,0.8
SEIR015_sl1000_mr0125_nv10_5,0.49,0.49,0.49,0.773,0.333,0.466
SEIR015_sl1000_mr0125_nv10_6,0.692,0.771,0.73,0.808,0.6,0.689
SEIR015_sl1000_mr0125_nv10_7,0.747,0.824,0.783,0.82,0.735,0.775
SEIR015_sl1000_mr0125_nv10_8,0.619,0.722,0.667,0.706,0.667,0.686
SEIR015_sl1000_mr0125_nv10_9,0.4,0.476,0.435,0.467,0.333,0.389
SEIR015_sl1000_mr025_nv10_1,0.8,0.8,0.8,0.8,0.8,0.8
SEIR015_sl1000_mr025_nv10_10,0.636,0.636,0.636,0.8,0.364,0.5
SEIR015_sl1000_mr025_nv10_11,0.793,0.821,0.807,0.857,0.75,0.8
SEIR015_sl1000_mr025_nv10_12,0.692,0.9,0.783,0.9,0.9,0.9
SEIR015_sl1000_mr025_nv10_13,0.286,0.4,0.333,0.308,0.4,0.348
SEIR015_sl1000_mr025_nv10_14,0.7,0.84,0.764,0.731,0.76,0.745
SEIR015_sl1000_mr025_nv10_15,0.457,0.552,0.5,0.565,0.448,0.5
SEIR015_sl1000_mr025_nv10_16,0.75,0.857,0.8,0.786,0.786,0.786
SEIR015_sl1000_mr025_nv10_17,0.744,0.763,0.753,0.812,0.684,0.743
SEIR015_sl1000_mr025_nv10_18,0.628,0.73,0.675,0.743,0.703,0.722
SEIR015_sl1000_mr025_nv10_19,0.8,0.842,0.821,0.882,0.789,0.833
SEIR015_sl1000_mr025_nv10_2,0.661,0.696,0.678,0.854,0.625,0.722
SEIR015_sl1000_mr025_nv10_20,0.6,0.75,0.667,0.625,0.625,0.625
SEIR015_sl1000_mr025_nv10_3,0.837,0.891,0.863,0.894,0.913,0.903
SEIR015_sl1000_mr025_nv10_4,0.708,0.773,0.739,0.895,0.773,0.829
SEIR015_sl1000_mr025_nv10_5,0.796,0.812,0.804,0.844,0.792,0.817
SEIR015_sl1000_mr025_nv10_6,0.804,0.804,0.804,0.947,0.783,0.857
SEIR015_sl1000_mr025_nv10_7,0.778,0.778,0.778,0.889,0.889,0.889
SEIR015_sl1000_mr025_nv10_8,0.85,0.85,0.85,0.941,0.8,0.865
SEIR015_sl1000_mr025_nv10_9,0.814,0.857,0.835,0.942,0.875,0.907
SEIR015_sl1000_mr025_nv20_1,0.579,0.733,0.647,0.588,0.667,0.625
SEIR015_sl1000_mr025_nv20_10,0.5,0.667,0.571,0.583,0.778,0.667
SEIR015_sl1000_mr025_nv20_11,0.786,0.846,0.815,0.833,0.769,0.8
