dataset,sharp_prec,sharp_rec,sharp_f1,tnet_prec,tnet_rec,tnet_f1
SEIR015_sl1000_mr0125_nv10_1,0.737,0.767,0.752,0.887,0.753,0.815
SEIR015_sl1000_mr0125_nv10_10,0.75,0.789,0.769,0.875,0.737,0.8
SEIR015_sl1000_mr0125_nv10_11,0.692,0.692,0.692,0.818,0.692,0.75
SEIR015_sl1000_mr0125_nv10_12,0.786,0.786,0.786,0.846,0.786,0.815
SEIR015_sl1000_mr0125_nv10_13,0.86,0.86,0.86,0.978,0.88,0.926
SEIR015_sl1000_mr0125_nv10_14,0.782,0.827,0.804,0.849,0.865,0.857
SEIR015_sl1000_mr0125_nv10_15,0.667,0.667,0.667,0.8,0.533,0.64
SEIR015_sl1000_mr0125_nv10_16,0.694,0.794,0.741,0.739,0.81,0.773
SEIR015_sl1000_mr0125_nv10_17,0.625,0.769,0.69,0.69,0.769,0.727
SEIR015_sl1000_mr0125_nv10_18,0.7,0.7,0.7,0.8,0.8,0.8
SEIR015_sl1000_mr0125_nv10_19,0.581,0.581,0.581,0.773,0.548,0.642
SEIR015_sl1000_mr0125_nv10_2,0.75,0.75,0.75,0.917,0.688,0.786
SEIR015_sl1000_mr0125_nv10_20,0.837,0.878,0.857,0.878,0.878,0.878
SEIR015_sl1000_mr0125_nv10_3,0.636,0.778,0.7,0.778,0.778,0.778
SEIR015_sl1000_mr0125_nv10_4,0.8,0.8,0.8,0.8,0.8,0.8
SEIR015_sl1000_mr0125_nv10_5,0.49,0.49,0.49,0.667,0.392,0.494
SEIR015_sl1000_mr0125_nv10_6,0.692,0.771,0.73,0.833,0.714,0.769
SEIR015_sl1000_mr0125_nv10_7,0.747,0.824,0.783,0.846,0.809,0.827
SEIR015_sl1000_mr0125_nv10_8,0.619,0.722,0.667,0.579,0.611,0.595
SEIR015_sl1000_mr0125_nv10_9,0.4,0.476,0.435,0.5,0.429,0.462
SEIR015_sl1000_mr025_nv10_1,0.8,0.8,0.8,0.8,0.8,0.8
