dataset,sharp_prec,sharp_rec,sharp_f1,tnet_prec,tnet_rec,tnet_f1,tnet_bias_prec,tnet_bias_rec,tnet_bias_f1
AA,0.5,1,0.667,0.5,1,0.667,0.5,1,0.667
AC,1,1,1,1,1,1,1,1,1
AI,0.217,0.357,0.27,0.182,0.286,0.222,0.206,0.5,0.292
AJ,0.5,1,0.667,0.5,1,0.667,0.5,1,0.667
AQ,0,0,0,0,0,0,0,0,0
AW,0.267,0.222,0.242,0.25,0.222,0.235,0.167,0.222,0.19
BA,0.5,0.6,0.545,0.5,0.6,0.545,0.5,0.6,0.545
BB,0,0,0,0,0,0,0.083,0.167,0.111
BC,1,1,1,1,1,1,1,1,1
BJ,1,1,1,1,1,1,1,1,1
,0.4984,0.6179,0.5391,0.4932,0.6108,0.5336,0.4956,0.6489,0.5472
