dataset,sharp_prec,sharp_rec,sharp_f1,tnet_prec,tnet_rec,tnet_f1,tnet_bias_prec,tnet_bias_rec,tnet_bias_f1
SEIR015_sl1000_mr0125_nv10_1,1,0.219,0.36,1,0.219,0.36,1,0.753,0.859
SEIR015_sl1000_mr0125_nv10_10,1,0.421,0.593,1,0.421,0.593,1,0.421,0.593
SEIR015_sl1000_mr0125_nv10_11,1,0.308,0.471,1,0.308,0.471,1,0.615,0.762
SEIR015_sl1000_mr0125_nv10_12,1,0.286,0.444,1,0.286,0.444,1,0.643,0.783
SEIR015_sl1000_mr0125_nv10_13,0.957,0.44,0.603,0.957,0.44,0.603,0.977,0.86,0.915
SEIR015_sl1000_mr0125_nv10_14,1,0.442,0.613,1,0.423,0.595,1,0.788,0.882
SEIR015_sl1000_mr0125_nv10_15,0.917,0.244,0.386,0.917,0.244,0.386,0.96,0.533,0.686
SEIR015_sl1000_mr0125_nv10_16,1,0.397,0.568,1,0.397,0.568,0.974,0.587,0.733
SEIR015_sl1000_mr0125_nv10_17,1,0.269,0.424,1,0.269,0.424,1,0.731,0.844
SEIR015_sl1000_mr0125_nv10_18,1,0.4,0.571,1,0.4,0.571,1,0.6,0.75
SEIR015_sl1000_mr0125_nv10_19,1,0.387,0.558,1,0.387,0.558,1,0.548,0.708
SEIR015_sl1000_mr0125_nv10_2,0.889,0.5,0.64,0.889,0.5,0.64,0.909,0.625,0.741
SEIR015_sl1000_mr0125_nv10_20,1,0.22,0.36,1,0.22,0.36,1,0.732,0.845
SEIR015_sl1000_mr0125_nv10_3,1,0.333,0.5,1,0.333,0.5,1,0.444,0.615
SEIR015_sl1000_mr0125_nv10_4,1,0.2,0.333,1,0.3,0.462,1,0.7,0.824
SEIR015_sl1000_mr0125_nv10_5,0.909,0.196,0.323,0.909,0.196,0.323,0.976,0.784,0.87
SEIR015_sl1000_mr0125_nv10_6,1,0.143,0.25,1,0.143,0.25,0.95,0.543,0.691
SEIR015_sl1000_mr0125_nv10_7,1,0.294,0.455,1,0.294,0.455,1,0.529,0.692
SEIR015_sl1000_mr0125_nv10_8,1,0.278,0.435,1,0.278,0.435,1,0.611,0.759
SEIR015_sl1000_mr0125_nv10_9,1,0.143,0.25,0,0,0,1,0.333,0.5
SEIR015_sl1000_mr025_nv10_1,1,0.6,0.75,1,0.6,0.75,1,0.7,0.824
SEIR015_sl1000_mr025_nv10_10,0.75,0.273,0.4,0.75,0.273,0.4,0.9,0.818,0.857
SEIR015_sl1000_mr025_nv10_11,1,0.357,0.526,1,0.339,0.507,1,0.732,0.845
SEIR015_sl1000_mr025_nv10_12,0,0,0,0,0,0,0,0,0
SEIR015_sl1000_mr025_nv10_13,1,0.1,0.182,1,0.1,0.182,1,0.1,0.182
SEIR015_sl1000_mr025_nv10_14,0.9,0.36,0.514,0.9,0.36,0.514,0.857,0.72,0.783
SEIR015_sl1000_mr025_nv10_15,1,0.155,0.269,1,0.155,0.269,1,0.345,0.513
SEIR015_sl1000_mr025_nv10_16,1,0.357,0.526,1,0.357,0.526,1,0.571,0.727
SEIR015_sl1000_mr025_nv10_17,0.929,0.342,0.5,0.929,0.342,0.5,0.931,0.711,0.806
SEIR015_sl1000_mr025_nv10_18,1,0.432,0.604,1,0.432,0.604,1,0.649,0.787
SEIR015_sl1000_mr025_nv10_19,1,0.263,0.417,1,0.263,0.417,1,0.579,0.733
SEIR015_sl1000_mr025_nv10_2,1,0.214,0.353,1,0.232,0.377,1,0.732,0.845
SEIR015_sl1000_mr025_nv10_20,1,0.125,0.222,1,0.125,0.222,1,0.25,0.4
SEIR015_sl1000_mr025_nv10_3,1,0.543,0.704,1,0.543,0.704,1,0.783,0.878
SEIR015_sl1000_mr025_nv10_4,0.857,0.273,0.414,0.846,0.25,0.386,0.949,0.841,0.892
SEIR015_sl1000_mr025_nv10_5,1,0.333,0.5,1,0.354,0.523,1,0.729,0.843
SEIR015_sl1000_mr025_nv10_6,1,0.37,0.54,1,0.37,0.54,1,0.804,0.892
SEIR015_sl1000_mr025_nv10_7,0.8,0.444,0.571,0.8,0.444,0.571,0.8,0.444,0.571
SEIR015_sl1000_mr025_nv10_8,1,0.6,0.75,1,0.6,0.75,1,0.75,0.857
SEIR015_sl1000_mr025_nv10_9,1,0.429,0.6,1,0.429,0.6,1,0.804,0.891
SEIR015_sl1000_mr025_nv20_1,1,0.333,0.5,1,0.333,0.5,1,0.533,0.696
SEIR015_sl1000_mr025_nv20_10,0.75,0.333,0.462,0.75,0.333,0.462,0.8,0.444,0.571
SEIR015_sl1000_mr025_nv20_11,1,0.308,0.471,1,0.308,0.471,1,0.923,0.96
SEIR015_sl1000_mr025_nv20_12,0.909,0.5,0.645,0.909,0.5,0.645,0.923,0.6,0.727
SEIR015_sl1000_mr025_nv20_13,1,0.333,0.5,1,0.333,0.5,0.75,0.333,0.462
SEIR015_sl1000_mr025_nv20_14,0.875,0.318,0.467,0.875,0.318,0.467,0.947,0.818,0.878
SEIR015_sl1000_mr025_nv20_15,1,0.208,0.345,1,0.208,0.345,1,0.5,0.667
SEIR015_sl1000_mr025_nv20_16,0.952,0.667,0.784,0.952,0.667,0.784,0.926,0.833,0.877
SEIR015_sl1000_mr025_nv20_17,1,0.429,0.6,1,0.429,0.6,1,0.786,0.88
SEIR015_sl1000_mr025_nv20_18,1,0.231,0.375,1,0.231,0.375,1,0.462,0.632
SEIR015_sl1000_mr025_nv20_19,1,0.182,0.308,1,0.182,0.308,0.75,0.273,0.4
SEIR015_sl1000_mr025_nv20_2,1,0.44,0.611,1,0.44,0.611,1,0.64,0.78
SEIR015_sl1000_mr025_nv20_20,0.857,0.316,0.462,0.857,0.316,0.462,0.833,0.526,0.645
SEIR015_sl1000_mr025_nv20_3,1,0.379,0.549,1,0.364,0.533,1,0.545,0.706
SEIR015_sl1000_mr025_nv20_4,0.917,0.333,0.489,0.917,0.333,0.489,0.966,0.848,0.903
SEIR015_sl1000_mr025_nv20_5,0.846,0.282,0.423,0.923,0.308,0.462,0.944,0.872,0.907
SEIR015_sl1000_mr025_nv20_6,0.818,0.237,0.367,0.833,0.263,0.4,0.909,0.526,0.667
SEIR015_sl1000_mr025_nv20_7,1,0.611,0.759,1,0.611,0.759,0.969,0.861,0.912
SEIR015_sl1000_mr025_nv20_8,1,0.493,0.66,1,0.493,0.66,1,0.627,0.771
SEIR015_sl1000_mr025_nv20_9,1,0.222,0.364,1,0.222,0.364,1,0.667,0.8
SEIR015_sl1000_mr025_nv5_1,0,0,0,0,0,0,1,0.357,0.526
SEIR015_sl1000_mr025_nv5_10,1,0.139,0.244,1,0.111,0.2,1,0.25,0.4
SEIR015_sl1000_mr025_nv5_11,1,0.234,0.379,1,0.234,0.379,0.964,0.574,0.72
SEIR015_sl1000_mr025_nv5_12,1,0.182,0.308,0.667,0.182,0.286,0.7,0.636,0.667
SEIR015_sl1000_mr025_nv5_13,1,0.323,0.488,1,0.323,0.488,1,0.484,0.652
SEIR015_sl1000_mr025_nv5_14,1,0.2,0.333,1,0.2,0.333,0.889,0.533,0.667
SEIR015_sl1000_mr025_nv5_15,0.9,0.138,0.24,0.9,0.138,0.24,0.939,0.477,0.633
SEIR015_sl1000_mr025_nv5_16,1,0.269,0.424,1,0.269,0.424,1,0.808,0.894
SEIR015_sl1000_mr025_nv5_17,1,0.293,0.453,1,0.293,0.453,0.97,0.78,0.865
SEIR015_sl1000_mr025_nv5_18,1,0.218,0.358,1,0.218,0.358,0.96,0.436,0.6
SEIR015_sl1000_mr025_nv5_19,1,0.091,0.167,1,0.091,0.167,1,0.182,0.308
SEIR015_sl1000_mr025_nv5_2,1,0.222,0.364,1,0.222,0.364,1,0.444,0.615
SEIR015_sl1000_mr025_nv5_20,1,0.195,0.327,1,0.195,0.327,1,0.537,0.698
SEIR015_sl1000_mr025_nv5_3,1,0.148,0.258,1,0.148,0.258,1,0.407,0.579
SEIR015_sl1000_mr025_nv5_4,1,0.2,0.333,1,0.2,0.333,1,0.66,0.795
SEIR015_sl1000_mr025_nv5_5,1,0.048,0.091,1,0.048,0.091,1,0.381,0.552
SEIR015_sl1000_mr025_nv5_6,0.857,0.097,0.174,0.857,0.097,0.174,0.95,0.306,0.463
SEIR015_sl1000_mr025_nv5_7,0.857,0.231,0.364,0.857,0.231,0.364,0.947,0.692,0.8
SEIR015_sl1000_mr025_nv5_8,1,0.13,0.231,1,0.13,0.231,1,0.478,0.647
SEIR015_sl1000_mr025_nv5_9,1,0.125,0.222,0.857,0.15,0.255,0.917,0.275,0.423
SEIR015_sl1000_mr05_nv10_1,1,0.294,0.455,1,0.294,0.455,1,0.647,0.786
SEIR015_sl1000_mr05_nv10_10,0,0,0,0,0,0,1,0.111,0.2
SEIR015_sl1000_mr05_nv10_11,0.5,0.125,0.2,0.5,0.125,0.2,0.667,0.25,0.364
SEIR015_sl1000_mr05_nv10_12,1,0.25,0.4,1,0.25,0.4,1,0.625,0.769
SEIR015_sl1000_mr05_nv10_13,0.95,0.311,0.469,0.95,0.311,0.469,0.981,0.836,0.903
SEIR015_sl1000_mr05_nv10_14,1,0.196,0.327,1,0.196,0.327,1,0.652,0.789
SEIR015_sl1000_mr05_nv10_15,1,0.091,0.167,1,0.091,0.167,1,0.364,0.533
SEIR015_sl1000_mr05_nv10_16,1,0.195,0.327,1,0.195,0.327,1,0.805,0.892
SEIR015_sl1000_mr05_nv10_17,0.938,0.217,0.353,0.938,0.217,0.353,0.978,0.638,0.772
SEIR015_sl1000_mr05_nv10_18,1,0.22,0.36,1,0.22,0.36,0.962,0.61,0.746
SEIR015_sl1000_mr05_nv10_19,1,0.406,0.578,1,0.406,0.578,1,0.719,0.836
SEIR015_sl1000_mr05_nv10_2,1,0.238,0.385,1,0.238,0.385,1,0.762,0.865
SEIR015_sl1000_mr05_nv10_20,1,0.073,0.136,1,0.073,0.136,1,0.341,0.509
