dataset,phylo_prec,phylo_rec,phylo_f1,sharp_prec,sharp_rec,sharp_f1,tnet_prec,tnet_rec,tnet_f1,tnet_bias_prec,tnet_bias_rec,tnet_bias_f1
SIR01_sl1000_mr15_nv5_19,0.684,0.619,0.65,0.765,0.619,0.684,0.8,0.571,0.667,0.667,0.667,0.667
SEIR015_sl250_mr025_nv10_2,0.5,0.045,0.083,0.273,0.136,0.182,0.333,0.182,0.235,0.5,0.273,0.353
SEIR015_sl1000_mr025_nv10_3,1,0.761,0.864,0.848,0.848,0.848,0.84,0.913,0.875,0.915,0.935,0.925
SIR01_sl1000_mr15_nv5_17,0.857,0.75,0.8,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875
SEIR01_sl1000_mr025_nv5_14,1,0.6,0.75,1,0.9,0.947,1,0.95,0.974,1,0.9,0.947
SIR01_sl500_mr15_nv10_15,0.75,0.5,0.6,0.739,0.567,0.642,0.731,0.633,0.679,0.769,0.667,0.714
SEIR01_sl1000_mr0125_nv10_9,0.977,0.915,0.945,0.978,0.936,0.957,0.936,0.936,0.936,0.938,0.957,0.947
SEIR015_sl1000_mr025_nv20_12,0.923,0.6,0.727,0.857,0.6,0.706,0.8,0.6,0.686,0.923,0.6,0.727
SIR01_sl1000_mr15_nv20_5,0.667,0.6,0.632,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7
SIR003_sl1000_mr05_nv10_17,0.75,0.429,0.545,0.75,0.429,0.545,0.75,0.429,0.545,0.75,0.429,0.545
SIR01_sl1000_mr15_nv10_6,1,0.571,0.727,0.778,1,0.875,0.778,1,0.875,1,1,1
SEIR015_sl250_mr025_nv10_3,0,0,0,0.333,0.267,0.296,0.25,0.267,0.258,0.222,0.133,0.167
SEIR015_sl500_mr025_nv10_2,0.833,0.625,0.714,0.625,0.625,0.625,0.667,0.75,0.706,0.625,0.625,0.625
SEIR015_sl1000_mr0125_nv10_7,0.98,0.706,0.821,0.897,0.765,0.825,0.946,0.779,0.855,0.984,0.882,0.93
SIR003_sl1000_mr1_nv10_20,0.793,0.667,0.724,0.879,0.739,0.803,0.81,0.739,0.773,0.778,0.71,0.742
SIR01_sl1000_mr15_nv5_5,0.625,0.455,0.526,0.6,0.545,0.571,0.6,0.545,0.571,0.636,0.636,0.636
SIR003_sl250_mr05_nv10_16,1,0.273,0.429,0.625,0.455,0.526,0.625,0.455,0.526,0.625,0.455,0.526
SIR003_sl1000_mr05_nv5_17,0.706,0.5,0.585,0.75,0.625,0.682,0.75,0.625,0.682,0.638,0.625,0.632
SIR01_sl500_mr15_nv10_7,1,0.571,0.727,0.778,1,0.875,0.75,0.857,0.8,0.75,0.857,0.8
SIR01_sl1000_mr075_nv10_18,0.9,0.818,0.857,0.833,0.909,0.87,0.833,0.909,0.87,0.818,0.818,0.818
SIR01_sl1000_mr3_nv10_14,0.952,0.714,0.816,0.885,0.821,0.852,0.92,0.821,0.868,0.917,0.786,0.846
SIR01_sl500_mr15_nv10_20,1,0.52,0.684,0.95,0.76,0.844,0.909,0.8,0.851,0.947,0.72,0.818
SEIR015_sl1000_mr0125_nv10_15,0.964,0.6,0.74,0.781,0.556,0.649,0.862,0.556,0.676,0.932,0.911,0.921
SIR003_sl1000_mr025_nv10_7,0.643,0.562,0.6,0.562,0.562,0.562,0.529,0.562,0.545,0.625,0.625,0.625
SEIR015_sl250_mr025_nv10_9,0.8,0.267,0.4,0.818,0.6,0.692,0.769,0.667,0.714,0.929,0.867,0.897
SEIR015_sl250_mr025_nv10_10,0.818,0.153,0.257,0.697,0.39,0.5,0.706,0.407,0.516,0.833,0.254,0.39
SEIR01_sl1000_mr025_nv10_11,1,0.829,0.906,0.889,0.914,0.901,0.865,0.914,0.889,0.889,0.914,0.901
