dataset,phylo_prec,phylo_rec,phylo_f1,sharp_prec,sharp_rec,sharp_f1,tnet_prec,tnet_rec,tnet_f1,tnet_bias_prec,tnet_bias_rec,tnet_bias_f1
SEIR015_sl250_mr025_nv10_2,0.5,0.045,0.083,0.273,0.136,0.182,0.375,0.136,0.2,0.5,0.273,0.353
SEIR015_sl1000_mr025_nv10_3,1,0.761,0.864,0.907,0.848,0.876,0.907,0.848,0.876,0.915,0.935,0.925
SEIR015_sl1000_mr025_nv20_12,0.923,0.6,0.727,0.857,0.6,0.706,0.923,0.6,0.727,0.923,0.6,0.727
SEIR015_sl250_mr025_nv10_3,0,0,0,0.3,0.2,0.24,0.182,0.133,0.154,0.222,0.133,0.167
SEIR015_sl500_mr025_nv10_2,0.833,0.625,0.714,0.625,0.625,0.625,0.667,0.75,0.706,0.625,0.625,0.625
SEIR015_sl1000_mr0125_nv10_7,0.98,0.706,0.821,0.929,0.765,0.839,0.98,0.721,0.831,0.983,0.868,0.922
SEIR015_sl1000_mr0125_nv10_15,0.964,0.6,0.74,0.806,0.556,0.658,0.893,0.556,0.685,0.932,0.911,0.921
SEIR015_sl250_mr025_nv10_9,0.8,0.267,0.4,0.818,0.6,0.692,0.833,0.667,0.741,0.929,0.867,0.897
SEIR015_sl250_mr025_nv10_10,0.818,0.153,0.257,0.677,0.356,0.467,0.724,0.356,0.477,0.833,0.254,0.39
SEIR015_sl1000_mr025_nv20_4,0.963,0.788,0.867,0.917,0.667,0.772,0.875,0.636,0.737,0.886,0.939,0.912
SEIR015_sl250_mr025_nv10_5,1,0.125,0.222,0.625,0.625,0.625,0.625,0.625,0.625,0.667,0.75,0.706
SEIR015_sl1000_mr0125_nv10_19,1,0.548,0.708,0.947,0.581,0.72,0.9,0.581,0.706,0.905,0.613,0.731
SEIR015_sl1000_mr025_nv20_11,1,0.692,0.818,0.833,0.769,0.8,0.833,0.769,0.8,0.857,0.923,0.889
SEIR015_sl250_mr025_nv10_6,0.923,0.343,0.5,0.586,0.486,0.531,0.593,0.457,0.516,0.657,0.657,0.657
SEIR015_sl1000_mr025_nv20_1,1,0.6,0.75,1,0.8,0.889,0.867,0.867,0.867,1,0.933,0.966
SEIR015_sl1000_mr0125_nv10_3,1,0.667,0.8,0.9,1,0.947,0.8,0.889,0.842,0.889,0.889,0.889
SEIR015_sl1000_mr025_nv5_14,1,0.467,0.636,0.733,0.733,0.733,0.688,0.733,0.71,0.765,0.867,0.812
SEIR015_sl1000_mr05_nv10_15,1,0.545,0.706,1,0.636,0.778,0.875,0.636,0.737,0.909,0.909,0.909
SEIR015_sl250_mr025_nv10_4,0.7,0.28,0.4,0.769,0.8,0.784,0.769,0.8,0.784,0.833,0.8,0.816
SEIR015_sl1000_mr025_nv20_6,0.895,0.447,0.596,0.838,0.816,0.827,0.833,0.789,0.811,0.842,0.842,0.842
SEIR015_sl1000_mr05_nv10_14,0.943,0.717,0.815,0.771,0.587,0.667,0.862,0.543,0.667,0.9,0.783,0.837
SEIR015_sl250_mr025_nv10_16,0,0,0,0.533,0.296,0.381,0.529,0.333,0.409,0.727,0.593,0.653
SEIR015_sl250_mr025_nv10_18,0,0,0,0.429,0.273,0.333,0.429,0.273,0.333,0.667,0.545,0.6
SEIR015_sl1000_mr025_nv5_5,0.778,0.333,0.467,0.727,0.381,0.5,0.75,0.286,0.414,0.833,0.476,0.606
SEIR015_sl1000_mr025_nv20_7,0.935,0.806,0.866,1,0.861,0.925,1,0.861,0.925,0.944,0.944,0.944
SEIR015_sl500_mr025_nv10_7,0.935,0.468,0.624,0.812,0.629,0.709,0.867,0.629,0.729,0.906,0.774,0.835
SEIR015_sl1000_mr025_nv5_18,0.923,0.655,0.766,0.829,0.618,0.708,0.85,0.618,0.716,0.84,0.764,0.8
SEIR015_sl1000_mr025_nv5_2,1,0.556,0.714,1,0.778,0.875,1,0.667,0.8,1,0.667,0.8
SEIR015_sl250_mr025_nv10_12,1,0.14,0.245,0.622,0.651,0.636,0.667,0.558,0.608,0.725,0.674,0.699
SEIR015_sl500_mr025_nv10_3,0.9,0.486,0.632,0.792,0.514,0.623,0.895,0.459,0.607,0.935,0.784,0.853
SEIR015_sl250_mr025_nv10_14,1,0.08,0.148,0.583,0.56,0.571,0.481,0.52,0.5,0.636,0.56,0.596
SEIR015_sl1000_mr0125_nv10_14,1,0.673,0.805,0.917,0.846,0.88,0.913,0.808,0.857,0.92,0.885,0.902
SEIR015_sl1000_mr025_nv5_8,0.941,0.696,0.8,0.895,0.739,0.81,0.833,0.652,0.732,0.8,0.87,0.833
SEIR015_sl1000_mr025_nv5_11,0.971,0.723,0.829,0.931,0.574,0.711,0.963,0.553,0.703,0.975,0.83,0.897
SEIR015_sl1000_mr025_nv5_13,1,0.71,0.83,0.957,0.71,0.815,0.913,0.677,0.778,0.964,0.871,0.915
SEIR015_sl1000_mr025_nv20_15,1,0.417,0.588,1,0.667,0.8,0.941,0.667,0.78,0.952,0.833,0.889
SEIR015_sl1000_mr025_nv10_2,0.976,0.732,0.837,0.902,0.661,0.763,0.914,0.571,0.703,0.889,0.857,0.873
SEIR015_sl1000_mr05_nv10_11,0.667,0.25,0.364,0.5,0.375,0.429,0.6,0.375,0.462,0.6,0.375,0.462
SEIR015_sl1000_mr05_nv10_12,1,0.125,0.222,0.727,1,0.842,0.727,1,0.842,0.727,1,0.842
SEIR015_sl1000_mr05_nv10_6,1,0.833,0.909,0.955,0.7,0.808,0.955,0.7,0.808,0.906,0.967,0.935
SEIR015_sl1000_mr0125_nv10_16,0.882,0.476,0.619,0.873,0.762,0.814,0.821,0.73,0.773,0.891,0.778,0.831
SEIR015_sl1000_mr05_nv10_1,0.917,0.647,0.759,0.769,0.588,0.667,0.769,0.588,0.667,0.75,0.706,0.727
SEIR015_sl1000_mr05_nv10_5,1,0.636,0.778,0.875,0.636,0.737,0.8,0.727,0.762,0.818,0.818,0.818
SEIR015_sl1000_mr025_nv20_2,1,0.6,0.75,1,0.88,0.936,1,0.84,0.913,0.958,0.92,0.939
SEIR015_sl1000_mr025_nv20_19,0.667,0.182,0.286,0.538,0.636,0.583,0.538,0.636,0.583,0.467,0.636,0.538
SEIR015_sl1000_mr025_nv20_16,0.929,0.867,0.897,0.897,0.867,0.881,0.893,0.833,0.862,0.9,0.9,0.9
SEIR015_sl500_mr025_nv10_1,1,0.6,0.75,0.667,0.6,0.632,0.6,0.6,0.6,0.727,0.8,0.762
SEIR015_sl1000_mr0125_nv10_18,1,0.5,0.667,0.778,0.7,0.737,0.875,0.7,0.778,0.889,0.8,0.842
