dataset,phylo_prec,phylo_rec,phylo_f1,sharp_prec,sharp_rec,sharp_f1,tnet_prec,tnet_rec,tnet_f1,tnet_bias_prec,tnet_bias_rec,tnet_bias_f1
SEIR015_sl250_mr025_nv10_2,0.5,0.045,0.083,0.273,0.136,0.182,0.375,0.136,0.2,0.5,0.273,0.353
SEIR015_sl1000_mr025_nv10_3,1,0.761,0.864,0.907,0.848,0.876,0.907,0.848,0.876,0.915,0.935,0.925
SIR01_sl500_mr15_nv10_15,0.75,0.5,0.6,0.773,0.567,0.654,0.72,0.6,0.655,0.769,0.667,0.714
SEIR01_sl1000_mr0125_nv10_9,0.977,0.915,0.945,0.976,0.872,0.921,0.977,0.894,0.933,0.938,0.957,0.947
SIR003_sl1000_mr05_nv10_17,0.75,0.429,0.545,0.75,0.429,0.545,0.75,0.429,0.545,0.75,0.429,0.545
SIR01_sl1000_mr15_nv10_6,1,0.571,0.727,0.778,1,0.875,1,0.857,0.923,1,1,1
SEIR015_sl250_mr025_nv10_3,0,0,0,0.3,0.2,0.24,0.182,0.133,0.154,0.222,0.133,0.167
SEIR015_sl500_mr025_nv10_2,0.833,0.625,0.714,0.625,0.625,0.625,0.667,0.75,0.706,0.625,0.625,0.625
SEIR015_sl1000_mr0125_nv10_7,0.98,0.706,0.821,0.929,0.765,0.839,0.98,0.721,0.831,0.983,0.868,0.922
SIR003_sl1000_mr1_nv10_20,0.793,0.667,0.724,0.923,0.696,0.793,0.885,0.667,0.76,0.778,0.71,0.742
SIR003_sl250_mr05_nv10_16,1,0.273,0.429,0.714,0.455,0.556,0.714,0.455,0.556,0.714,0.455,0.556
SIR01_sl500_mr15_nv10_7,1,0.571,0.727,0.778,1,0.875,0.75,0.857,0.8,0.75,0.857,0.8
SIR01_sl1000_mr075_nv10_18,0.9,0.818,0.857,0.833,0.909,0.87,0.833,0.909,0.87,0.818,0.818,0.818
SIR01_sl1000_mr3_nv10_14,0.952,0.714,0.816,0.885,0.821,0.852,0.909,0.714,0.8,0.917,0.786,0.846
SIR01_sl500_mr15_nv10_20,1,0.52,0.684,0.944,0.68,0.791,0.941,0.64,0.762,0.944,0.68,0.791
SEIR015_sl1000_mr0125_nv10_15,0.964,0.6,0.74,0.806,0.556,0.658,0.893,0.556,0.685,0.932,0.911,0.921
SIR003_sl1000_mr025_nv10_7,0.643,0.562,0.6,0.643,0.562,0.6,0.643,0.562,0.6,0.6,0.562,0.581
SEIR015_sl250_mr025_nv10_9,0.8,0.267,0.4,0.818,0.6,0.692,0.833,0.667,0.741,0.929,0.867,0.897
SEIR015_sl250_mr025_nv10_10,0.818,0.153,0.257,0.677,0.356,0.467,0.724,0.356,0.477,0.833,0.254,0.39
SEIR01_sl1000_mr025_nv10_11,1,0.829,0.906,0.914,0.914,0.914,0.914,0.914,0.914,0.889,0.914,0.901
SIR01_sl1000_mr075_nv10_17,0.809,0.535,0.644,0.848,0.549,0.667,0.864,0.535,0.661,0.763,0.634,0.692
SEIR01_sl1000_mr025_nv10_13,0.944,0.85,0.895,0.824,0.7,0.757,0.824,0.7,0.757,0.857,0.9,0.878
SEIR01_sl500_mr025_nv10_10,0.833,0.714,0.769,0.733,0.786,0.759,0.733,0.786,0.759,0.733,0.786,0.759
SIR01_sl500_mr15_nv10_14,0.667,0.513,0.58,0.786,0.564,0.657,0.792,0.487,0.603,0.636,0.538,0.583
SIR003_sl500_mr05_nv10_6,0.533,0.381,0.444,0.667,0.571,0.615,0.647,0.524,0.579,0.571,0.571,0.571
SIR01_sl1000_mr075_nv10_7,0.917,0.917,0.917,0.909,0.833,0.87,0.909,0.833,0.87,0.917,0.917,0.917
SEIR01_sl1000_mr05_nv10_20,0.977,0.808,0.884,0.978,0.865,0.918,0.978,0.865,0.918,0.906,0.923,0.914
SIR003_sl250_mr05_nv10_4,1,0.25,0.4,0.636,0.583,0.609,0.667,0.667,0.667,0.667,0.667,0.667
SEIR01_sl500_mr025_nv10_3,0.929,0.619,0.743,0.889,0.762,0.821,0.842,0.762,0.8,0.81,0.81,0.81
SIR003_sl1000_mr025_nv10_5,1,0.571,0.727,0.75,0.857,0.8,0.857,0.857,0.857,0.857,0.857,0.857
SEIR015_sl250_mr025_nv10_5,1,0.125,0.222,0.625,0.625,0.625,0.625,0.625,0.625,0.667,0.75,0.706
SIR01_sl500_mr15_nv10_18,0.857,0.48,0.615,0.789,0.6,0.682,0.824,0.56,0.667,0.778,0.56,0.651
SIR01_sl1000_mr3_nv10_5,0.857,0.643,0.735,0.818,0.643,0.72,0.818,0.643,0.72,0.75,0.75,0.75
SEIR015_sl1000_mr0125_nv10_19,1,0.548,0.708,0.947,0.581,0.72,0.9,0.581,0.706,0.905,0.613,0.731
SIR003_sl500_mr05_nv10_10,0.667,0.41,0.508,0.786,0.564,0.657,0.76,0.487,0.594,0.679,0.487,0.567
SEIR015_sl250_mr025_nv10_6,0.923,0.343,0.5,0.586,0.486,0.531,0.593,0.457,0.516,0.657,0.657,0.657
SEIR015_sl1000_mr0125_nv10_3,1,0.667,0.8,0.9,1,0.947,0.8,0.889,0.842,0.889,0.889,0.889
SIR003_sl1000_mr05_nv10_3,0.875,0.7,0.778,0.875,0.7,0.778,0.875,0.7,0.778,0.8,0.8,0.8
SEIR01_sl1000_mr025_nv10_17,0.829,0.756,0.791,0.865,0.711,0.78,0.861,0.689,0.765,0.818,0.8,0.809
SIR01_sl1000_mr15_nv10_20,0.75,0.667,0.706,0.7,0.778,0.737,0.7,0.778,0.737,0.778,0.778,0.778
SIR003_sl500_mr05_nv10_12,0.65,0.5,0.565,0.864,0.731,0.792,0.762,0.615,0.681,0.607,0.654,0.63
SIR01_sl1000_mr3_nv10_13,0.846,0.611,0.71,0.909,0.556,0.69,0.909,0.556,0.69,0.759,0.611,0.677
SEIR015_sl1000_mr05_nv10_15,1,0.545,0.706,1,0.636,0.778,0.875,0.636,0.737,0.909,0.909,0.909
SEIR015_sl250_mr025_nv10_4,0.7,0.28,0.4,0.769,0.8,0.784,0.769,0.8,0.784,0.833,0.8,0.816
SEIR015_sl1000_mr05_nv10_14,0.943,0.717,0.815,0.771,0.587,0.667,0.862,0.543,0.667,0.9,0.783,0.837
SEIR01_sl250_mr025_nv10_5,0.909,0.244,0.385,0.743,0.634,0.684,0.742,0.561,0.639,0.727,0.585,0.649
SEIR01_sl500_mr025_nv10_5,1,0.4,0.571,0.571,0.8,0.667,0.6,0.6,0.6,0.429,0.6,0.5
SEIR015_sl250_mr025_nv10_16,0,0,0,0.533,0.296,0.381,0.529,0.333,0.409,0.727,0.593,0.653
