dataset,phylo_prec,phylo_rec,phylo_f1,sharp_prec,sharp_rec,sharp_f1,tnet_prec,tnet_rec,tnet_f1,tnet_bias_prec,tnet_bias_rec,tnet_bias_f1
SEIR015_sl250_mr025_nv10_2,0.5,0.045,0.083,0.273,0.136,0.182,0.375,0.136,0.2,0.5,0.273,0.353
SEIR015_sl250_mr025_nv10_3,0,0,0,0.3,0.2,0.24,0.182,0.133,0.154,0.222,0.133,0.167
SIR003_sl250_mr05_nv10_16,1,0.273,0.429,0.714,0.455,0.556,0.714,0.455,0.556,0.714,0.455,0.556
SEIR015_sl250_mr025_nv10_9,0.8,0.267,0.4,0.818,0.6,0.692,0.833,0.667,0.741,0.929,0.867,0.897
SEIR015_sl250_mr025_nv10_10,0.818,0.153,0.257,0.677,0.356,0.467,0.724,0.356,0.477,0.833,0.254,0.39
SIR003_sl250_mr05_nv10_4,1,0.25,0.4,0.636,0.583,0.609,0.667,0.667,0.667,0.667,0.667,0.667
SEIR015_sl250_mr025_nv10_5,1,0.125,0.222,0.625,0.625,0.625,0.625,0.625,0.625,0.667,0.75,0.706
SEIR015_sl250_mr025_nv10_6,0.923,0.343,0.5,0.586,0.486,0.531,0.593,0.457,0.516,0.657,0.657,0.657
SEIR015_sl250_mr025_nv10_4,0.7,0.28,0.4,0.769,0.8,0.784,0.769,0.8,0.784,0.833,0.8,0.816
SEIR01_sl250_mr025_nv10_5,0.909,0.244,0.385,0.743,0.634,0.684,0.742,0.561,0.639,0.727,0.585,0.649
SEIR015_sl250_mr025_nv10_16,0,0,0,0.533,0.296,0.381,0.529,0.333,0.409,0.727,0.593,0.653
SEIR015_sl250_mr025_nv10_18,0,0,0,0.429,0.273,0.333,0.429,0.273,0.333,0.667,0.545,0.6
SEIR01_sl250_mr025_nv10_17,1,0.125,0.222,0.5,0.625,0.556,0.5,0.625,0.556,0.5,0.625,0.556
SIR003_sl250_mr05_nv10_10,0.8,0.211,0.333,0.625,0.526,0.571,0.625,0.526,0.571,0.588,0.526,0.556
SIR003_sl250_mr05_nv10_8,1,0.412,0.583,0.9,0.529,0.667,0.75,0.529,0.621,0.818,0.529,0.643
SEIR015_sl250_mr025_nv10_12,1,0.14,0.245,0.622,0.651,0.636,0.667,0.558,0.608,0.725,0.674,0.699
SEIR01_sl250_mr025_nv10_20,0.625,0.278,0.385,0.722,0.722,0.722,0.722,0.722,0.722,0.684,0.722,0.703
SIR01_sl250_mr15_nv10_6,0.8,0.186,0.302,0.636,0.326,0.431,0.6,0.279,0.381,0.632,0.279,0.387
SIR01_sl250_mr15_nv10_14,1,0.4,0.571,0.615,0.533,0.571,0.615,0.533,0.571,0.615,0.533,0.571
SIR01_sl250_mr15_nv10_20,0.5,0.143,0.222,0.571,0.571,0.571,0.5,0.571,0.533,0.5,0.571,0.533
SEIR015_sl250_mr025_nv10_14,1,0.08,0.148,0.583,0.56,0.571,0.481,0.52,0.5,0.636,0.56,0.596
SEIR01_sl250_mr025_nv10_16,0.867,0.283,0.426,0.632,0.522,0.571,0.629,0.478,0.543,0.59,0.5,0.541
SEIR01_sl250_mr025_nv10_2,0.5,0.071,0.125,0.769,0.714,0.741,0.714,0.714,0.714,0.647,0.786,0.71
SIR01_sl250_mr15_nv10_3,1,0.214,0.353,0.75,0.643,0.692,0.615,0.571,0.593,0.727,0.571,0.64
SIR01_sl250_mr15_nv10_16,1,0.348,0.516,0.812,0.565,0.667,0.778,0.609,0.683,0.8,0.522,0.632
SIR01_sl250_mr15_nv10_2,1,0.444,0.615,0.875,0.778,0.824,0.778,0.778,0.778,0.778,0.778,0.778
SIR003_sl250_mr05_nv10_11,0.5,0.083,0.143,0.625,0.417,0.5,0.6,0.5,0.545,0.625,0.417,0.5
SEIR01_sl250_mr025_nv10_9,0.913,0.344,0.5,0.846,0.721,0.779,0.824,0.689,0.75,0.808,0.689,0.743
SIR003_sl250_mr05_nv10_19,1,0.08,0.148,0.5,0.2,0.286,0.444,0.16,0.235,0.444,0.16,0.235
SIR01_sl250_mr15_nv10_19,1,0.714,0.833,0.833,0.714,0.769,0.714,0.714,0.714,0.714,0.714,0.714
SIR01_sl250_mr15_nv10_9,1,0.1,0.182,0.333,0.3,0.316,0.286,0.2,0.235,0.286,0.2,0.235
SIR003_sl250_mr05_nv10_14,0.833,0.625,0.714,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
SEIR01_sl250_mr025_nv10_8,1,0.353,0.522,0.935,0.853,0.892,0.906,0.853,0.879,0.903,0.824,0.862
SEIR015_sl250_mr025_nv10_20,0.909,0.303,0.455,0.714,0.758,0.735,0.688,0.667,0.677,0.73,0.818,0.771
SEIR01_sl250_mr025_nv10_1,0.882,0.333,0.484,0.75,0.667,0.706,0.763,0.644,0.699,0.763,0.644,0.699
SIR01_sl250_mr15_nv10_1,1,0.294,0.455,0.692,0.529,0.6,0.667,0.471,0.552,0.667,0.471,0.552
SEIR01_sl250_mr025_nv10_4,0.857,0.429,0.571,0.857,0.857,0.857,0.8,0.857,0.828,0.857,0.857,0.857
SIR01_sl250_mr15_nv10_17,1,0.429,0.6,0.875,1,0.933,0.875,1,0.933,0.75,0.857,0.8
SEIR015_sl250_mr025_nv10_19,0.9,0.243,0.383,0.611,0.297,0.4,0.619,0.351,0.448,0.65,0.351,0.456
SIR01_sl250_mr15_nv10_5,1,0.222,0.364,0.571,0.444,0.5,0.5,0.444,0.471,0.714,0.556,0.625
SEIR015_sl250_mr025_nv10_13,1,0.5,0.667,0.846,0.688,0.759,0.818,0.562,0.667,0.846,0.688,0.759
SIR003_sl250_mr05_nv10_1,0.857,0.375,0.522,0.739,0.531,0.618,0.739,0.531,0.618,0.708,0.531,0.607
SIR003_sl250_mr05_nv10_3,0.9,0.409,0.563,0.81,0.773,0.791,0.8,0.727,0.762,0.818,0.818,0.818
SIR003_sl250_mr05_nv10_12,1,0.385,0.556,0.692,0.692,0.692,0.692,0.692,0.692,0.6,0.692,0.643
SIR01_sl250_mr15_nv10_8,0.8,0.444,0.571,0.714,0.556,0.625,0.833,0.556,0.667,0.75,0.667,0.706
SEIR015_sl250_mr025_nv10_15,0.812,0.265,0.4,0.7,0.571,0.629,0.61,0.51,0.556,0.644,0.592,0.617
SEIR015_sl250_mr025_nv10_17,0,0,0,0,0,0,0,0,0,0,0,0
SIR003_sl250_mr05_nv10_20,0.737,0.341,0.467,0.697,0.561,0.622,0.69,0.488,0.571,0.656,0.512,0.575
SEIR01_sl250_mr025_nv10_19,1,0.667,0.8,0.917,0.917,0.917,0.9,0.75,0.818,1,0.917,0.957
SEIR015_sl250_mr025_nv10_7,1,0.25,0.4,1,0.375,0.545,0.667,0.25,0.364,1,0.25,0.4
SIR003_sl250_mr05_nv10_6,0.929,0.394,0.553,0.913,0.636,0.75,0.857,0.545,0.667,0.875,0.636,0.737
SEIR01_sl250_mr025_nv10_18,1,0.344,0.512,0.774,0.75,0.762,0.733,0.688,0.71,0.758,0.781,0.769
SIR01_sl250_mr15_nv10_10,1,0.375,0.545,0.688,0.589,0.635,0.727,0.571,0.64,0.688,0.589,0.635
SIR003_sl250_mr05_nv10_13,0,0,0,0,0,0,0,0,0,0.25,0.143,0.182
SEIR015_sl250_mr025_nv10_1,0.667,0.118,0.2,0.933,0.824,0.875,0.923,0.706,0.8,0.824,0.824,0.824
SIR01_sl250_mr15_nv10_11,1,0.292,0.452,0.625,0.417,0.5,0.667,0.417,0.513,0.625,0.417,0.5
SEIR01_sl250_mr025_nv10_7,0.8,0.286,0.421,0.75,0.857,0.8,0.706,0.857,0.774,0.75,0.857,0.8
SEIR01_sl250_mr025_nv10_6,0.8,0.182,0.296,0.609,0.636,0.622,0.652,0.682,0.667,0.652,0.682,0.667
SEIR01_sl250_mr025_nv10_3,1,0.556,0.714,0.76,0.704,0.731,0.741,0.741,0.741,0.786,0.815,0.8
SIR003_sl250_mr05_nv10_17,0.857,0.267,0.407,0.744,0.644,0.69,0.711,0.6,0.651,0.65,0.578,0.612
SEIR01_sl250_mr025_nv10_13,0,0,0,0.333,0.333,0.333,0.333,0.333,0.333,0.4,0.333,0.364
SEIR01_sl250_mr025_nv10_15,0,0,0,0.75,0.857,0.8,0.667,0.857,0.75,0.625,0.714,0.667
SIR01_sl250_mr15_nv10_13,1,0.231,0.375,0.667,0.615,0.64,0.636,0.538,0.583,0.692,0.692,0.692
SEIR01_sl250_mr025_nv10_12,0.952,0.465,0.625,0.783,0.837,0.809,0.75,0.837,0.791,0.822,0.86,0.841
SIR01_sl250_mr15_nv10_7,0.9,0.22,0.353,0.643,0.439,0.522,0.696,0.39,0.5,0.654,0.415,0.507
SIR003_sl250_mr05_nv10_15,1,0.5,0.667,0.857,0.75,0.8,0.875,0.875,0.875,0.875,0.875,0.875
SIR003_sl250_mr05_nv10_2,1,0.429,0.6,0.923,0.857,0.889,0.833,0.714,0.769,0.917,0.786,0.846
SIR003_sl250_mr05_nv10_9,1,0.111,0.2,0.556,0.556,0.556,0.6,0.667,0.632,0.556,0.556,0.556
SEIR015_sl250_mr025_nv10_11,0.8,0.235,0.364,0.64,0.471,0.542,0.654,0.5,0.567,0.613,0.559,0.585
SIR01_sl250_mr15_nv10_15,1,0.125,0.222,0.333,0.25,0.286,0.333,0.25,0.286,0.333,0.25,0.286
SEIR01_sl250_mr025_nv10_14,0.875,0.457,0.6,0.789,0.652,0.714,0.714,0.543,0.617,0.721,0.674,0.697
SIR01_sl250_mr15_nv10_18,0.5,0.1,0.167,0.565,0.65,0.605,0.545,0.6,0.571,0.524,0.55,0.537
SIR003_sl250_mr05_nv10_18,0.75,0.222,0.343,0.625,0.37,0.465,0.556,0.37,0.444,0.526,0.37,0.435
SIR003_sl250_mr05_nv10_7,0.786,0.239,0.367,0.613,0.413,0.494,0.567,0.37,0.447,0.533,0.348,0.421
SIR01_sl250_mr15_nv10_12,1,0.316,0.48,0.75,0.632,0.686,0.684,0.684,0.684,0.722,0.684,0.703
SEIR01_sl250_mr025_nv10_10,1,0.353,0.522,0.737,0.824,0.778,0.714,0.882,0.789,0.737,0.824,0.778
SIR01_sl250_mr15_nv10_4,0.667,0.333,0.444,0.667,0.5,0.571,0.667,0.5,0.571,0.7,0.583,0.636
SEIR015_sl250_mr025_nv10_8,0.938,0.556,0.698,0.864,0.704,0.776,0.864,0.704,0.776,0.818,0.667,0.735
SEIR01_sl250_mr025_nv10_11,0.667,0.25,0.364,0.688,0.688,0.688,0.667,0.625,0.645,0.625,0.625,0.625
SIR003_sl250_mr05_nv10_5,0.833,0.455,0.588,0.684,0.591,0.634,0.688,0.5,0.579,0.667,0.545,0.6
,0.8045375,0.273925,0.3937625,0.6748125,0.574075,0.6131125,0.6512625,0.55485,0.590975,0.6748,0.587025,0.6181125
