dataset,sharp_prec,sharp_rec,sharp_f1,tnet_prec,tnet_rec,tnet_f1
SEIR015_sl1000_mr0125_nv10_1,0.933,0.959,0.946,0.973,1,0.986
SEIR015_sl1000_mr0125_nv10_10,0.947,0.947,0.947,0.947,0.947,0.947
SEIR015_sl1000_mr0125_nv10_11,0.692,0.692,0.692,0.692,0.692,0.692
SEIR015_sl1000_mr0125_nv10_12,0.857,0.857,0.857,0.857,0.857,0.857
SEIR015_sl1000_mr0125_nv10_13,0.922,0.94,0.931,0.98,0.98,0.98
SEIR015_sl1000_mr0125_nv10_14,0.759,0.846,0.8,0.873,0.923,0.897
SEIR015_sl1000_mr0125_nv10_15,0.696,0.711,0.703,0.933,0.933,0.933
SEIR015_sl1000_mr0125_nv10_16,0.739,0.81,0.773,0.765,0.825,0.794
SEIR015_sl1000_mr0125_nv10_17,0.618,0.808,0.7,0.742,0.885,0.807
SEIR015_sl1000_mr0125_nv10_18,0.7,0.7,0.7,0.8,0.8,0.8
SEIR015_sl1000_mr0125_nv10_19,0.562,0.581,0.571,0.742,0.742,0.742
SEIR015_sl1000_mr0125_nv10_2,0.75,0.75,0.75,0.938,0.938,0.938
SEIR015_sl1000_mr0125_nv10_20,0.795,0.854,0.824,0.841,0.902,0.871
SEIR015_sl1000_mr0125_nv10_3,0.636,0.778,0.7,0.636,0.778,0.7
SEIR015_sl1000_mr0125_nv10_4,0.8,0.8,0.8,0.8,0.8,0.8
SEIR015_sl1000_mr0125_nv10_5,0.902,0.902,0.902,0.902,0.902,0.902
SEIR015_sl1000_mr0125_nv10_6,0.846,0.943,0.892,0.895,0.971,0.932
SEIR015_sl1000_mr0125_nv10_7,0.84,0.926,0.881,0.84,0.926,0.881
SEIR015_sl1000_mr0125_nv10_8,0.81,0.944,0.872,0.857,0.667,0.75
SEIR015_sl1000_mr0125_nv10_9,0.48,0.571,0.522,0.458,0.524,0.489
SEIR015_sl1000_mr025_nv10_1,0.8,0.8,0.8,0.9,0.9,0.9
SEIR015_sl1000_mr025_nv10_10,0.5,0.545,0.522,0.909,0.909,0.909
SEIR015_sl1000_mr025_nv10_11,0.915,0.964,0.939,0.915,0.964,0.939
SEIR015_sl1000_mr025_nv10_12,0.538,0.7,0.609,0.75,0.9,0.818
SEIR015_sl1000_mr025_nv10_13,0.308,0.4,0.348,0.308,0.4,0.348
SEIR015_sl1000_mr025_nv10_14,0.645,0.8,0.714,0.724,0.84,0.778
SEIR015_sl1000_mr025_nv10_15,0.563,0.69,0.62,0.594,0.707,0.646
SEIR015_sl1000_mr025_nv10_16,0.812,0.929,0.867,0.812,0.929,0.867
SEIR015_sl1000_mr025_nv10_17,0.846,0.868,0.857,0.846,0.868,0.857
SEIR015_sl1000_mr025_nv10_18,0.651,0.757,0.7,0.725,0.784,0.753
SEIR015_sl1000_mr025_nv10_19,0.696,0.842,0.762,0.895,0.895,0.895
SEIR015_sl1000_mr025_nv10_2,0.814,0.857,0.835,0.864,0.911,0.887
SEIR015_sl1000_mr025_nv10_20,0.6,0.75,0.667,0.6,0.75,0.667
SEIR015_sl1000_mr025_nv10_3,0.863,0.957,0.907,0.88,0.957,0.917
SEIR015_sl1000_mr025_nv10_4,0.792,0.864,0.826,0.867,0.886,0.876
SEIR015_sl1000_mr025_nv10_5,0.854,0.854,0.854,0.875,0.875,0.875
SEIR015_sl1000_mr025_nv10_6,0.848,0.848,0.848,0.913,0.913,0.913
SEIR015_sl1000_mr025_nv10_7,0.6,0.667,0.632,0.889,0.889,0.889
SEIR015_sl1000_mr025_nv10_8,0.95,0.95,0.95,1,1,1
SEIR015_sl1000_mr025_nv10_9,0.877,0.893,0.885,0.932,0.982,0.957
SEIR015_sl1000_mr025_nv20_1,0.588,0.667,0.625,0.6,0.6,0.6
SEIR015_sl1000_mr025_nv20_10,0.333,0.444,0.381,0.333,0.444,0.381
SEIR015_sl1000_mr025_nv20_11,0.857,0.923,0.889,0.857,0.923,0.889
SEIR015_sl1000_mr025_nv20_12,0.542,0.65,0.591,0.542,0.65,0.591
SEIR015_sl1000_mr025_nv20_13,0.692,1,0.818,0.692,1,0.818
SEIR015_sl1000_mr025_nv20_14,0.87,0.909,0.889,0.909,0.909,0.909
SEIR015_sl1000_mr025_nv20_15,0.647,0.917,0.759,0.647,0.917,0.759
SEIR015_sl1000_mr025_nv20_16,0.871,0.9,0.885,0.871,0.9,0.885
SEIR015_sl1000_mr025_nv20_17,0.847,0.893,0.87,0.897,0.929,0.912
SEIR015_sl1000_mr025_nv20_18,0.58,0.744,0.652,0.636,0.718,0.675
SEIR015_sl1000_mr025_nv20_19,0.429,0.545,0.48,0.429,0.545,0.48
SEIR015_sl1000_mr025_nv20_2,0.786,0.88,0.83,0.815,0.88,0.846
SEIR015_sl1000_mr025_nv20_20,0.632,0.632,0.632,0.684,0.684,0.684
SEIR015_sl1000_mr025_nv20_3,0.697,0.803,0.746,0.688,0.803,0.741
SEIR015_sl1000_mr025_nv20_4,0.882,0.909,0.896,0.882,0.909,0.896
SEIR015_sl1000_mr025_nv20_5,0.949,0.949,0.949,0.949,0.949,0.949
SEIR015_sl1000_mr025_nv20_6,0.795,0.921,0.854,0.773,0.895,0.829
SEIR015_sl1000_mr025_nv20_7,0.861,0.861,0.861,0.944,0.944,0.944
SEIR015_sl1000_mr025_nv20_8,0.637,0.761,0.694,0.63,0.761,0.689
SEIR015_sl1000_mr025_nv20_9,0.737,0.778,0.757,0.737,0.778,0.757
SEIR015_sl1000_mr025_nv5_1,0.533,0.571,0.552,1,0.643,0.783
SEIR015_sl1000_mr025_nv5_10,0.615,0.667,0.64,0.625,0.694,0.658
SEIR015_sl1000_mr025_nv5_11,0.75,0.83,0.788,0.83,0.83,0.83
SEIR015_sl1000_mr025_nv5_12,0.583,0.636,0.609,0.636,0.636,0.636
SEIR015_sl1000_mr025_nv5_13,0.968,0.968,0.968,1,0.839,0.912
SEIR015_sl1000_mr025_nv5_14,0.667,0.8,0.727,0.667,0.8,0.727
SEIR015_sl1000_mr025_nv5_15,0.643,0.692,0.667,0.812,0.862,0.836
SEIR015_sl1000_mr025_nv5_16,0.741,0.769,0.755,1,1,1
SEIR015_sl1000_mr025_nv5_17,0.791,0.829,0.81,0.86,0.902,0.881
SEIR015_sl1000_mr025_nv5_18,0.579,0.6,0.589,0.702,0.727,0.714
SEIR015_sl1000_mr025_nv5_19,0.278,0.455,0.345,0.333,0.455,0.385
SEIR015_sl1000_mr025_nv5_2,0.667,0.667,0.667,0.8,0.889,0.842
SEIR015_sl1000_mr025_nv5_20,0.674,0.707,0.69,0.721,0.756,0.738
SEIR015_sl1000_mr025_nv5_3,0.483,0.519,0.5,0.714,0.556,0.625
SEIR015_sl1000_mr025_nv5_4,0.736,0.78,0.757,0.86,0.86,0.86
SEIR015_sl1000_mr025_nv5_5,0.565,0.619,0.591,0.652,0.714,0.682
