dataset,sharp_prec,sharp_rec,sharp_f1,tnet_prec,tnet_rec,tnet_f1,tnet_bias_prec,tnet_bias_rec,tnet_bias_f1
SIR01_sl1000_mr15_nv5_19,0.733,0.524,0.611,0.75,0.571,0.649,0.619,0.619,0.619
SEIR015_sl250_mr025_nv10_2,0.296,0.364,0.327,0.318,0.318,0.318,0.25,0.318,0.28
SEIR015_sl1000_mr025_nv10_3,0.841,0.804,0.822,0.894,0.913,0.903,0.88,0.957,0.917
SIR01_sl1000_mr15_nv5_17,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875
SEIR01_sl1000_mr025_nv5_14,0.905,0.95,0.927,0.905,0.95,0.927,0.905,0.95,0.927
SIR01_sl500_mr15_nv10_15,0.625,0.667,0.645,0.645,0.667,0.656,0.625,0.667,0.645
SEIR01_sl1000_mr0125_nv10_9,0.933,0.894,0.913,0.913,0.894,0.903,0.917,0.936,0.926
SEIR015_sl1000_mr025_nv20_12,0.545,0.6,0.571,0.542,0.65,0.591,0.542,0.65,0.591
SIR01_sl1000_mr15_nv20_5,0.75,0.6,0.667,0.75,0.6,0.667,0.7,0.7,0.7
SIR003_sl1000_mr05_nv10_17,0.75,0.429,0.545,0.75,0.429,0.545,0.75,0.429,0.545
SIR01_sl1000_mr15_nv10_6,0.778,1,0.875,1,1,1,0.714,0.714,0.714
SEIR015_sl250_mr025_nv10_3,0.579,0.733,0.647,0.55,0.733,0.629,0.611,0.733,0.667
SEIR015_sl500_mr025_nv10_2,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625
SEIR015_sl1000_mr0125_nv10_7,0.708,0.75,0.729,0.82,0.735,0.775,0.84,0.926,0.881
SIR003_sl1000_mr1_nv10_20,0.839,0.681,0.752,0.804,0.652,0.72,0.731,0.71,0.721
SIR01_sl1000_mr15_nv5_5,0.667,0.545,0.6,0.667,0.545,0.6,0.636,0.636,0.636
SIR003_sl250_mr05_nv10_16,0.538,0.636,0.583,0.538,0.636,0.583,0.5,0.545,0.522
SIR003_sl1000_mr05_nv5_17,0.75,0.562,0.643,0.75,0.562,0.643,0.646,0.646,0.646
SIR01_sl500_mr15_nv10_7,0.875,1,0.933,0.875,1,0.933,0.75,0.857,0.8
SIR01_sl1000_mr075_nv10_18,0.833,0.909,0.87,0.833,0.909,0.87,0.818,0.818,0.818
SIR01_sl1000_mr3_nv10_14,0.88,0.786,0.83,0.88,0.786,0.83,0.88,0.786,0.83
SIR01_sl500_mr15_nv10_20,0.909,0.8,0.851,0.909,0.8,0.851,0.84,0.84,0.84
SEIR015_sl1000_mr0125_nv10_15,0.889,0.533,0.667,0.893,0.556,0.685,0.933,0.933,0.933
SIR003_sl1000_mr025_nv10_7,0.643,0.562,0.6,0.643,0.562,0.6,0.625,0.625,0.625
SEIR015_sl250_mr025_nv10_9,0.526,0.667,0.588,0.688,0.733,0.71,0.737,0.933,0.824
SEIR015_sl250_mr025_nv10_10,0.416,0.712,0.525,0.588,0.678,0.63,0.531,0.729,0.614
SEIR01_sl1000_mr025_nv10_11,0.882,0.857,0.87,0.882,0.857,0.87,0.865,0.914,0.889
SIR01_sl1000_mr075_nv10_17,0.821,0.648,0.724,0.831,0.69,0.754,0.75,0.761,0.755
SEIR01_sl1000_mr025_nv10_13,0.812,0.65,0.722,0.812,0.65,0.722,0.857,0.9,0.878
SIR01_sl1000_mr15_nv20_12,0.889,0.533,0.667,0.889,0.533,0.667,0.6,0.6,0.6
SEIR01_sl500_mr025_nv10_10,0.733,0.786,0.759,0.786,0.786,0.786,0.688,0.786,0.733
SIR003_sl1000_mr05_nv5_18,0.812,0.812,0.812,0.812,0.812,0.812,0.812,0.812,0.812
SIR01_sl500_mr15_nv10_14,0.724,0.538,0.618,0.759,0.564,0.647,0.629,0.564,0.595
SIR003_sl500_mr05_nv10_6,0.833,0.714,0.769,0.789,0.714,0.75,0.714,0.714,0.714
SIR01_sl1000_mr075_nv10_7,0.909,0.833,0.87,0.909,0.833,0.87,0.917,0.917,0.917
SEIR01_sl1000_mr05_nv10_20,0.917,0.846,0.88,0.918,0.865,0.891,0.87,0.904,0.887
SIR003_sl250_mr05_nv10_4,0.769,0.833,0.8,0.769,0.833,0.8,0.769,0.833,0.8
SEIR01_sl500_mr025_nv10_3,0.864,0.905,0.884,0.864,0.905,0.884,0.792,0.905,0.844
SIR003_sl1000_mr05_nv5_19,0.714,0.588,0.645,0.655,0.559,0.603,0.543,0.559,0.551
SEIR015_sl1000_mr025_nv20_4,0.833,0.606,0.702,0.833,0.606,0.702,0.882,0.909,0.896
SIR003_sl1000_mr025_nv10_5,0.75,0.857,0.8,0.714,0.714,0.714,0.714,0.714,0.714
SEIR015_sl250_mr025_nv10_5,0.7,0.875,0.778,0.75,0.75,0.75,0.75,0.75,0.75
SIR01_sl500_mr15_nv10_18,0.684,0.52,0.591,0.7,0.56,0.622,0.56,0.56,0.56
SIR01_sl1000_mr3_nv10_5,0.826,0.679,0.745,0.826,0.679,0.745,0.75,0.75,0.75
SEIR015_sl1000_mr0125_nv10_19,0.68,0.548,0.607,0.762,0.516,0.615,0.742,0.742,0.742
SIR003_sl500_mr05_nv10_10,0.71,0.564,0.629,0.741,0.513,0.606,0.647,0.564,0.603
SEIR015_sl1000_mr025_nv20_11,0.769,0.769,0.769,0.833,0.769,0.8,0.857,0.923,0.889
SEIR015_sl250_mr025_nv10_6,0.5,0.571,0.533,0.537,0.629,0.579,0.524,0.629,0.571
SIR003_sl1000_mr05_nv20_3,0.889,0.615,0.727,0.8,0.615,0.696,0.692,0.692,0.692
SEIR015_sl1000_mr025_nv20_1,0.75,0.6,0.667,0.588,0.667,0.625,0.6,0.6,0.6
SEIR015_sl1000_mr0125_nv10_3,0.778,0.778,0.778,0.7,0.778,0.737,0.636,0.778,0.7
SIR01_sl1000_mr15_nv5_12,0.647,0.478,0.55,0.611,0.478,0.537,0.565,0.565,0.565
SIR003_sl1000_mr05_nv10_3,0.875,0.7,0.778,0.875,0.7,0.778,0.8,0.8,0.8
SEIR01_sl1000_mr025_nv10_17,0.857,0.667,0.75,0.833,0.667,0.741,0.778,0.778,0.778
SIR01_sl1000_mr15_nv10_20,0.778,0.778,0.778,0.7,0.778,0.737,0.778,0.778,0.778
SIR003_sl500_mr05_nv10_12,0.733,0.846,0.786,0.739,0.654,0.694,0.655,0.731,0.691
SEIR015_sl1000_mr025_nv5_14,0.688,0.733,0.71,0.6,0.6,0.6,0.667,0.8,0.727
SIR01_sl1000_mr3_nv10_13,0.852,0.639,0.73,0.88,0.611,0.721,0.75,0.667,0.706
SEIR015_sl1000_mr05_nv10_15,0.556,0.455,0.5,0.636,0.636,0.636,0.75,0.818,0.783
SEIR015_sl250_mr025_nv10_4,0.643,0.72,0.679,0.643,0.72,0.679,0.643,0.72,0.679
SEIR015_sl1000_mr025_nv20_6,0.66,0.868,0.75,0.78,0.842,0.81,0.773,0.895,0.829
SEIR015_sl1000_mr05_nv10_14,0.424,0.609,0.5,0.758,0.543,0.633,0.824,0.913,0.866
