dataset,phylo_prec,phylo_rec,phylo_f1,sharp_prec,sharp_rec,sharp_f1,tnet_prec,tnet_rec,tnet_f1,tnet_bias_prec,tnet_bias_rec,tnet_bias_f1
SIR01_sl1000_mr15_nv5_19,1,0.333,0.5,0.524,0.524,0.524,0.571,0.571,0.571,0.619,0.619,0.619
SEIR015_sl250_mr025_nv10_2,0.263,0.227,0.244,0.188,0.273,0.222,0.2,0.318,0.246,0.371,0.591,0.456
SEIR015_sl1000_mr025_nv10_3,0.848,0.609,0.709,0.787,0.804,0.796,0.812,0.848,0.83,0.88,0.957,0.917
SIR01_sl1000_mr15_nv5_17,0.857,0.75,0.8,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875
SEIR01_sl1000_mr025_nv5_14,0.867,0.65,0.743,0.762,0.8,0.78,0.857,0.9,0.878,0.905,0.95,0.927
SIR01_sl500_mr15_nv10_15,0.833,0.5,0.625,0.688,0.733,0.71,0.606,0.667,0.635,0.625,0.667,0.645
SEIR01_sl1000_mr0125_nv10_9,0.968,0.638,0.769,0.915,0.915,0.915,0.854,0.872,0.863,0.917,0.936,0.926
SEIR015_sl1000_mr025_nv20_12,0.55,0.55,0.55,0.522,0.6,0.558,0.462,0.6,0.522,0.542,0.65,0.591
SIR01_sl1000_mr15_nv20_5,1,0.5,0.667,0.6,0.6,0.6,0.9,0.9,0.9,0.7,0.7,0.7
SIR003_sl1000_mr05_nv10_17,0.833,0.357,0.5,0.5,0.5,0.5,0.429,0.429,0.429,0.429,0.429,0.429
SIR01_sl1000_mr15_nv10_6,1,0.429,0.6,0.571,0.571,0.571,1,1,1,0.714,0.714,0.714
SEIR015_sl250_mr025_nv10_3,0.462,0.4,0.429,0.556,0.667,0.606,0.409,0.6,0.486,0.611,0.733,0.667
SEIR015_sl500_mr025_nv10_2,0.5,0.25,0.333,0.5,0.5,0.5,0.5,0.5,0.5,0.625,0.625,0.625
SEIR015_sl1000_mr0125_nv10_7,0.816,0.456,0.585,0.635,0.691,0.662,0.658,0.735,0.694,0.84,0.926,0.881
SIR003_sl1000_mr1_nv10_20,0.923,0.522,0.667,0.696,0.696,0.696,0.704,0.725,0.714,0.714,0.725,0.719
SIR01_sl1000_mr15_nv5_5,1,0.273,0.429,0.545,0.545,0.545,0.545,0.545,0.545,0.636,0.636,0.636
SIR003_sl250_mr05_nv10_16,0.75,0.545,0.632,0.545,0.545,0.545,0.538,0.636,0.583,0.583,0.636,0.609
SIR003_sl1000_mr05_nv5_17,1,0.375,0.545,0.625,0.625,0.625,0.75,0.75,0.75,0.646,0.646,0.646
SIR01_sl500_mr15_nv10_7,0.667,0.571,0.615,0.875,1,0.933,0.75,0.857,0.8,0.75,0.857,0.8
SIR01_sl1000_mr075_nv10_18,1,0.818,0.9,0.909,0.909,0.909,0.909,0.909,0.909,0.909,0.909,0.909
SIR01_sl1000_mr3_nv10_14,0.895,0.607,0.723,0.759,0.786,0.772,0.793,0.821,0.807,0.862,0.893,0.877
SIR01_sl500_mr15_nv10_20,0.867,0.52,0.65,0.72,0.72,0.72,0.72,0.72,0.72,0.84,0.84,0.84
SEIR015_sl1000_mr0125_nv10_15,0.8,0.267,0.4,0.533,0.533,0.533,0.467,0.467,0.467,0.933,0.933,0.933
SIR003_sl1000_mr025_nv10_7,0.75,0.375,0.5,0.562,0.562,0.562,0.5,0.5,0.5,0.562,0.562,0.562
SEIR015_sl250_mr025_nv10_9,0.25,0.2,0.222,0.526,0.667,0.588,0.435,0.667,0.526,0.737,0.933,0.824
SEIR015_sl250_mr025_nv10_10,0.521,0.424,0.467,0.481,0.661,0.557,0.43,0.627,0.51,0.562,0.763,0.647
SEIR01_sl1000_mr025_nv10_11,0.923,0.686,0.787,0.889,0.914,0.901,0.838,0.886,0.861,0.919,0.971,0.944
SIR01_sl1000_mr075_nv10_17,0.969,0.437,0.602,0.676,0.676,0.676,0.708,0.718,0.713,0.75,0.761,0.755
SEIR01_sl1000_mr025_nv10_13,0.667,0.2,0.308,0.476,0.5,0.488,0.476,0.5,0.488,0.857,0.9,0.878
SIR01_sl1000_mr15_nv20_12,1,0.467,0.636,0.533,0.533,0.533,0.667,0.667,0.667,0.6,0.6,0.6
SEIR01_sl500_mr025_nv10_10,0.875,0.5,0.636,0.667,0.714,0.69,0.688,0.786,0.733,0.688,0.786,0.733
SIR003_sl1000_mr05_nv5_18,1,0.438,0.609,0.812,0.812,0.812,0.688,0.688,0.688,0.812,0.812,0.812
SIR01_sl500_mr15_nv10_14,0.826,0.487,0.613,0.641,0.641,0.641,0.641,0.641,0.641,0.564,0.564,0.564
SIR003_sl500_mr05_nv10_6,0.909,0.476,0.625,0.762,0.762,0.762,0.667,0.667,0.667,0.714,0.714,0.714
SIR01_sl1000_mr075_nv10_7,1,0.625,0.769,0.792,0.792,0.792,0.792,0.792,0.792,0.917,0.917,0.917
SEIR01_sl1000_mr05_nv10_20,0.902,0.712,0.796,0.83,0.846,0.838,0.811,0.827,0.819,0.87,0.904,0.887
SIR003_sl250_mr05_nv10_4,0.889,0.667,0.762,0.769,0.833,0.8,0.692,0.75,0.72,0.769,0.833,0.8
SEIR01_sl500_mr025_nv10_3,0.895,0.81,0.85,0.864,0.905,0.884,0.75,0.857,0.8,0.792,0.905,0.844
SIR003_sl1000_mr05_nv5_19,0.812,0.382,0.52,0.676,0.676,0.676,0.472,0.5,0.486,0.543,0.559,0.551
SEIR015_sl1000_mr025_nv20_4,0.778,0.424,0.549,0.618,0.636,0.627,0.647,0.667,0.657,0.882,0.909,0.896
SIR003_sl1000_mr025_nv10_5,0.833,0.714,0.769,0.857,0.857,0.857,0.857,0.857,0.857,0.714,0.714,0.714
SEIR015_sl250_mr025_nv10_5,0.8,0.5,0.615,0.875,0.875,0.875,0.75,0.75,0.75,0.75,0.75,0.75
SIR01_sl500_mr15_nv10_18,0.8,0.48,0.6,0.68,0.68,0.68,0.577,0.6,0.588,0.56,0.56,0.56
SIR01_sl1000_mr3_nv10_5,0.938,0.536,0.682,0.786,0.786,0.786,0.679,0.679,0.679,0.75,0.75,0.75
SEIR015_sl1000_mr0125_nv10_19,0.833,0.484,0.612,0.581,0.581,0.581,0.531,0.548,0.54,0.742,0.742,0.742
SIR003_sl500_mr05_nv10_10,0.875,0.359,0.509,0.538,0.538,0.538,0.537,0.564,0.55,0.561,0.59,0.575
SEIR015_sl1000_mr025_nv20_11,0.889,0.615,0.727,0.714,0.769,0.741,0.786,0.846,0.815,0.857,0.923,0.889
SEIR015_sl250_mr025_nv10_6,0.517,0.429,0.469,0.475,0.543,0.507,0.452,0.543,0.494,0.524,0.629,0.571
SIR003_sl1000_mr05_nv20_3,1,0.538,0.7,1,1,1,0.769,0.769,0.769,0.692,0.692,0.692
SEIR015_sl1000_mr025_nv20_1,0.556,0.333,0.417,0.438,0.467,0.452,0.474,0.6,0.529,0.824,0.933,0.875
SEIR015_sl1000_mr0125_nv10_3,0.714,0.556,0.625,0.636,0.778,0.7,0.727,0.889,0.8,0.727,0.889,0.8
SIR01_sl1000_mr15_nv5_12,0.833,0.435,0.571,0.478,0.478,0.478,0.417,0.435,0.426,0.565,0.565,0.565
