dataset,10,20,30,40,50,60,70,80,90,100
SEIR015_sl1000_mr0125_nv10_1,0.804,0.873,0.934,0.94,0.938,0.922,0.848,0.831,0.812,0.812
SEIR015_sl1000_mr0125_nv10_10,0.837,0.878,0.923,0.947,0.947,0.889,0.889,0.857,0.857,0.857
SEIR015_sl1000_mr0125_nv10_11,0.6,0.667,0.667,0.692,0.692,0.692,0.75,0.75,0.783,0.783
SEIR015_sl1000_mr0125_nv10_12,0.774,0.774,0.828,0.857,0.857,0.857,0.815,0.72,0.72,0.72
SEIR015_sl1000_mr0125_nv10_13,0.867,0.899,0.951,0.961,0.96,0.938,0.926,0.903,0.854,0.854
SEIR015_sl1000_mr0125_nv10_14,0.797,0.845,0.845,0.855,0.852,0.86,0.84,0.84,0.809,0.809
SEIR015_sl1000_mr0125_nv10_15,0.579,0.627,0.688,0.729,0.747,0.734,0.676,0.658,0.667,0.667
SEIR015_sl1000_mr0125_nv10_16,0.77,0.77,0.77,0.782,0.773,0.779,0.769,0.769,0.769,0.769
SEIR015_sl1000_mr0125_nv10_17,0.708,0.742,0.746,0.75,0.75,0.75,0.727,0.741,0.692,0.692
SEIR015_sl1000_mr0125_nv10_18,0.762,0.762,0.762,0.762,0.8,0.737,0.737,0.737,0.737,0.737
SEIR015_sl1000_mr0125_nv10_19,0.482,0.514,0.567,0.644,0.655,0.632,0.643,0.679,0.627,0.64
SEIR015_sl1000_mr0125_nv10_2,0.737,0.743,0.812,0.812,0.774,0.774,0.774,0.828,0.741,0.741
SEIR015_sl1000_mr0125_nv10_20,0.758,0.805,0.814,0.824,0.824,0.824,0.875,0.875,0.883,0.883
SEIR015_sl1000_mr0125_nv10_3,0.667,0.727,0.762,0.762,0.737,0.778,0.778,0.778,0.778,0.778
SEIR015_sl1000_mr0125_nv10_4,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
SEIR015_sl1000_mr0125_nv10_5,0.622,0.687,0.769,0.768,0.733,0.617,0.564,0.545,0.486,0.466
SEIR015_sl1000_mr0125_nv10_6,0.733,0.815,0.868,0.865,0.877,0.829,0.812,0.794,0.7,0.7
SEIR015_sl1000_mr0125_nv10_7,0.768,0.797,0.821,0.841,0.845,0.847,0.859,0.824,0.768,0.768
SEIR015_sl1000_mr0125_nv10_8,0.596,0.682,0.7,0.718,0.737,0.667,0.688,0.571,0.538,0.538
SEIR015_sl1000_mr0125_nv10_9,0.4,0.421,0.453,0.468,0.439,0.462,0.486,0.457,0.457,0.485
SEIR015_sl1000_mr025_nv10_1,0.857,0.857,0.857,0.857,0.9,0.842,0.842,0.842,0.842,0.842
SEIR015_sl1000_mr025_nv10_10,0.741,0.833,0.909,0.909,0.909,0.909,0.909,0.8,0.588,0.588
SEIR015_sl1000_mr025_nv10_11,0.788,0.837,0.885,0.915,0.911,0.899,0.824,0.776,0.75,0.75
SEIR015_sl1000_mr025_nv10_12,0.714,0.769,0.8,0.75,0.783,0.762,0.762,0.8,0.737,0.737
SEIR015_sl1000_mr025_nv10_13,0.32,0.32,0.333,0.333,0.333,0.348,0.348,0.348,0.364,0.364
SEIR015_sl1000_mr025_nv10_14,0.746,0.746,0.772,0.727,0.727,0.741,0.769,0.694,0.694,0.667
SEIR015_sl1000_mr025_nv10_15,0.562,0.627,0.642,0.672,0.655,0.632,0.607,0.542,0.485,0.49
SEIR015_sl1000_mr025_nv10_16,0.788,0.788,0.867,0.867,0.867,0.867,0.867,0.741,0.741,0.741
SEIR015_sl1000_mr025_nv10_17,0.759,0.795,0.81,0.821,0.831,0.795,0.778,0.778,0.743,0.743
SEIR015_sl1000_mr025_nv10_18,0.681,0.705,0.714,0.725,0.711,0.72,0.714,0.725,0.735,0.735
SEIR015_sl1000_mr025_nv10_19,0.773,0.872,0.872,0.872,0.872,0.872,0.895,0.895,0.8,0.8
SEIR015_sl1000_mr025_nv10_2,0.726,0.762,0.828,0.817,0.817,0.817,0.759,0.712,0.7,0.687
SEIR015_sl1000_mr025_nv10_20,0.727,0.6,0.667,0.667,0.667,0.667,0.667,0.588,0.667,0.667
SEIR015_sl1000_mr025_nv10_3,0.893,0.893,0.958,0.968,0.968,0.946,0.946,0.911,0.886,0.886
SEIR015_sl1000_mr025_nv10_4,0.755,0.755,0.804,0.839,0.809,0.828,0.814,0.819,0.79,0.79
SEIR015_sl1000_mr025_nv10_5,0.785,0.824,0.84,0.84,0.866,0.86,0.848,0.822,0.805,0.805
SEIR015_sl1000_mr025_nv10_6,0.784,0.821,0.839,0.839,0.826,0.835,0.835,0.809,0.78,0.78
SEIR015_sl1000_mr025_nv10_7,0.778,0.778,0.778,0.778,0.778,0.778,0.778,0.778,0.778,0.778
SEIR015_sl1000_mr025_nv10_8,0.889,0.952,0.952,0.976,0.95,0.974,0.919,0.857,0.857,0.857
SEIR015_sl1000_mr025_nv10_9,0.825,0.852,0.864,0.87,0.885,0.883,0.852,0.846,0.846,0.846
SEIR015_sl1000_mr025_nv20_1,0.634,0.556,0.625,0.645,0.667,0.667,0.621,0.692,0.692,0.692
SEIR015_sl1000_mr025_nv20_10,0.583,0.583,0.583,0.609,0.476,0.476,0.444,0.471,0.471,0.471
SEIR015_sl1000_mr025_nv20_11,0.828,0.828,0.889,0.889,0.889,0.889,0.889,0.8,0.8,0.8
SEIR015_sl1000_mr025_nv20_12,0.473,0.553,0.565,0.578,0.591,0.605,0.605,0.605,0.619,0.703
SEIR015_sl1000_mr025_nv20_13,0.72,0.783,0.818,0.818,0.818,0.818,0.762,0.762,0.7,0.7
SEIR015_sl1000_mr025_nv20_14,0.833,0.87,0.909,0.909,0.909,0.909,0.909,0.909,0.8,0.8
SEIR015_sl1000_mr025_nv20_15,0.611,0.638,0.677,0.724,0.655,0.655,0.706,0.735,0.735,0.735
SEIR015_sl1000_mr025_nv20_16,0.857,0.857,0.885,0.885,0.885,0.885,0.885,0.847,0.847,0.847
SEIR015_sl1000_mr025_nv20_17,0.832,0.836,0.857,0.864,0.867,0.857,0.847,0.847,0.822,0.822
SEIR015_sl1000_mr025_nv20_18,0.564,0.574,0.63,0.644,0.659,0.667,0.659,0.659,0.667,0.667
SEIR015_sl1000_mr025_nv20_19,0.462,0.462,0.462,0.462,0.48,0.5,0.5,0.5,0.5,0.5
SEIR015_sl1000_mr025_nv20_2,0.8,0.846,0.846,0.846,0.846,0.846,0.846,0.846,0.898,0.898
SEIR015_sl1000_mr025_nv20_20,0.636,0.667,0.667,0.632,0.649,0.667,0.667,0.667,0.588,0.588
SEIR015_sl1000_mr025_nv20_3,0.564,0.613,0.645,0.701,0.716,0.713,0.709,0.688,0.667,0.667
SEIR015_sl1000_mr025_nv20_4,0.759,0.789,0.857,0.896,0.896,0.896,0.844,0.746,0.679,0.655
SEIR015_sl1000_mr025_nv20_5,0.902,0.902,0.949,0.949,0.949,0.949,0.949,0.892,0.892,0.892
SEIR015_sl1000_mr025_nv20_6,0.804,0.822,0.854,0.854,0.854,0.835,0.835,0.767,0.767,0.767
SEIR015_sl1000_mr025_nv20_7,0.829,0.88,0.88,0.877,0.886,0.87,0.853,0.853,0.892,0.892
SEIR015_sl1000_mr025_nv20_8,0.59,0.618,0.637,0.65,0.676,0.7,0.706,0.706,0.713,0.709
SEIR015_sl1000_mr025_nv20_9,0.651,0.718,0.757,0.757,0.757,0.757,0.757,0.757,0.645,0.645
SEIR015_sl1000_mr025_nv5_1,0.545,0.571,0.645,0.643,0.72,0.75,0.696,0.636,0.636,0.636
SEIR015_sl1000_mr025_nv5_10,0.66,0.674,0.649,0.667,0.667,0.647,0.636,0.677,0.677,0.677
SEIR015_sl1000_mr025_nv5_11,0.656,0.713,0.788,0.788,0.796,0.778,0.721,0.723,0.675,0.658
SEIR015_sl1000_mr025_nv5_12,0.437,0.5,0.583,0.5,0.421,0.421,0.333,0.333,0.333,0.333
SEIR015_sl1000_mr025_nv5_13,0.741,0.789,0.862,0.903,0.9,0.857,0.852,0.83,0.83,0.83
SEIR015_sl1000_mr025_nv5_14,0.649,0.686,0.706,0.706,0.688,0.71,0.71,0.667,0.643,0.643
SEIR015_sl1000_mr025_nv5_15,0.647,0.697,0.699,0.705,0.712,0.715,0.711,0.701,0.667,0.667
SEIR015_sl1000_mr025_nv5_16,0.658,0.75,0.76,0.792,0.792,0.826,0.826,0.826,0.844,0.844
SEIR015_sl1000_mr025_nv5_17,0.796,0.813,0.841,0.857,0.843,0.854,0.846,0.857,0.795,0.795
SEIR015_sl1000_mr025_nv5_18,0.507,0.535,0.571,0.617,0.641,0.646,0.646,0.63,0.636,0.644
SEIR015_sl1000_mr025_nv5_19,0.27,0.303,0.37,0.37,0.385,0.385,0.4,0.526,0.526,0.526
SEIR015_sl1000_mr025_nv5_2,0.75,0.75,0.571,0.706,0.75,0.75,0.8,0.8,0.8,0.8
SEIR015_sl1000_mr025_nv5_20,0.569,0.6,0.659,0.69,0.684,0.667,0.667,0.629,0.567,0.567
SEIR015_sl1000_mr025_nv5_3,0.479,0.5,0.571,0.528,0.549,0.56,0.583,0.578,0.578,0.545
SEIR015_sl1000_mr025_nv5_4,0.599,0.661,0.717,0.733,0.745,0.731,0.719,0.719,0.682,0.682
SEIR015_sl1000_mr025_nv5_5,0.557,0.593,0.565,0.571,0.6,0.632,0.595,0.611,0.485,0.485
SEIR015_sl1000_mr025_nv5_6,0.396,0.403,0.443,0.439,0.433,0.41,0.457,0.44,0.4,0.409
SEIR015_sl1000_mr025_nv5_7,0.733,0.786,0.846,0.846,0.846,0.846,0.8,0.75,0.696,0.696
SEIR015_sl1000_mr025_nv5_8,0.679,0.717,0.76,0.766,0.756,0.773,0.81,0.81,0.703,0.703
SEIR015_sl1000_mr025_nv5_9,0.515,0.515,0.549,0.575,0.602,0.564,0.56,0.575,0.575,0.583
SEIR015_sl1000_mr05_nv10_1,0.578,0.585,0.632,0.611,0.667,0.581,0.571,0.593,0.593,0.593
SEIR015_sl1000_mr05_nv10_10,0.842,0.842,0.842,0.842,0.842,0.842,0.842,0.842,0.842,0.842
SEIR015_sl1000_mr05_nv10_11,0.333,0.353,0.353,0.353,0.353,0.375,0.375,0.375,0.462,0.462
SEIR015_sl1000_mr05_nv10_12,0.842,0.842,0.842,0.842,0.842,0.842,0.842,0.842,0.842,0.842
SEIR015_sl1000_mr05_nv10_13,0.866,0.892,0.928,0.943,0.934,0.924,0.897,0.877,0.867,0.867
SEIR015_sl1000_mr05_nv10_14,0.635,0.678,0.765,0.796,0.839,0.767,0.753,0.707,0.684,0.649
SEIR015_sl1000_mr05_nv10_15,0.643,0.643,0.72,0.727,0.727,0.727,0.7,0.556,0.556,0.556
SEIR015_sl1000_mr05_nv10_16,0.816,0.833,0.857,0.841,0.837,0.837,0.857,0.84,0.81,0.81
SEIR015_sl1000_mr05_nv10_17,0.743,0.785,0.803,0.795,0.816,0.803,0.768,0.759,0.718,0.718
SEIR015_sl1000_mr05_nv10_18,0.711,0.711,0.727,0.727,0.744,0.729,0.714,0.714,0.683,0.683
SEIR015_sl1000_mr05_nv10_19,0.69,0.795,0.817,0.829,0.841,0.806,0.762,0.762,0.714,0.654
SEIR015_sl1000_mr05_nv10_2,0.729,0.796,0.86,0.889,0.875,0.831,0.8,0.767,0.732,0.732
SEIR015_sl1000_mr05_nv10_20,0.345,0.403,0.43,0.46,0.444,0.451,0.312,0.295,0.316,0.321
SEIR015_sl1000_mr05_nv10_3,0.773,0.806,0.831,0.842,0.857,0.873,0.881,0.86,0.86,0.868
SEIR015_sl1000_mr05_nv10_4,0.521,0.521,0.543,0.551,0.551,0.551,0.559,0.492,0.492,0.492
SEIR015_sl1000_mr05_nv10_5,0.75,0.818,0.818,0.818,0.818,0.818,0.818,0.818,0.7,0.7
SEIR015_sl1000_mr05_nv10_6,0.763,0.784,0.892,0.871,0.881,0.821,0.8,0.792,0.792,0.792
SEIR015_sl1000_mr05_nv10_7,0.486,0.514,0.529,0.545,0.545,0.562,0.516,0.467,0.483,0.5
SEIR015_sl1000_mr05_nv10_8,0.697,0.729,0.765,0.785,0.816,0.833,0.8,0.765,0.776,0.758
SEIR015_sl1000_mr05_nv10_9,0.606,0.606,0.625,0.625,0.645,0.667,0.667,0.621,0.621,0.621
SEIR015_sl250_mr025_nv10_1,0.651,0.651,0.651,0.651,0.651,0.651,0.651,0.651,0.651,0.634
SEIR015_sl250_mr025_nv10_10,0.527,0.549,0.566,0.577,0.569,0.576,0.574,0.571,0.513,0.517
SEIR015_sl250_mr025_nv10_11,0.539,0.554,0.582,0.582,0.597,0.56,0.56,0.575,0.567,0.567
SEIR015_sl250_mr025_nv10_12,0.571,0.591,0.618,0.618,0.617,0.635,0.641,0.64,0.633,0.619
SEIR015_sl250_mr025_nv10_13,0.649,0.649,0.686,0.686,0.667,0.645,0.645,0.69,0.69,0.69
SEIR015_sl250_mr025_nv10_14,0.429,0.486,0.5,0.5,0.464,0.5,0.492,0.517,0.491,0.491
SEIR015_sl250_mr025_nv10_15,0.507,0.553,0.613,0.617,0.608,0.62,0.611,0.596,0.549,0.575
SEIR015_sl250_mr025_nv10_16,0.202,0.21,0.189,0.212,0.211,0.222,0.232,0.215,0.164,0.138
SEIR015_sl250_mr025_nv10_17,0.471,0.516,0.516,0.593,0.615,0.545,0.5,0.5,0.5,0.5
SEIR015_sl250_mr025_nv10_18,0.4,0.424,0.345,0.345,0.357,0.357,0.357,0.296,0.296,0.296
SEIR015_sl250_mr025_nv10_19,0.574,0.568,0.607,0.633,0.649,0.649,0.648,0.609,0.627,0.646
SEIR015_sl250_mr025_nv10_2,0.235,0.229,0.267,0.281,0.327,0.333,0.364,0.39,0.308,0.308
SEIR015_sl250_mr025_nv10_20,0.615,0.615,0.615,0.615,0.615,0.615,0.615,0.615,0.615,0.615
SEIR015_sl250_mr025_nv10_3,0.649,0.649,0.649,0.649,0.649,0.667,0.667,0.667,0.667,0.667
SEIR015_sl250_mr025_nv10_4,0.679,0.679,0.679,0.679,0.679,0.679,0.679,0.679,0.679,0.679
SEIR015_sl250_mr025_nv10_5,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
SEIR015_sl250_mr025_nv10_6,0.553,0.553,0.553,0.56,0.56,0.56,0.541,0.541,0.541,0.541
SEIR015_sl250_mr025_nv10_7,0.353,0.353,0.353,0.353,0.353,0.353,0.353,0.353,0.353,0.353
SEIR015_sl250_mr025_nv10_8,0.676,0.758,0.767,0.75,0.792,0.784,0.784,0.784,0.735,0.735
SEIR015_sl250_mr025_nv10_9,0.636,0.757,0.757,0.765,0.765,0.788,0.788,0.788,0.667,0.667
SEIR015_sl500_mr025_nv10_1,0.696,0.762,0.762,0.762,0.762,0.762,0.762,0.762,0.632,0.632
SEIR015_sl500_mr025_nv10_10,0.872,0.872,0.911,0.911,0.886,0.907,0.907,0.854,0.854,0.854
SEIR015_sl500_mr025_nv10_11,0.615,0.615,0.5,0.522,0.421,0.267,0.154,0.182,0.182,0
SEIR015_sl500_mr025_nv10_12,0.588,0.647,0.701,0.708,0.703,0.717,0.724,0.72,0.645,0.667
SEIR015_sl500_mr025_nv10_13,0.6,0.535,0.514,0.522,0.531,0.576,0.607,0.618,0.604,0.604
SEIR015_sl500_mr025_nv10_14,0.762,0.762,0.842,0.842,0.842,0.842,0.842,0.941,0.941,0.941
SEIR015_sl500_mr025_nv10_15,0.726,0.765,0.794,0.763,0.761,0.757,0.778,0.785,0.725,0.733
SEIR015_sl500_mr025_nv10_16,0.611,0.71,0.786,0.8,0.8,0.75,0.75,0.75,0.75,0.696
SEIR015_sl500_mr025_nv10_17,0.686,0.686,0.727,0.727,0.727,0.727,0.727,0.774,0.774,0.774
SEIR015_sl500_mr025_nv10_18,0.657,0.667,0.724,0.714,0.745,0.694,0.578,0.476,0.488,0.45
SEIR015_sl500_mr025_nv10_19,0.833,0.952,0.952,1,1,1,0.947,0.947,0.75,0.75
