dataset,precision,recall,f1
SEIR015_sl1000_mr0125_nv10_1,0.74,0.781,0.76
SEIR015_sl1000_mr0125_nv10_10,0.8,0.842,0.821
SEIR015_sl1000_mr0125_nv10_11,0.692,0.692,0.692
SEIR015_sl1000_mr0125_nv10_12,0.786,0.786,0.786
SEIR015_sl1000_mr0125_nv10_13,0.84,0.84,0.84
SEIR015_sl1000_mr0125_nv10_14,0.778,0.808,0.792
SEIR015_sl1000_mr0125_nv10_15,0.644,0.644,0.644
SEIR015_sl1000_mr0125_nv10_16,0.714,0.794,0.752
SEIR015_sl1000_mr0125_nv10_17,0.625,0.769,0.69
SEIR015_sl1000_mr0125_nv10_18,0.636,0.7,0.667
SEIR015_sl1000_mr0125_nv10_19,0.581,0.581,0.581
SEIR015_sl1000_mr0125_nv10_2,0.75,0.75,0.75
SEIR015_sl1000_mr0125_nv10_20,0.837,0.878,0.857
SEIR015_sl1000_mr0125_nv10_3,0.545,0.667,0.6
SEIR015_sl1000_mr0125_nv10_4,0.7,0.7,0.7
SEIR015_sl1000_mr0125_nv10_5,0.588,0.588,0.588
SEIR015_sl1000_mr0125_nv10_6,0.718,0.8,0.757
SEIR015_sl1000_mr0125_nv10_7,0.64,0.706,0.671
SEIR015_sl1000_mr0125_nv10_8,0.55,0.611,0.579
SEIR015_sl1000_mr0125_nv10_9,0.36,0.429,0.391
SEIR015_sl1000_mr025_nv10_1,0.9,0.9,0.9
SEIR015_sl1000_mr025_nv10_10,0.727,0.727,0.727
SEIR015_sl1000_mr025_nv10_11,0.712,0.75,0.73
SEIR015_sl1000_mr025_nv10_12,0.615,0.8,0.696
SEIR015_sl1000_mr025_nv10_13,0.214,0.3,0.25
SEIR015_sl1000_mr025_nv10_14,0.759,0.88,0.815
SEIR015_sl1000_mr025_nv10_15,0.449,0.534,0.488
SEIR015_sl1000_mr025_nv10_16,0.688,0.786,0.733
SEIR015_sl1000_mr025_nv10_17,0.59,0.605,0.597
SEIR015_sl1000_mr025_nv10_18,0.512,0.595,0.55
SEIR015_sl1000_mr025_nv10_19,0.714,0.789,0.75
SEIR015_sl1000_mr025_nv10_2,0.683,0.732,0.707
