dataset,sharp_prec,sharp_rec,sharp_f1,tnet_prec,tnet_rec,tnet_f1,tnet_min_prec,tnet_min_rec,tnet_min_f1
SIR01_sl1000_mr15_nv5_19,0.765,0.619,0.684,0.667,0.667,0.667,0.667,0.667,0.667
SEIR015_sl250_mr025_nv10_2,0.273,0.136,0.182,0.5,0.273,0.353,0.5,0.273,0.353
SEIR015_sl1000_mr025_nv10_3,0.848,0.848,0.848,0.915,0.935,0.925,0.915,0.935,0.925
SIR01_sl1000_mr15_nv5_17,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875
SEIR01_sl1000_mr025_nv5_14,1,0.9,0.947,1,0.9,0.947,1,0.95,0.974
SIR01_sl500_mr15_nv10_15,0.739,0.567,0.642,0.769,0.667,0.714,0.733,0.733,0.733
SEIR01_sl1000_mr0125_nv10_9,0.978,0.936,0.957,0.938,0.957,0.947,0.938,0.957,0.947
SEIR015_sl1000_mr025_nv20_12,0.857,0.6,0.706,0.923,0.6,0.727,0.857,0.6,0.706
SIR01_sl1000_mr15_nv20_5,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7
SIR003_sl1000_mr05_nv10_17,0.75,0.429,0.545,0.75,0.429,0.545,0.75,0.429,0.545
SIR01_sl1000_mr15_nv10_6,0.778,1,0.875,1,1,1,1,1,1
SEIR015_sl250_mr025_nv10_3,0.333,0.267,0.296,0.222,0.133,0.167,0.222,0.133,0.167
SEIR015_sl500_mr025_nv10_2,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625
SEIR015_sl1000_mr0125_nv10_7,0.897,0.765,0.825,0.984,0.882,0.93,0.984,0.912,0.947
SIR003_sl1000_mr1_nv10_20,0.879,0.739,0.803,0.778,0.71,0.742,0.773,0.739,0.756
SIR01_sl1000_mr15_nv5_5,0.6,0.545,0.571,0.636,0.636,0.636,0.636,0.636,0.636
SIR003_sl250_mr05_nv10_16,0.625,0.455,0.526,0.625,0.455,0.526,0.625,0.455,0.526
SIR003_sl1000_mr05_nv5_17,0.75,0.625,0.682,0.638,0.625,0.632,0.638,0.625,0.632
SIR01_sl500_mr15_nv10_7,0.778,1,0.875,0.75,0.857,0.8,0.75,0.857,0.8
SIR01_sl1000_mr075_nv10_18,0.833,0.909,0.87,0.818,0.818,0.818,0.818,0.818,0.818
SIR01_sl1000_mr3_nv10_14,0.885,0.821,0.852,0.917,0.786,0.846,0.913,0.75,0.824
SIR01_sl500_mr15_nv10_20,0.95,0.76,0.844,0.947,0.72,0.818,0.95,0.76,0.844
SEIR015_sl1000_mr0125_nv10_15,0.781,0.556,0.649,0.932,0.911,0.921,0.932,0.911,0.921
SIR003_sl1000_mr025_nv10_7,0.562,0.562,0.562,0.625,0.625,0.625,0.6,0.562,0.581
SEIR015_sl250_mr025_nv10_9,0.818,0.6,0.692,0.929,0.867,0.897,0.929,0.867,0.897
SEIR015_sl250_mr025_nv10_10,0.697,0.39,0.5,0.833,0.254,0.39,0.778,0.475,0.589
SEIR01_sl1000_mr025_nv10_11,0.889,0.914,0.901,0.889,0.914,0.901,0.889,0.914,0.901
SIR01_sl1000_mr075_nv10_17,0.782,0.606,0.683,0.763,0.634,0.692,0.716,0.676,0.696
SEIR01_sl1000_mr025_nv10_13,0.824,0.7,0.757,0.857,0.9,0.878,0.857,0.9,0.878
SIR01_sl1000_mr15_nv20_12,0.9,0.6,0.72,0.727,0.533,0.615,0.667,0.533,0.593
SEIR01_sl500_mr025_nv10_10,0.733,0.786,0.759,0.733,0.786,0.759,0.733,0.786,0.759
SIR003_sl1000_mr05_nv5_18,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
SIR01_sl500_mr15_nv10_14,0.71,0.564,0.629,0.636,0.538,0.583,0.618,0.538,0.575
SIR003_sl500_mr05_nv10_6,0.65,0.619,0.634,0.571,0.571,0.571,0.545,0.571,0.558
SIR01_sl1000_mr075_nv10_7,0.913,0.875,0.894,0.917,0.917,0.917,0.917,0.917,0.917
SEIR01_sl1000_mr05_nv10_20,0.92,0.885,0.902,0.906,0.923,0.914,0.906,0.923,0.914
SIR003_sl250_mr05_nv10_4,0.667,0.667,0.667,0.667,0.667,0.667,0.667,0.667,0.667
SEIR01_sl500_mr025_nv10_3,0.895,0.81,0.85,0.81,0.81,0.81,0.81,0.81,0.81
SIR003_sl1000_mr05_nv5_19,0.71,0.647,0.677,0.514,0.529,0.522,0.514,0.529,0.522
SEIR015_sl1000_mr025_nv20_4,0.893,0.758,0.82,0.886,0.939,0.912,0.912,0.939,0.925
SIR003_sl1000_mr025_nv10_5,0.75,0.857,0.8,0.75,0.857,0.8,0.75,0.857,0.8
SEIR015_sl250_mr025_nv10_5,0.625,0.625,0.625,0.667,0.75,0.706,0.667,0.75,0.706
SIR01_sl500_mr15_nv10_18,0.8,0.64,0.711,0.778,0.56,0.651,0.824,0.56,0.667
SIR01_sl1000_mr3_nv10_5,0.8,0.714,0.755,0.75,0.75,0.75,0.75,0.75,0.75
SEIR015_sl1000_mr0125_nv10_19,0.905,0.613,0.731,0.875,0.677,0.764,0.95,0.613,0.745
SIR003_sl500_mr05_nv10_10,0.781,0.641,0.704,0.679,0.487,0.567,0.655,0.487,0.559
SEIR015_sl1000_mr025_nv20_11,0.833,0.769,0.8,0.857,0.923,0.889,0.857,0.923,0.889
SEIR015_sl250_mr025_nv10_6,0.6,0.514,0.554,0.657,0.657,0.657,0.667,0.686,0.676
SIR003_sl1000_mr05_nv20_3,1,0.769,0.87,0.769,0.769,0.769,0.917,0.846,0.88
SEIR015_sl1000_mr025_nv20_1,0.857,0.8,0.828,0.933,0.933,0.933,1,0.933,0.966
SEIR015_sl1000_mr0125_nv10_3,0.9,1,0.947,0.889,0.889,0.889,0.889,0.889,0.889
SIR01_sl1000_mr15_nv5_12,0.706,0.522,0.6,0.762,0.696,0.727,0.762,0.696,0.727
SIR003_sl1000_mr05_nv10_3,0.667,0.8,0.727,0.8,0.8,0.8,0.8,0.8,0.8
SEIR01_sl1000_mr025_nv10_17,0.868,0.733,0.795,0.818,0.8,0.809,0.818,0.8,0.809
SIR01_sl1000_mr15_nv10_20,0.7,0.778,0.737,0.778,0.778,0.778,0.778,0.778,0.778
SIR003_sl500_mr05_nv10_12,0.792,0.731,0.76,0.607,0.654,0.63,0.607,0.654,0.63
SEIR015_sl1000_mr025_nv5_14,0.647,0.733,0.688,0.765,0.867,0.812,0.765,0.867,0.812
SIR01_sl1000_mr3_nv10_13,0.929,0.722,0.813,0.71,0.611,0.657,0.657,0.639,0.648
SEIR015_sl1000_mr05_nv10_15,0.875,0.636,0.737,0.833,0.909,0.87,1,0.909,0.952
SEIR015_sl250_mr025_nv10_4,0.769,0.8,0.784,0.8,0.8,0.8,0.8,0.8,0.8
SEIR015_sl1000_mr025_nv20_6,0.816,0.816,0.816,0.842,0.842,0.842,0.842,0.842,0.842
SEIR015_sl1000_mr05_nv10_14,0.771,0.587,0.667,0.9,0.783,0.837,0.857,0.783,0.818
SEIR01_sl250_mr025_nv10_5,0.743,0.634,0.684,0.706,0.585,0.64,0.706,0.585,0.64
SIR003_sl1000_mr05_nv20_4,0.909,0.938,0.923,0.9,0.844,0.871,0.9,0.844,0.871
SEIR01_sl500_mr025_nv10_5,0.5,0.8,0.615,0.429,0.6,0.5,0.5,0.8,0.615
SIR003_sl1000_mr05_nv5_9,0.714,0.625,0.667,0.714,0.625,0.667,0.714,0.625,0.667
SEIR015_sl250_mr025_nv10_16,0.533,0.296,0.381,0.727,0.593,0.653,0.696,0.593,0.64
SEIR015_sl250_mr025_nv10_18,0.375,0.273,0.316,0.667,0.545,0.6,0.667,0.545,0.6
SEIR015_sl1000_mr025_nv5_5,0.75,0.571,0.649,0.833,0.476,0.606,0.846,0.524,0.647
SEIR015_sl1000_mr025_nv20_7,1,0.889,0.941,0.919,0.944,0.932,0.944,0.944,0.944
SIR003_sl1000_mr05_nv5_12,0.857,1,0.923,0.857,1,0.923,0.857,1,0.923
SEIR01_sl250_mr025_nv10_17,0.5,0.625,0.556,0.5,0.625,0.556,0.5,0.625,0.556
SIR01_sl1000_mr15_nv5_8,0.5,0.375,0.429,0.375,0.375,0.375,0.375,0.375,0.375
SIR01_sl500_mr15_nv10_5,0.894,0.808,0.848,0.822,0.712,0.763,0.804,0.712,0.755
SEIR01_sl1000_mr025_nv5_20,0.773,0.708,0.739,0.889,0.667,0.762,0.75,0.625,0.682
SEIR01_sl1000_mr0125_nv10_12,1,0.2,0.333,1,0.2,0.333,1,0.2,0.333
SEIR015_sl500_mr025_nv10_7,0.796,0.629,0.703,0.906,0.774,0.835,0.906,0.774,0.835
SEIR015_sl1000_mr025_nv5_18,0.773,0.618,0.687,0.84,0.764,0.8,0.848,0.709,0.772
SIR01_sl1000_mr3_nv10_15,0.75,0.667,0.706,0.667,0.667,0.667,0.667,0.667,0.667
SIR003_sl250_mr05_nv10_10,0.588,0.526,0.556,0.588,0.526,0.556,0.588,0.526,0.556
SEIR015_sl1000_mr025_nv5_2,1,0.778,0.875,1,0.778,0.875,0.778,0.778,0.778
SIR003_sl250_mr05_nv10_8,0.9,0.529,0.667,0.818,0.529,0.643,0.818,0.529,0.643
SEIR015_sl250_mr025_nv10_12,0.622,0.651,0.636,0.707,0.674,0.69,0.674,0.721,0.697
SIR01_sl500_mr15_nv10_2,0.818,0.857,0.837,0.714,0.714,0.714,0.714,0.714,0.714
SIR003_sl1000_mr05_nv5_20,0.786,0.846,0.815,0.833,0.769,0.8,0.833,0.769,0.8
SIR003_sl500_mr05_nv10_8,0.714,0.667,0.69,0.667,0.667,0.667,0.667,0.667,0.667
SIR01_sl1000_mr15_nv20_7,0.889,0.857,0.873,0.923,0.857,0.889,0.923,0.857,0.889
SIR01_sl500_mr15_nv10_8,0.75,0.375,0.5,0.75,0.375,0.5,0.75,0.375,0.5
SEIR01_sl1000_mr025_nv5_13,0.917,0.917,0.917,0.917,0.917,0.917,0.917,0.917,0.917
SEIR01_sl250_mr025_nv10_20,0.722,0.722,0.722,0.684,0.722,0.703,0.684,0.722,0.703
SEIR01_sl1000_mr025_nv20_13,0.927,0.879,0.903,0.864,0.879,0.872,0.864,0.879,0.872
SIR003_sl1000_mr05_nv10_13,0.878,0.768,0.819,0.774,0.732,0.752,0.808,0.75,0.778
SEIR015_sl500_mr025_nv10_3,0.769,0.541,0.635,0.935,0.784,0.853,0.935,0.784,0.853
SIR01_sl1000_mr3_nv10_4,0.9,0.75,0.818,0.917,0.917,0.917,0.917,0.917,0.917
SEIR01_sl1000_mr05_nv10_14,0.906,0.744,0.817,0.943,0.846,0.892,0.943,0.846,0.892
SIR01_sl250_mr15_nv10_6,0.636,0.326,0.431,0.632,0.279,0.387,0.632,0.279,0.387
SIR01_sl250_mr15_nv10_14,0.643,0.6,0.621,0.643,0.6,0.621,0.667,0.533,0.593
SIR003_sl1000_mr05_nv10_7,0.8,0.87,0.833,0.87,0.87,0.87,0.87,0.87,0.87
SIR01_sl250_mr15_nv10_20,0.571,0.571,0.571,0.5,0.571,0.533,0.571,0.571,0.571
SIR01_sl1000_mr3_nv10_3,0.895,0.85,0.872,0.7,0.7,0.7,0.7,0.7,0.7
SEIR015_sl250_mr025_nv10_14,0.56,0.56,0.56,0.636,0.56,0.596,0.652,0.6,0.625
SIR003_sl1000_mr05_nv5_6,1,0.364,0.533,0.556,0.455,0.5,0.556,0.455,0.5
SIR01_sl500_mr15_nv10_4,0.773,0.694,0.731,0.854,0.714,0.778,0.854,0.714,0.778
SIR01_sl1000_mr15_nv10_11,0.875,0.583,0.7,0.667,0.667,0.667,0.667,0.667,0.667
SEIR015_sl1000_mr0125_nv10_14,0.917,0.846,0.88,0.92,0.885,0.902,0.922,0.904,0.913
SEIR01_sl1000_mr05_nv10_13,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875
