,Branch length stretch,date,location,numdate
MN908947,9.9999999600363032e-07,2019-12-01,China,2019.8621290210936
MN938384,2.0,2020-01-10,China,2019.9893394347046
MN975262,0.62674967533317805,2020-01-11,China,2019.9924999418749
MN985325,2.0,2020-01-19,USA,2020.0177839992384
MN988668,2.0,2020-01-02,China,2019.9640553773409
MN988669,2.0,2020-01-02,China,2019.9640553773409
MN988713,2.0,2020-01-21,USA,2020.0241050135794
MN994467,0.71212380713193291,2020-01-23,USA,2020.0304260279202
MN994468,2.0,2020-01-22,USA,2020.0272655207498
MN996527,0.56752963143781499,2019-12-30,China,2019.9537837290368
MN996528,2.0,2019-12-30,China,2019.9537837290368
MN996529,0.98483694701625835,2019-12-30,China,2019.9537837290368
MN996530,2.0,2019-12-30,China,2019.9537837290368
MN996531,0.98482594012474123,2019-12-30,China,2019.9537837290368
MN997409,2.0,2020-01-22,USA,2020.0272655207498
MT007544,1.7224500748830847,2020-01-25,Australia,2020.0367470422614
MT012098,0.66850854111146241,2020-01-27,India,2020.0430680566021
MT019529,0.5004487758425693,2019-12-23,China,2019.9316601788435
MT019530,0.3313939694050792,2019-12-30,China,2019.9537837290368
MT019531,1.9419340586647154,2019-12-30,China,2019.9537837290368
MT019532,2.0,2019-12-30,China,2019.9537837290368
MT019533,2.0,2020-01-01,China,2019.9608948701703
MT020880,2.0,2020-01-25,USA,2020.0367470422614
MT020881,2.0,2020-01-25,USA,2020.0367470422614
MT027062,9.9999999600361995e-07,2020-01-29,USA,2020.0493890722753
MT027063,9.9999999600361995e-07,2020-01-29,USA,2020.0493890722753
MT027064,2.0,2020-01-29,USA,2020.0493890709431
MT039873,2.0,2020-01-20,China,2020.0209445064088
MT039887,2.0,2020-01-31,USA,2020.0557100852839
MT039888,0.66497074198310102,2020-01-29,USA,2020.0493890709431
MT039890,0.22941875369936282,2020-01-01,South Korea,2019.9608948701703
MT044257,0.88191282707984175,2020-01-28,USA,2020.0462285637727
MT044258,2.0,2020-01-27,USA,2020.0430680566021
MT049951,0.95018353040707504,2020-01-17,China,2020.0114629848977
MT050493,0.98878410660737115,2020-01-31,India,2020.0557100852839
MT066156,2.0,2020-01-30,Italy,2020.0525495781135
MT066175,2.0,2020-01-31,Taiwan,2020.0557100852839
MT066176,2.0,2020-02-05,Taiwan,2020.0715126211362
MT072688,2.0,2020-01-13,Nepal,2019.9988209562159
MT093571,0.72837975094626051,2020-02-07,Sweden,2020.077833635477
MT093631,2.0,2020-01-08,China,2019.9830184203634
MT106052,2.0,2020-02-06,USA,2020.0746731283066
MT106053,2.0,2020-02-10,USA,2020.0873151569886
MT106054,0.84573728994833808,2020-02-11,USA,2020.0904756641589
MT118835,2.0,2020-02-23,USA,2020.1284017502046
MT121215,2.0,2020-02-02,China,2020.0620310996248
MT123290,0.64937683744272423,2020-02-05,China,2020.0715126211362
MT123291,1.2648426879824355,2020-01-29,China,2020.0493890709431
MT123292,0.16095199952166714,2020-01-27,China,2020.0430680566021
MT123293,0.64146082396758464,2020-01-29,China,2020.0493890709431
MT126808,2.0,2020-02-28,Brazil,2020.1442042860567
MT135041,2.0,2020-01-26,China,2020.0399075494317
MT135042,2.0,2020-01-28,China,2020.0462285637727
MT135043,0.2636110544562284,2020-01-28,China,2020.0462285637727
MT135044,2.0,2020-01-28,China,2020.0462285637727
MT152824,2.0,2020-02-24,USA,2020.131562257375
MT159705,0.68217222722019477,2020-02-17,USA,2020.1094387071817
MT159706,2.0,2020-02-17,USA,2020.1094387071817
MT159707,2.0,2020-02-17,USA,2020.1094387071817
MT159708,2.0,2020-02-17,USA,2020.1094387071817
MT159709,2.0,2020-02-20,USA,2020.118920228693
MT159710,2.0,2020-02-17,USA,2020.1094387071817
MT159711,2.0,2020-02-20,USA,2020.118920228693
MT159712,1.9619956697926104,2020-02-25,USA,2020.1347227645454
MT159713,2.0,2020-02-18,USA,2020.112599214352
MT159714,2.0,2020-02-18,USA,2020.112599214352
MT159715,2.0,2020-02-24,USA,2020.131562257375
MT159716,2.0,2020-02-24,USA,2020.131562257375
MT159717,2.0,2020-02-17,USA,2020.1094387071817
MT159718,2.0,2020-02-18,USA,2020.112599214352
MT159719,2.0,2020-02-18,USA,2020.112599214352
MT159720,0.82185122523759147,2020-02-21,USA,2020.1220807358634
MT159721,2.0,2020-02-21,USA,2020.1220807358634
MT159722,2.0,2020-02-21,USA,2020.1220807358634
MT163716,0.4424437251838077,2020-02-27,USA,2020.1410437788863
MT163717,2.0,2020-02-28,USA,2020.1442042860567
MT163718,0.56246995556799662,2020-02-29,USA,2020.1473647932271
MT163719,2.0,2020-03-01,USA,2020.1505253003975
MT184907,2.0,2020-02-18,USA,2020.112599214352
MT184908,2.0,2020-02-21,USA,2020.1220807358634
MT184909,2.0,2020-02-21,USA,2020.1220807358634
MT184910,0.46014992138064398,2020-02-18,USA,2020.112599214352
MT184911,0.66213333947267483,2020-02-17,USA,2020.1094387071817
MT184912,2.0,2020-02-17,USA,2020.1094387071817
MT184913,2.0,2020-02-24,USA,2020.131562257375
MT188339,0.67971231935685139,2020-03-09,USA,2020.1758093577614
MT188340,2.0,2020-03-07,USA,2020.1694883434202
MT188341,0.35012955050675854,2020-03-05,USA,2020.1631673290794
MT192759,2.0,2020-01-25,Taiwan,2020.0367470422614
MT192765,2.0,2020-03-11,USA,2020.1821303721022
MT192772,2.0,2020-01-22,Viet Nam,2020.0272655207498
MT192773,0.72365747200772657,2020-01-22,Viet Nam,2020.0272655207498
MT198652,2.0,2020-03-05,Spain,2020.1631673290794
