,Branch length stretch,area,date,location,numdate
EPI_ISL_402120,0.99783743468989372,Hubei,2020-01-01,China,2019.9847262761452
EPI_ISL_402121,0.95948583413309474,Hubei,2019-12-30,China,2019.978274557571
EPI_ISL_402125,2.0,,2019-12-31,China,2019.9811419880484
EPI_ISL_402132,1.8929824216263542,Hubei,2019-12-30,China,2019.978274557571
EPI_ISL_403929,2.0,Hubei,2019-12-30,China,2019.978274557571
EPI_ISL_403932,2.0,Guandong,2020-01-14,China,2020.0220028723515
EPI_ISL_404227,0.64021002616314615,Zhejiang,2020-01-16,China,2020.0277377333064
EPI_ISL_404228,2.0,Zhejiang,2020-01-17,China,2020.0306051637838
EPI_ISL_406031,0.74125583784521898,Kaohsiung,2020-01-23,Taiwan,2020.0478097466482
EPI_ISL_406538,2.0,Guangdong,2020-01-23,China,2020.0478097466482
EPI_ISL_406593,2.0,Guandong,2020-01-13,China,2020.0191354418744
EPI_ISL_406594,0.42148559492118237,Guandong,2020-01-16,China,2020.0277377333064
EPI_ISL_406716,2.0,Hubei,2020-01-02,China,2019.9875937066226
EPI_ISL_406862,2.0,Bavaria,2020-01-28,Germany,2020.0621468990355
EPI_ISL_406973,2.0,,2020-01-23,Singapore,2020.0478097466482
EPI_ISL_407079,2.0,Lapland,2020-01-29,Finland,2020.0650143295127
EPI_ISL_407193,2.0,Gyeonggi-do,2020-01-25,South Korea,2020.053544607603
EPI_ISL_407976,1.3679025838559149,Leuven,2020-02-03,Belgium,2020.0793514818997
EPI_ISL_407987,2.0,,2020-01-25,Singapore,2020.053544607603
EPI_ISL_407988,2.0,,2020-02-01,Singapore,2020.0736166209451
EPI_ISL_408430,9.999999959920031e-07,Ile-de-France,2020-01-29,France,2020.0650143318196
EPI_ISL_408479,2.0,Chongqing,2020-01-23,China,2020.0478097466482
EPI_ISL_408480,2.0,Yunnan,2020-01-17,China,2020.0306051637838
EPI_ISL_408486,2.0,Jiangxi,2020-01-11,China,2020.0134005809193
EPI_ISL_408489,2.0,Taipei,2020-01-31,Taiwan,2020.0707491904675
EPI_ISL_408514,0.99776923826795816,Hubei,2020-01-01,China,2019.9847262761452
EPI_ISL_408515,0.66812223109005675,Hubei,2020-01-01,China,2019.9847262761452
EPI_ISL_408665,0.54986048500095086,Tokyo,2020-01-29,Japan,2020.0650143295127
EPI_ISL_408666,2.0,Tokyo,2020-01-31,Japan,2020.0707491904675
EPI_ISL_408667,0.61706748868802519,Tokyo,2020-01-31,Japan,2020.0707491904675
EPI_ISL_408669,0.94095669102698265,Kyoto,2020-01-29,Japan,2020.0650143295127
EPI_ISL_410218,1.5939946873948374,Taipei,2020-02-05,Taiwan,2020.0850863428548
EPI_ISL_410531,2.0,Nara,2020-01-25,Japan,2020.053544607603
EPI_ISL_410532,2.0,Osaka,2020-01-23,Japan,2020.0478097466482
EPI_ISL_410535,2.0,,2020-02-03,Singapore,2020.0793514818997
EPI_ISL_410536,2.0,,2020-02-06,Singapore,2020.0879537733319
EPI_ISL_410537,2.0,,2020-02-09,Singapore,2020.0965560647642
EPI_ISL_410713,2.0,,2020-01-27,Singapore,2020.0592794685579
EPI_ISL_410714,2.0,,2020-02-03,Singapore,2020.0793514818997
EPI_ISL_410715,2.0,,2020-02-04,Singapore,2020.0822189123771
EPI_ISL_410716,2.0,,2020-02-04,Singapore,2020.0822189123771
EPI_ISL_410719,2.0,,2020-02-02,Singapore,2020.0764840514223
EPI_ISL_410720,2.0,Ile-de-France,2020-01-23,France,2020.0478097466482
EPI_ISL_410984,9.999999959920031e-07,Ile-de-France,2020-01-29,France,2020.0650143318196
EPI_ISL_411915,2.0,Taoyuan,2020-01-25,Taiwan,2020.053544607603
EPI_ISL_411926,2.0,Taipei,2020-01-24,Taiwan,2020.0506771771256
EPI_ISL_411927,2.0,Taipei,2020-01-28,Taiwan,2020.0621468990355
EPI_ISL_411929,0.18486996162553282,,2020-01-01,South Korea,2019.9847262761452
EPI_ISL_411952,0.4435682794425011,Jiangsu,2020-01-24,China,2020.0506771771256
EPI_ISL_411953,2.0,Jiangsu,2020-01-24,China,2020.0506771771256
EPI_ISL_411956,0.43557122529905129,Texas,2020-02-11,USA,2020.102290925719
EPI_ISL_411957,0.35104533699922896,,2020-01-08,China,2020.0047982894871
EPI_ISL_412028,2.0,,2020-01-22,Hong Kong,2020.0449423161708
EPI_ISL_412029,2.0,,2020-01-30,Hong Kong,2020.0678817599901
EPI_ISL_412030,1.2096878565570812,,2020-02-01,Hong Kong,2020.0736166209451
EPI_ISL_412869,0.28219069989976214,Seoul,2020-01-30,South Korea,2020.0678817599901
EPI_ISL_412870,2.0,Seoul,2020-01-30,South Korea,2020.0678817599901
EPI_ISL_412871,0.31209530665201418,Seoul,2020-01-31,South Korea,2020.0707491904675
EPI_ISL_412872,2.0,Gyeonggi-do,2020-02-01,South Korea,2020.0736166209451
EPI_ISL_412873,0.55687516698969985,Chungcheongnam-do,2020-02-06,South Korea,2020.0879537733319
EPI_ISL_412912,2.0,Baden-Wuerttemberg,2020-02-25,Germany,2020.1424349524027
EPI_ISL_412968,0.081572838485723748,,2020-02-10,Japan,2020.0994234952416
EPI_ISL_412969,2.0,,2020-02-10,Japan,2020.0994234952416
EPI_ISL_412972,2.0,Mexico City,2020-02-27,Mexico,2020.1481698133578
EPI_ISL_412973,2.0,Lombardy,2020-02-20,Italy,2020.1280978000159
EPI_ISL_412974,9.9999999599200586e-07,Rome,2020-01-29,Italy,2020.0650143318196
EPI_ISL_412979,2.0,Hubei,2020-01-18,China,2020.0334725942612
EPI_ISL_412980,0.28167029524429432,Hubei,2020-01-18,China,2020.0334725942612
EPI_ISL_412983,0.26186034399212393,Hubei,2020-02-08,China,2020.093688634287
EPI_ISL_413014,0.46741145086273606,Ontario,2020-01-25,Canada,2020.053544607603
EPI_ISL_413016,2.0,Sao Paulo,2020-02-28,Brazil,2020.1510372438349
EPI_ISL_413017,0.20843766006547687,,2020-02-06,South Korea,2020.0879537733319
EPI_ISL_413018,0.90102731187144147,,2020-02-06,South Korea,2020.0879537733319
EPI_ISL_413020,0.34266099773794306,Zurich,2020-02-27,Switzerland,2020.1481698133578
EPI_ISL_413021,0.65755117261252483,Zurich,2020-02-29,Switzerland,2020.1539046743123
EPI_ISL_413022,2.0,Zurich,2020-02-29,Switzerland,2020.1539046743123
EPI_ISL_413023,2.0,Zurich,2020-02-29,Switzerland,2020.1539046743123
EPI_ISL_413024,2.0,Zurich,2020-02-29,Switzerland,2020.1539046743123
EPI_ISL_413214,2.0,New South Wales,2020-02-29,Australia,2020.1539046743123
EPI_ISL_413459,1.1289376185590456,Tokyo,2020-02-20,Japan,2020.1280978000159
EPI_ISL_413488,0.11714822399373311,North Rhine Westphalia,2020-02-28,Germany,2020.1510372438349
EPI_ISL_413489,2.0,Lombardy,2020-03-03,Italy,2020.1625069657446
EPI_ISL_413513,2.0,,2020-02-27,South Korea,2020.1481698133578
EPI_ISL_413514,2.0,,2020-02-27,South Korea,2020.1481698133578
EPI_ISL_413515,2.0,,2020-02-27,South Korea,2020.1481698133578
EPI_ISL_413516,2.0,,2020-02-27,South Korea,2020.1481698133578
EPI_ISL_413518,2.0,Beijing,2020-01-26,China,2020.0564120380805
EPI_ISL_413519,2.0,Beijing,2020-01-28,China,2020.0621468990355
EPI_ISL_413523,0.47590925976560006,Kerala,2020-01-31,India,2020.0707491904675
EPI_ISL_413574,2.0,Helmond,2020-02-29,Netherlands,2020.1539046743123
EPI_ISL_413579,2.0,Nootdorp,2020-03-03,Netherlands,2020.1625069657446
EPI_ISL_413587,2.0,Tilburg,2020-03-03,Netherlands,2020.1625069657446
EPI_ISL_413592,2.0,Taipei,2020-03-02,Taiwan,2020.1596395352674
EPI_ISL_413593,2.0,,2020-02-29,Luxembourg,2020.1539046743123
EPI_ISL_413595,0.9726271004892294,NSW,2020-02-28,Australia,2020.1510372438349
EPI_ISL_413599,2.0,NSW,2020-03-04,Australia,2020.165374396222
EPI_ISL_413600,0.57472780799100542,NSW,2020-03-03,Australia,2020.1625069657446
EPI_ISL_413601,2.0,Washington,2020-03-02,USA,2020.1596395352674
