,Branch length stretch,area,date,location,numdate
EPI_ISL_402120,1.4256060821834728,Hubei,2020-01-01,China,2019.9720487837349
EPI_ISL_402121,0.5236168671579865,Hubei,2019-12-30,China,2019.9653655103282
EPI_ISL_402125,2.0,,2019-12-31,China,2019.9683358540644
EPI_ISL_402132,2.0,Hubei,2019-12-30,China,2019.9653655103282
EPI_ISL_403929,2.0,Hubei,2019-12-30,China,2019.9653655103282
EPI_ISL_403932,1.7967965321492834,Guandong,2020-01-14,China,2020.0106632523064
EPI_ISL_404227,0.5333735761616144,Zhejiang,2020-01-16,China,2020.0166039397786
EPI_ISL_404228,2.0,Zhejiang,2020-01-17,China,2020.0195742835151
EPI_ISL_406031,0.77738270640439522,Kaohsiung,2020-01-23,Taiwan,2020.0373963459326
EPI_ISL_406538,2.0,Guangdong,2020-01-23,China,2020.0373963459326
EPI_ISL_406593,1.7619224241083182,Guandong,2020-01-13,China,2020.0076929085701
EPI_ISL_406594,0.55468944260606678,Guandong,2020-01-16,China,2020.0166039397786
EPI_ISL_406716,2.0,Hubei,2020-01-02,China,2019.9750191274713
EPI_ISL_406862,2.0,Bavaria,2020-01-28,Germany,2020.0522480646139
EPI_ISL_406973,2.0,,2020-01-23,Singapore,2020.0373963459326
EPI_ISL_407079,1.2635616327824173,Lapland,2020-01-29,Finland,2020.0552184083501
EPI_ISL_407193,2.0,Gyeonggi-do,2020-01-25,South Korea,2020.0433370334051
EPI_ISL_407976,1.5041624387760117,Leuven,2020-02-03,Belgium,2020.0700701270314
EPI_ISL_407987,1.9488039714905185,,2020-01-25,Singapore,2020.0433370334051
EPI_ISL_407988,2.0,,2020-02-01,Singapore,2020.0641294395591
EPI_ISL_408430,9.9999999599758336e-07,Ile-de-France,2020-01-29,France,2020.0552184105827
EPI_ISL_408479,2.0,Chongqing,2020-01-23,China,2020.0373963459326
EPI_ISL_408480,1.9811516972812642,Yunnan,2020-01-17,China,2020.0195742835151
EPI_ISL_408486,2.0,Jiangxi,2020-01-11,China,2020.0017522210974
EPI_ISL_408489,2.0,Taipei,2020-01-31,Taiwan,2020.0611590958226
EPI_ISL_408514,2.0,Hubei,2020-01-01,China,2019.9720487837349
EPI_ISL_408515,0.46312521360533454,Hubei,2020-01-01,China,2019.9720487837349
EPI_ISL_408665,9.9999999599758145e-07,Tokyo,2020-01-29,Japan,2020.0552184105827
EPI_ISL_408666,2.0,Tokyo,2020-01-31,Japan,2020.0611590958226
EPI_ISL_408667,0.61525292741262894,Tokyo,2020-01-31,Japan,2020.0611590958226
EPI_ISL_408669,0.97642064701740927,Kyoto,2020-01-29,Japan,2020.0552184083501
EPI_ISL_410218,1.3101238685698458,Taipei,2020-02-05,Taiwan,2020.0760108145041
EPI_ISL_410531,2.0,Nara,2020-01-25,Japan,2020.0433370334051
EPI_ISL_410532,2.0,Osaka,2020-01-23,Japan,2020.0373963459326
EPI_ISL_410535,2.0,,2020-02-03,Singapore,2020.0700701270314
EPI_ISL_410536,1.3277835895845613,,2020-02-06,Singapore,2020.0789811582401
EPI_ISL_410537,2.0,,2020-02-09,Singapore,2020.0878921894491
EPI_ISL_410713,2.0,,2020-01-27,Singapore,2020.0492777208776
EPI_ISL_410714,2.0,,2020-02-03,Singapore,2020.0700701270314
