,Branch length stretch,date,location,numdate
EPI_ISL_402119,2.0,2019-12-30,China,2020.0180579818184
EPI_ISL_402121,0.62046609335267677,2019-12-30,China,2020.0180579818184
EPI_ISL_402123,0.3715362492294117,2019-12-27,China,2020.0101512634499
EPI_ISL_402124,2.0,2019-12-30,China,2020.0180579818184
EPI_ISL_402125,2.0,2019-12-26,China,2020.0075156906603
EPI_ISL_402127,0.62047092587888575,2019-12-30,China,2020.0180579818184
EPI_ISL_402128,0.62047092587888575,2019-12-30,China,2020.0180579818184
EPI_ISL_402129,2.0,2019-12-30,China,2020.0180579818184
EPI_ISL_402130,0.62040873458363677,2019-12-30,China,2020.0180579818184
EPI_ISL_402132,1.0859952383024436,2019-12-30,China,2020.0180579818184
EPI_ISL_403929,2.0,2019-12-30,China,2020.0180579818184
EPI_ISL_403930,1.2266243201791203,2019-12-30,China,2020.0180579818184
EPI_ISL_403962,2.0,2020-01-08,Thailand,2020.0424370301212
EPI_ISL_403963,2.0,2020-01-13,Thailand,2020.0556148940689
EPI_ISL_404253,2.0,2020-01-21,USA,2020.0766994763849
EPI_ISL_404895,2.0,2020-01-19,USA,2020.0714283308057
EPI_ISL_406031,0.55126516515151058,2020-01-23,Taiwan,2020.0819706219636
EPI_ISL_406034,0.32980822603105425,2020-01-23,USA,2020.0819706219636
EPI_ISL_406036,1.5859591107196056,2020-01-22,USA,2020.0793350491742
EPI_ISL_406223,1.3917190605613838,2020-01-22,USA,2020.0793350491742
EPI_ISL_406596,9.9999999596786626e-07,2020-01-23,France,2020.0819706234124
EPI_ISL_406597,9.9999999596786626e-07,2020-01-23,France,2020.0819706234124
EPI_ISL_406798,0.53337811318728889,2019-12-26,China,2020.0075156906603
EPI_ISL_406862,0.54257903725803713,2020-01-28,Germany,2020.0951484859113
EPI_ISL_406973,1.1467049764803952,2020-01-23,Singapore,2020.0819706219636
EPI_ISL_407071,2.0,2020-01-29,United Kingdom,2020.0977840587007
EPI_ISL_407073,0.32455134199740304,2020-01-29,United Kingdom,2020.0977840587007
EPI_ISL_407079,2.0,2020-01-29,Finland,2020.0977840587007
EPI_ISL_407193,2.0,2020-01-25,South Korea,2020.0872417675428
EPI_ISL_407893,2.0,2020-01-24,Australia,2020.0846061947532
EPI_ISL_407894,2.0,2020-01-28,Australia,2020.0951484859113
EPI_ISL_407896,0.59520180270835943,2020-01-30,Australia,2020.1004196314902
EPI_ISL_407976,2.0,2020-02-03,Belgium,2020.1109619226481
EPI_ISL_407987,2.0,2020-01-25,Singapore,2020.0872417675428
EPI_ISL_407988,2.0,2020-02-01,Singapore,2020.1056907770692
EPI_ISL_408008,9.9999999596694257e-07,2020-01-29,USA,2020.0977840601495
