strain,nextstrain_besttree,nextstrain_0,nextstrain_1,nextstrain_2,nextstrain_3,nextstrain_4,nextstrain_5,nextstrain_6,nextstrain_7,nextstrain_8,nextstrain_9,tnet_bias, tnet_random_sample
EPI_ISL_437478,SaudiArabia,SaudiArabia,SaudiArabia,Finland,India,SaudiArabia,SaudiArabia,Chile,SaudiArabia,SaudiArabia,SaudiArabia,SaudiArabia,SaudiArabia
EPI_ISL_447056,SaudiArabia,Georgia,Georgia,Georgia,Georgia,Georgia,Georgia,Georgia,Georgia,Germany,Georgia,Georgia,Georgia
EPI_ISL_455603,Australia,Australia,Australia,Australia,Australia,Germany,China,China,Chile,Australia,Germany,Australia,Australia
EPI_ISL_416425,Malaysia,China,China,Malaysia,Brazil,China,China,China,China,China,China,China,China
EPI_ISL_411951,China,Taiwan,Thailand,Thailand,China,UnitedKingdom,China,China,China,SouthKorea,China,Singapore,Sweden
EPI_ISL_406031,China,Taiwan,China,Thailand,China,UnitedKingdom,China,China,China,Taiwan,China,Thailand,Taiwan
EPI_ISL_419252,HongKong,HongKong,HongKong,HongKong,HongKong,HongKong,HongKong,HongKong,HongKong,HongKong,HongKong,HongKong,HongKong
EPI_ISL_419250,HongKong,HongKong,HongKong,HongKong,HongKong,HongKong,HongKong,HongKong,HongKong,HongKong,HongKong,HongKong,HongKong
EPI_ISL_419221,HongKong,HongKong,HongKong,HongKong,HongKong,HongKong,HongKong,HongKong,China,HongKong,HongKong,HongKong,HongKong
EPI_ISL_417193,HongKong,HongKong,HongKong,HongKong,HongKong,HongKong,HongKong,HongKong,HongKong,HongKong,HongKong,HongKong,HongKong
EPI_ISL_450405,HongKong,HongKong,HongKong,HongKong,HongKong,HongKong,HongKong,HongKong,HongKong,HongKong,HongKong,HongKong,HongKong
EPI_ISL_414517,HongKong,HongKong,HongKong,HongKong,HongKong,HongKong,HongKong,HongKong,HongKong,HongKong,HongKong,HongKong,HongKong
EPI_ISL_419214,HongKong,HongKong,HongKong,HongKong,HongKong,HongKong,HongKong,HongKong,HongKong,HongKong,HongKong,HongKong,HongKong
EPI_ISL_417188,HongKong,HongKong,HongKong,HongKong,HongKong,HongKong,HongKong,HongKong,HongKong,HongKong,HongKong,HongKong,HongKong
EPI_ISL_417187,HongKong,HongKong,HongKong,HongKong,HongKong,HongKong,HongKong,HongKong,HongKong,HongKong,HongKong,HongKong,HongKong
